Date Time,Temp (°C) c:1,RH (%) c:1 2
07/02/19 10:00:00,29.916,67.308
07/02/19 11:00:00,35.102,51.902
07/02/19 12:00:00,37.755,44.219
07/02/19 13:00:00,29.740,71.913
07/02/19 14:00:00,27.949,83.660
07/02/19 15:00:00,28.295,81.955
07/02/19 16:00:00,28.816,79.777
07/02/19 17:00:00,28.518,80.963
07/02/19 18:00:00,28.023,83.847
07/02/19 19:00:00,27.210,80.051
07/02/19 20:00:00,24.726,86.582
07/02/19 21:00:00,23.833,91.475
07/02/19 22:00:00,23.256,93.231
07/02/19 23:00:00,22.561,95.335
07/03/19 00:00:00,22.753,94.609
07/03/19 01:00:00,22.226,94.956
07/03/19 02:00:00,22.106,94.044
07/03/19 03:00:00,21.461,94.387
07/03/19 04:00:00,21.056,95.876
07/03/19 05:00:00,20.722,96.580
07/03/19 06:00:00,20.555,97.323
07/03/19 07:00:00,20.484,97.906
07/03/19 08:00:00,21.270,97.092
07/03/19 09:00:00,23.593,91.498
07/03/19 10:00:00,25.307,83.081
07/03/19 11:00:00,26.549,82.925
07/03/19 12:00:00,27.014,86.319
07/03/19 13:00:00,27.431,82.774
07/03/19 14:00:00,25.162,85.814
07/03/19 15:00:00,24.412,82.232
07/03/19 16:00:00,24.992,88.619
07/03/19 17:00:00,25.404,84.997
07/03/19 18:00:00,25.793,88.585
07/03/19 19:00:00,26.085,89.902
07/03/19 20:00:00,24.484,90.456
07/03/19 21:00:00,23.545,92.924
07/03/19 22:00:00,22.657,96.344
07/03/19 23:00:00,22.274,97.883
07/04/19 00:00:00,22.345,97.902
07/04/19 01:00:00,21.557,97.956
07/04/19 02:00:00,20.936,98.210
07/04/19 03:00:00,20.555,99.150
07/04/19 04:00:00,20.817,99.532
07/04/19 05:00:00,20.960,100.000
07/04/19 06:00:00,20.960,100.000
07/04/19 07:00:00,20.793,100.000
07/04/19 08:00:00,21.318,100.000
07/04/19 09:00:00,22.489,97.808
07/04/19 10:00:00,23.905,91.982
07/04/19 11:00:00,25.137,88.736
07/04/19 12:00:00,26.061,82.904
07/04/19 13:00:00,26.989,80.265
07/04/19 14:00:00,27.333,81.087
07/04/19 15:00:00,26.818,85.879
07/04/19 16:00:00,27.801,78.664
07/04/19 17:00:00,27.481,83.443
07/04/19 18:00:00,28.916,81.250
07/04/19 19:00:00,27.284,85.843
07/04/19 20:00:00,25.939,91.550
07/04/19 21:00:00,25.040,95.137
07/04/19 22:00:00,24.026,94.799
07/04/19 23:00:00,23.352,96.578
07/05/19 00:00:00,23.040,98.139
07/05/19 01:00:00,22.729,99.134
07/05/19 02:00:00,22.298,99.228
07/05/19 03:00:00,21.963,99.582
07/05/19 04:00:00,21.700,99.927
07/05/19 05:00:00,21.342,99.726
07/05/19 06:00:00,21.223,99.954
07/05/19 07:00:00,21.079,100.000
07/05/19 08:00:00,21.724,100.000
07/05/19 09:00:00,23.184,98.704
07/05/19 10:00:00,25.331,89.944
07/05/19 11:00:00,27.063,84.092
07/05/19 12:00:00,28.493,74.007
07/05/19 13:00:00,29.340,73.246
07/05/19 14:00:00,29.265,70.952
07/05/19 15:00:00,28.866,79.671
07/05/19 16:00:00,27.677,86.893
07/05/19 17:00:00,28.270,84.416
07/05/19 18:00:00,29.315,78.096
07/05/19 19:00:00,27.284,86.916
07/05/19 20:00:00,26.061,92.128
07/05/19 21:00:00,24.871,94.230
07/05/19 22:00:00,24.026,96.246
07/05/19 23:00:00,23.521,97.366
07/06/19 00:00:00,23.136,98.639
07/06/19 01:00:00,22.800,98.759
07/06/19 02:00:00,22.489,99.619
07/06/19 03:00:00,22.154,99.477
07/06/19 04:00:00,21.819,99.439
07/06/19 05:00:00,21.676,100.000
07/06/19 06:00:00,21.628,100.000
07/06/19 07:00:00,21.628,100.000
07/06/19 08:00:00,22.465,100.000
07/06/19 09:00:00,23.569,99.517
07/06/19 10:00:00,24.291,96.421
07/06/19 11:00:00,24.436,96.432
07/06/19 12:00:00,25.744,91.640
07/06/19 13:00:00,27.308,83.262
07/06/19 14:00:00,26.891,88.396
07/06/19 15:00:00,27.456,84.606
07/06/19 16:00:00,27.333,87.096
07/06/19 17:00:00,27.382,85.441
07/06/19 18:00:00,28.791,83.672
07/06/19 19:00:00,27.358,86.989
07/06/19 20:00:00,25.890,85.501
07/06/19 21:00:00,23.833,91.638
07/06/19 22:00:00,23.112,96.409
07/06/19 23:00:00,22.609,97.655
07/07/19 00:00:00,22.226,97.923
07/07/19 01:00:00,21.891,98.752
07/07/19 02:00:00,21.461,99.134
07/07/19 03:00:00,21.151,99.310
07/07/19 04:00:00,20.960,99.882
07/07/19 05:00:00,20.841,100.000
07/07/19 06:00:00,20.865,100.000
07/07/19 07:00:00,20.865,100.000
07/07/19 08:00:00,21.748,99.888
07/07/19 09:00:00,23.280,99.571
07/07/19 10:00:00,25.793,90.137
07/07/19 11:00:00,26.818,83.782
07/07/19 12:00:00,26.720,88.523
07/07/19 13:00:00,28.518,76.584
07/07/19 14:00:00,28.270,82.439
07/07/19 15:00:00,27.850,82.607
07/07/19 16:00:00,28.171,77.601
07/07/19 17:00:00,27.702,85.314
07/07/19 18:00:00,29.389,77.524
07/07/19 19:00:00,27.974,82.691
07/07/19 20:00:00,26.231,90.794
07/07/19 21:00:00,25.404,92.241
07/07/19 22:00:00,24.508,92.103
07/07/19 23:00:00,24.122,86.583
07/08/19 00:00:00,23.232,89.305
07/08/19 01:00:00,22.729,91.558
07/08/19 02:00:00,22.298,93.260
07/08/19 03:00:00,21.461,96.351
07/08/19 04:00:00,21.079,97.410
07/08/19 05:00:00,20.770,96.276
07/08/19 06:00:00,20.579,93.976
07/08/19 07:00:00,20.126,95.634
07/08/19 08:00:00,21.175,88.104
07/08/19 09:00:00,22.321,83.997
07/08/19 10:00:00,23.497,81.722
07/08/19 11:00:00,24.750,81.081
07/08/19 12:00:00,26.256,72.452
07/08/19 13:00:00,27.259,66.086
07/08/19 14:00:00,27.112,64.873
07/08/19 15:00:00,27.554,63.015
07/08/19 16:00:00,27.161,69.756
07/08/19 17:00:00,27.014,68.677
07/08/19 18:00:00,28.097,66.200
07/08/19 19:00:00,26.646,80.279
07/08/19 20:00:00,24.702,88.993
07/08/19 21:00:00,23.424,90.775
07/08/19 22:00:00,22.106,93.427
07/08/19 23:00:00,21.127,92.081
07/09/19 00:00:00,20.460,94.769
07/09/19 01:00:00,20.222,93.646
07/09/19 02:00:00,19.413,93.600
