response,variable,value,.lower,.upper
tiller growth,EvA_fung_eff,-74.22489599785766,-483.42267674704357,358.2920077724237
tiller growth,EvS_fung_eff,-62.88904487861566,-239.65604242283635,238.88892248181878
tiller growth,Mv_fung_eff,-137.46660836726005,-435.85415589309974,58.06369908490932
seeds,EvA_fung_eff,-79.73992976787312,-515.2437460593056,373.46224580925895
seeds,EvS_fung_eff,-79.2894043556081,-165.49225526778767,61.33364903879033
seeds,Mv_fung_eff,-89.7995529852511,-1486.7145587924783,1318.8040035599925
