Covariate,Estimate_8,Est.Error_8,l-95% CI_8,u-95% CI_8,Estimate_12,Est.Error_12,l-95% CI_12,u-95% CI_12,Estimate_16,Est.Error_16,l-95% CI_16,u-95% CI_16
1st yr comp:src invader,-0.09020566570185044,0.17310536949468655,-0.42862388666951606,0.255070025770585,-0.21588849271309607,0.9611196320576543,-2.108699859884281,1.681727578962261,0.09349892293469755,0.0858703499516174,-0.07292145477960348,0.26232616205661424
adult comp:src invader,-0.027503144194401696,0.2743149452028579,-0.6413602668437183,0.4452320638174685,-0.3372592088781943,0.99264272447345,-2.2864003290077073,1.6423717382783416,0.2276014340311872,0.15395878190494944,-0.05860150534421092,0.5494920470026
1st yr comp:src 1st yr,0.011911830557439008,0.1186151661069374,-0.2217335720374278,0.24421628818896016,-0.5789550656595078,0.1417645620873688,-0.8547722823147875,-0.29968336492592673,0.12867550107216627,0.0870965610664675,-0.03598480111950595,0.3102618996246626
adult comp:src 1st yr,0.08150303409953386,0.1804066034717627,-0.2842667568657213,0.4262540532189755,-0.5302691542316407,0.20737312741811598,-0.9598050290780709,-0.13966132193741693,-0.20381697195011128,0.26480088631557497,-0.7287203420674643,0.31518421339282643
1st yr comp:src adult,0.5285069783126843,0.2976027744225616,-0.0469574192852452,1.1286560542545687,-1.0534946020520024,0.34633379761662336,-1.7349308430739776,-0.36504137614481946,0.1790397750516832,0.29741555918765633,-0.40826004024897994,0.7629009519055108
adult comp:src adult,-0.5433988275651005,0.46259081644752964,-1.4759761384542,0.3269914249312104,-0.7077823886996787,0.5253747082844509,-1.766324286692239,0.2951112712658452,0.31464752216953457,0.5904003628503877,-0.8655248663622594,1.4713227088866105
1st yr comp:src surr,0.8990475754980255,0.3339858921099389,0.2484898697337888,1.5575204253903108,-0.7982072421243543,0.4193520321675447,-1.6168451577048424,0.028467445634944816,-0.4073203170001625,0.09394076828080436,-0.5977975811409495,-0.23157396075595477
adult comp:src surr,0.6146819146460584,0.45779644850070655,-0.29346514885700536,1.5038808925572709,-0.9376856705678921,0.5297435160144958,-1.9845937504964364,0.08112121885226417,-0.5041575613417711,0.16728262857044227,-0.8612563161974882,-0.20047145453687876
fung:src invader,0.16079154794808825,0.8705936324088762,-1.5895740827007248,1.8569474629396234,0.04376306572346614,1.0060264682200595,-1.9298648452054612,1.9961155230005152,0.08727242542321728,0.8013864541187761,-1.46200887133936,1.6604879590063806
fung:src 1st yr,-0.004978097388361151,0.148504485387484,-0.30250939470703114,0.2859166198256101,-0.41700470313442245,0.1917272923992413,-0.8030305338474236,-0.04569078790169364,0.27388693416768517,0.11343536389235151,0.04890023644410999,0.49744106255093623
fung:src adult,0.008331802005351555,0.2910269476747527,-0.5512320495423348,0.5950996430718891,-0.22178148102616335,0.392987695856474,-0.9811609807049181,0.5635750247600427,0.3610933503162241,0.24487927433347612,-0.11821482216285387,0.843538407374118
fung:src surr,-0.23758172265365013,0.3142063153438862,-0.8448232823585342,0.3839897099886419,0.2475097599028811,0.4528863594002093,-0.6425794331050253,1.1227644950270148,-0.10226167883121572,0.09931472371379177,-0.302728748875669,0.0886616746756615
1st yr comp:fung:src invader,0.14760857299365618,0.9540327884937624,-1.7591188388673162,2.003902586143536,0.0076028860427553744,1.0043263244037988,-1.987340824155692,2.012349351051476,0.1268092575731091,0.8928565925397106,-1.610247030420468,1.9111066762201618
adult comp:fung:src invader,0.1237801930993449,0.970867229330252,-1.7851808624163208,2.022110371670172,0.03334771276880894,0.9997122215976852,-1.927776277238003,1.9851913422831853,-0.35660327641634826,0.9628284226097533,-2.2542378485282675,1.529271798815767
1st yr comp:fung:src 1st yr,0.05610095202841955,0.1836314945776549,-0.30480886328631845,0.40598611958410163,0.7883860705376006,0.230175693728151,0.3339184379334709,1.2398868624398456,-0.1747667360463158,0.15225048159149973,-0.47599332791896076,0.1230571407228009
adult comp:fung:src 1st yr,-0.11757735436070661,0.23870967304453367,-0.5867483109953141,0.3487896910405131,0.3944387770589893,0.3370315035376509,-0.3020861482253559,1.0346221659848025,-0.01941846710599168,0.31430871645507186,-0.6301619063128759,0.5959591323640299
1st yr comp:fung:src adult,-0.19757223394360526,0.33175547152544704,-0.8482944015084833,0.44102292438251334,1.4832428758962337,0.48033720834538857,0.5421020022530609,2.416618513023807,-0.017750225965509014,0.34898170620204483,-0.6959596931604379,0.6584349002025707
adult comp:fung:src adult,0.2200397283730032,0.49436097837041104,-0.7351623720281387,1.214028093246599,0.3418008458489077,0.6388556042654946,-0.9279583137305529,1.5685819602287139,-0.360249107344549,0.7054354711851626,-1.7358848463212084,1.02832421234214
1st yr comp:fung:src surr,-0.6446136096404161,0.36854878442178,-1.3735475099599346,0.08395301632570044,0.2474513479727611,0.6091578523123172,-0.9325984408436208,1.4403987213273843,0.12884875443591712,0.12901092409534895,-0.12438312948677041,0.38350516773977117
adult comp:fung:src surr,-0.3453599653344227,0.4824562438677824,-1.28790817058917,0.6129916603701995,1.0390342290479955,0.7478613774280831,-0.43210700068950525,2.4923868855975218,0.3475955496454401,0.2151042598574407,-0.06347676572056372,0.7906521364914012
