Covariate,Estimate_8,Est.Error_8,l-95% CI_8,u-95% CI_8,Estimate_12,Est.Error_12,l-95% CI_12,u-95% CI_12,Estimate_16,Est.Error_16,l-95% CI_16,u-95% CI_16
(Intercept),-3.8173303741401385,0.16885269603936398,-4.161815536328943,-3.4993222869232135,-3.1217049663647787,0.15889795995931594,-3.435877609348081,-2.813489850489571,-1.3251985155674209,0.165270278072211,-1.6495527734083602,-1.0007383336656657
1st yr comp,1.0727573036384617,0.1841930358711632,0.7064963264221807,1.4328321537124273,1.734630204866449,0.17992204824276453,1.3768860675017442,2.0860581568151497,1.2823354439851218,0.2138193168585916,0.8546814511295135,1.696201851270472
adult comp,1.3224139049720556,0.23401008631721107,0.8520007567824212,1.7664609927229658,1.8870699813726497,0.24094259545570582,1.4036009424509626,2.347373897038839,1.5845734693620481,0.3563098397377057,0.8831263361391124,2.2895420282258483
fung,-0.01844580208698497,0.1928780658394684,-0.39603790449042353,0.35997466376914306,-0.4074493535057284,0.2086895016294079,-0.8202474432998906,-0.002352537445039961,-0.6199395057036559,0.21696155348184035,-1.0426933866812638,-0.20067815012374896
src invader,-0.03759524972150412,0.13501629325926756,-0.3303989934461821,0.1975844673495545,-0.3140619605443529,0.9562956546214869,-2.1973364776992126,1.570217803583465,0.0621803237842555,0.06278359205687213,-0.05866955836818146,0.18811682298664628
src 1st yr,-0.029157446945168822,0.09798781720795184,-0.22746362847713503,0.15869760672426336,0.4492688332009301,0.11923833263975218,0.2046393456920311,0.6743211854547815,-0.07808741823367378,0.054576896619542556,-0.19248971904168807,0.023069619143926353
src adult,-0.07001575136934567,0.265159087653871,-0.609706366962184,0.4362487861067277,0.6069843734869218,0.28197849253137613,0.03124482153788268,1.1365071963774902,-0.3211063693551919,0.22096146681626166,-0.7595554044893268,0.10113561097016863
src surr,0.22899597883737427,0.2881486515144321,-0.34517612814337273,0.7914613522207948,0.6003277637156698,0.35296058034673033,-0.10215372928803387,1.2797655251887199,0.32294856435839225,0.06916918521918845,0.19136958901593956,0.46325078305042794
1st yr comp:fung,-0.15683424340512417,0.23548632034473346,-0.6159736955426264,0.30537776605517236,-0.46417787636582813,0.25274065215094654,-0.9668077717503503,0.02747127327755567,0.7804558140419066,0.2773706747151455,0.24469847736346007,1.339275859007983
adult comp:fung,0.22689975962143513,0.2901142719884967,-0.3404966424593504,0.8058871809738145,0.10915169091942203,0.3167799545157351,-0.5101269193796072,0.7301591541690793,0.5453827748048795,0.4282178569579897,-0.29840357479937524,1.3825921702106083
