plant_group,fungicide,trend,lower.HPD,upper.HPD,source,weeks,treatment,sig
Invader (Mv),0,0.0010254757807165078,-1.1498449986443254e-4,0.002175997507735916,Surrounding invader,16,control,no
1st yr comp. (Ev),0,-0.0014133746992151899,-0.0049846347544842224,0.002051210972312148,Surrounding invader,16,control,no
Adult comp. (Ev),0,-0.002924765599196333,-0.006080106183667,4.751362274749227e-4,Surrounding invader,16,control,no
Invader (Mv),1,-2.3922729569016618e-4,-0.0011692578388151813,7.395427443615627e-4,Surrounding invader,16,fungicide,no
1st yr comp. (Ev),1,-0.003793215516431573,-0.007825349985722587,1.3091670370917282e-4,Surrounding invader,16,fungicide,no
Adult comp. (Ev),1,-0.0010227850347164092,-0.003925751012966514,0.001808929041656133,Surrounding invader,16,fungicide,no
Invader (Mv),0,0.04119023192717007,0.00953369052470076,0.07196430622231291,Invader (Mv),20,control,yes
1st yr comp. (Ev),0,-0.01686542928889597,-0.09011206369268956,0.05898087999006479,Invader (Mv),20,control,no
Adult comp. (Ev),0,1.6411798591487844e-4,-0.02810281239711131,0.023582753869068586,Invader (Mv),20,control,no
Invader (Mv),1,0.019175618294732952,-0.026284552690869024,0.06665222409141595,Invader (Mv),20,fungicide,no
1st yr comp. (Ev),1,0.02260456195692091,-0.042704524905439765,0.09206146154565437,Invader (Mv),20,fungicide,no
Adult comp. (Ev),1,0.010662081765247933,-0.07579244491352918,0.10520117523882942,Invader (Mv),20,fungicide,no
Invader (Mv),0,0.011840888471725286,-0.009650803619635129,0.033878295485077266,1st yr comp. (Ev),20,control,no
1st yr comp. (Ev),0,-0.0033991023738036714,-0.019543874796231674,0.010021950098920167,1st yr comp. (Ev),20,control,no
Adult comp. (Ev),0,-0.02481246213430813,-0.06270041848768033,0.00817361618956295,1st yr comp. (Ev),20,control,no
Invader (Mv),1,2.704476478991594e-4,-0.02124613000872801,0.02255945424734031,1st yr comp. (Ev),20,fungicide,no
1st yr comp. (Ev),1,-0.005964241549277268,-0.028430002080399912,0.01560926944664472,1st yr comp. (Ev),20,fungicide,no
Adult comp. (Ev),1,-0.003727963188162541,-0.07301585290575133,0.09163990646675774,1st yr comp. (Ev),20,fungicide,no
Invader (Mv),0,0.0100483642213056,-0.02354904911306344,0.04406916651889906,Adult comp. (Ev),20,control,no
1st yr comp. (Ev),0,-0.02456592064655868,-0.08944080807714815,0.037790840571554164,Adult comp. (Ev),20,control,no
Adult comp. (Ev),0,-0.00370351848941377,-0.09476105884262945,0.10959976665416271,Adult comp. (Ev),20,control,no
Invader (Mv),1,0.006159477679613211,-0.022699847542591044,0.03361966905055707,Adult comp. (Ev),20,fungicide,no
1st yr comp. (Ev),1,0.006462224212499866,-0.08225062901905184,0.10916414786514199,Adult comp. (Ev),20,fungicide,no
Adult comp. (Ev),1,0.007608819858829285,-0.1260725445437369,0.17358626000933264,Adult comp. (Ev),20,fungicide,no
Invader (Mv),0,0.0021719386376479123,-0.03978240028495262,0.03963482168782823,Invader (Mv),16,control,no
1st yr comp. (Ev),0,0.014447290522239047,-0.08258288515991567,0.11006745370396044,Invader (Mv),16,control,no
Adult comp. (Ev),0,0.03198623337855509,-0.05225518225346131,0.11347222078796829,Invader (Mv),16,control,no
Invader (Mv),1,0.006409992806459951,-0.026034852752531683,0.03709710156041032,Invader (Mv),16,fungicide,no
1st yr comp. (Ev),1,-0.004585264799861692,-0.14089590594715354,0.12788968252218189,Invader (Mv),16,fungicide,no
Adult comp. (Ev),1,0.07197231675721331,-0.022451518442319258,0.16771835881859684,Invader (Mv),16,fungicide,no
Invader (Mv),0,0.003990936811144176,-0.005827129918445009,0.013661680161735718,1st yr comp. (Ev),16,control,no
1st yr comp. (Ev),0,0.06752639305700124,-0.018069950746432906,0.14713068947972446,1st yr comp. (Ev),16,control,no
Adult comp. (Ev),0,0.0041956099275840516,-0.02050657355244361,0.02839800400014433,1st yr comp. (Ev),16,control,no
Invader (Mv),1,2.536517843336129e-4,-0.008288011898168038,0.008060878741789082,1st yr comp. (Ev),16,fungicide,no
1st yr comp. (Ev),1,0.05374748101713215,-0.012728161896886442,0.12262788856005066,1st yr comp. (Ev),16,fungicide,no
Adult comp. (Ev),1,0.005961952921204162,-0.011808849676567864,0.022079667674910347,1st yr comp. (Ev),16,fungicide,no
Invader (Mv),0,0.0026989571427802096,-0.012302698496754305,0.016144969784838474,Adult comp. (Ev),16,control,no
1st yr comp. (Ev),0,0.05167039417539685,-0.01469891502702794,0.11240980133700328,Adult comp. (Ev),16,control,no
Adult comp. (Ev),0,-0.008235304772809414,-0.051647357097310644,0.03320135766461862,Adult comp. (Ev),16,control,no
Invader (Mv),1,-0.004455105705381241,-0.02257219673857746,0.012379585231444817,Adult comp. (Ev),16,fungicide,no
1st yr comp. (Ev),1,0.04034395469607753,-0.11319247791488338,0.19221334118288513,Adult comp. (Ev),16,fungicide,no
Adult comp. (Ev),1,-0.020408276008090896,-0.10047653189603341,0.06164902083196906,Adult comp. (Ev),16,fungicide,no
