title,mv_bag_seed_2018_density_exp
authors,"Zobia Chanda, Penny Reif, Ryan Truesdell, Daniel Notman, Daniela Menendez"
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,201901218 - 20190218
scanned-original,mv_bag_seed_2018_density_exp
,
columns,meaning
site,experimental site (D1 - 4)
plot,"experimental plot, which corresponds to planting treatment (1 - 10)"
treatment,"fungicide treatment (water, fungicide)"
bag,ID for bag within plot (1 - 10)
stems,number of stems clearly present in the bag out of the 3 placed in it (0 - 3)
seeds,number of Microstegium vimineum seeds per bag
seed_weight.g,weight of seeds above (g)
count_date,date seeds were counted
count_initials,initials of person who counted and weighed seeds (see authors)
bag_notes,notes
