title,ev_winter_survival_apr_2019_density_exp
authors,Amy Kendig
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20190408 - 20190409
scanned-original,ev_winter_survival_apr_2019_density_exp
,
columns,meaning
date,date that data were collected
site,experimental site (D1 - 4)
plot,"experimental plot, which corresponds to planting treatment (1 - 10)"
treatment,"fungicide treatment (water, fungicide)"
sp,species (Ev = Elymus virginicus)
ID,"plant ID (A = focal adult, 1 - 3 = focal seedlings, other = background)"
survival,indicator variable of whether plant had green leaves or not
field_notes,notes
