title,temp-humidity-density-exp-20191025 (directory)
authors,"Amy Kendig, Chris Wojan, Thomas Thrasher"
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20191025
source,HOBO U23 Pro v2 data loggers 
filenames,"site_plot(density treatment, disease treatment)"
,
columns,meaning
Date Time,date and time that data were collected
Temp (°C) c:1,temperature in celsius
RH (%) c:1 2,relative humidity
