effect,component,group,term,estimate,std.error,conf.low,conf.high,rhat,ess
fixed,cond,NA,(Intercept),-1.2769461750579534,0.14882676958344368,-1.5736577335859583,-0.9831493307288451,1.0004667557017985,5104.562349545876
fixed,cond,NA,fungicide,0.17679523752087753,0.13176326819102752,-0.07486707028986746,0.4382642873572779,1.0002744400626635,5584.333686184729
ran_pars,cond,site,sd__(Intercept),0.19286528656429763,0.18015017425190952,1.493017001929667e-4,0.5168048178161601,1.000623599439874,3519.5848045251173
ran_pars,cond,site:plotID,sd__(Intercept),0.495049144908053,0.05611967086514727,0.38480009765143736,0.6031904174086163,1.0004450346014218,6002.684127551094
