Weeks,Focal,Estimate,l95,u95
12,invader,-0.1316611294391168,-1.5177204517879388,1.2936279454029118
12,first-year comp.,-3.004295769390223,-5.991479888631459,-0.1594356047751799
12,adult comp.,-1.5062585631590533,-7.503651666122482,4.356562467144246
16,invader,0.47245866279638893,-2.8118910405172155,3.988914575584273
16,first-year comp.,-3.6680922585833198,-9.567115124434835,1.8843417426606872
16,adult comp.,8.285049939041734,-3.236493107110073,20.360348271795097
