effect,component,group,term,estimate,std.error,conf.low,conf.high,rhat,ess
fixed,cond,NA,(Intercept),1.1885897899981757,0.14123190091901783,0.9290219210629389,1.462142066039845,1.0003427231269302,4409.77555647263
fixed,cond,NA,prop_dark,-1.9090970724102823,0.34965437290409046,-2.61277537273746,-1.2368817739909164,1.0006263194386753,14884.483736546727
fixed,cond,NA,prop_light,0.7696170664254209,0.25206553816365707,0.2806785388843783,1.2655764469398973,1.0000407205936206,16464.14920501311
ran_pars,cond,site,sd__(Intercept),0.14002229560102517,0.15998676170597267,7.061331776430157e-6,0.41666267275975133,1.0020799896474573,2823.1724473030367
ran_pars,cond,site:plotID,sd__(Intercept),0.5097724920919396,0.0588328889171671,0.4018543762151968,0.6289190995151013,1.0002408771646267,5654.728265143825
