site,plot,treatment,sp,ID,plantings,age,flag,background,background_sp,background_density,density_level,survival,fungicide,focal,foc,bg,plotf
D3,6,water,Mv,2,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Mv,m,s,D36w
D3,6,water,Mv,3,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Mv,m,s,D36w
D4,6,water,Mv,1,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Mv,m,s,D46w
D4,6,water,Mv,2,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Mv,m,s,D46w
D4,6,water,Mv,3,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Mv,m,s,D46w
D1,7,water,Mv,1,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D17w
D1,7,water,Mv,2,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D17w
D1,7,water,Mv,3,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D17w
D2,7,water,Mv,1,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D27w
D2,7,water,Mv,2,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D27w
D2,7,water,Mv,3,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D27w
D3,7,water,Mv,1,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D37w
D3,7,water,Mv,2,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D37w
D3,7,water,Mv,3,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D37w
D4,7,water,Mv,1,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D47w
D4,7,water,Mv,2,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D47w
D4,7,water,Mv,3,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Mv,m,s,D47w
D1,8,water,Mv,1,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D18w
D1,8,water,Mv,2,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D18w
D1,8,water,Mv,3,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D18w
D2,8,water,Mv,1,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D28w
D2,8,water,Mv,2,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D28w
D2,8,water,Mv,3,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D28w
D3,8,water,Mv,1,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D38w
D3,8,water,Mv,2,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D38w
D3,8,water,Mv,3,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D38w
D4,8,water,Mv,1,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D48w
D4,8,water,Mv,2,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D48w
D4,8,water,Mv,3,1,seedling,blue,Ev adult,Ev,2,low,1,0,Mv,m,a,D48w
D1,9,water,Mv,1,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D19w
D1,9,water,Mv,2,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D19w
D1,9,water,Mv,3,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D19w
D2,9,water,Mv,1,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D29w
D2,9,water,Mv,2,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D29w
D2,9,water,Mv,3,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D29w
D3,9,water,Mv,1,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D39w
D3,9,water,Mv,2,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D39w
D3,9,water,Mv,3,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D39w
D4,9,water,Mv,1,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D49w
D4,9,water,Mv,2,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D49w
D4,9,water,Mv,3,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Mv,m,a,D49w
D1,10,water,Mv,1,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D110w
D1,10,water,Mv,2,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D110w
D1,10,water,Mv,3,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D110w
D2,10,water,Mv,1,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D210w
D2,10,water,Mv,2,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D210w
D2,10,water,Mv,3,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D210w
D3,10,water,Mv,1,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D310w
D3,10,water,Mv,2,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D310w
D3,10,water,Mv,3,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D310w
D4,10,water,Mv,1,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D410w
D4,10,water,Mv,2,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D410w
D4,10,water,Mv,3,1,seedling,blue,Ev adult,Ev,8,high,1,0,Mv,m,a,D410w
D1,1,fungicide,Mv,1,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D11f
D1,1,fungicide,Mv,2,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D11f
D1,1,fungicide,Mv,3,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D11f
D2,1,fungicide,Mv,1,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D21f
D2,1,fungicide,Mv,2,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D21f
D2,1,fungicide,Mv,3,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D21f
D3,1,fungicide,Mv,1,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D31f
D3,1,fungicide,Mv,2,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D31f
D3,1,fungicide,Mv,3,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D31f
D4,1,fungicide,Mv,1,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D41f
D4,1,fungicide,Mv,2,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D41f
D4,1,fungicide,Mv,3,1,seedling,red,none,none,0,none,1,1,Mv,m,none,D41f
D1,2,fungicide,Mv,1,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D12f
D1,2,fungicide,Mv,2,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D12f
D1,2,fungicide,Mv,3,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D12f
D2,2,fungicide,Mv,1,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D22f
D2,2,fungicide,Mv,2,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D22f
D2,2,fungicide,Mv,3,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D22f
D3,2,fungicide,Mv,1,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D32f
D3,2,fungicide,Mv,2,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D32f
D3,2,fungicide,Mv,3,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D32f
D4,2,fungicide,Mv,1,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D42f
D4,2,fungicide,Mv,2,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D42f
D4,2,fungicide,Mv,3,1,seedling,red,Mv,Mv,4,low,1,1,Mv,m,m,D42f
D1,3,fungicide,Mv,1,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D13f
D1,3,fungicide,Mv,2,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D13f
D1,3,fungicide,Mv,3,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D13f
D2,3,fungicide,Mv,1,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D23f
D2,3,fungicide,Mv,2,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D23f
D2,3,fungicide,Mv,3,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D23f
D3,3,fungicide,Mv,1,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D33f
D3,3,fungicide,Mv,2,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D33f
D3,3,fungicide,Mv,3,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D33f
D4,3,fungicide,Mv,1,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D43f
D4,3,fungicide,Mv,2,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D43f
D4,3,fungicide,Mv,3,1,seedling,red,Mv,Mv,16,medium,1,1,Mv,m,m,D43f
D1,4,fungicide,Mv,1,1,seedling,red,Mv,Mv,64,high,1,1,Mv,m,m,D14f
D1,4,fungicide,Mv,2,1,seedling,red,Mv,Mv,64,high,1,1,Mv,m,m,D14f
D1,4,fungicide,Mv,3,1,seedling,red,Mv,Mv,64,high,1,1,Mv,m,m,D14f
