effect,component,group,term,estimate,std.error,conf.low,conf.high,rhat,ess
fixed,cond,NA,s0_(Intercept),1234.8496645617315,88.4162987057234,1061.2287768077047,1406.264425333298,0.9999731445051384,12769.284306803329
fixed,cond,NA,s0_fungicide,-269.64892978209724,92.05667740401125,-450.242229857313,-92.05839597910519,0.9999738156324564,14925.211272856282
fixed,cond,NA,alpha_treatmentfungicide,0.0327541524481329,0.024058369553766872,4.710955106587211e-6,0.07845571786501168,1.0002750944648466,7575.258570525263
fixed,cond,NA,alpha_treatmentwater,0.018586549165008997,0.014732157551533417,3.756215973165249e-6,0.0465529817234326,1.000196130033142,7765.435873087117
ran_pars,cond,site,sd__s0_(Intercept),197.87171990404784,184.0901151045079,0.01071718611820089,558.145265029412,1.0004951033910736,4757.447807167066
ran_pars,cond,site:plotID,sd__s0_(Intercept),677.6482733573936,132.26272408609393,444.8257027581562,943.0067035704355,1.000215348120133,4712.775632461405
ran_pars,cond,Residual,sd__Observation,514.2947002777086,46.82515438318644,426.17932913018143,606.66127177543,1.0000598870628283,10307.255322076608
