time,species,N,Parameter,Estimate
23,Perennial first-year susceptible biomass,16.326066022769467,alpha_FA,7.5e-4
24,Perennial first-year susceptible biomass,16.32606011388298,alpha_FA,7.5e-4
25,Perennial first-year susceptible biomass,16.32605763812137,alpha_FA,7.5e-4
26,Perennial first-year susceptible biomass,16.32605660683655,alpha_FA,7.5e-4
27,Perennial first-year susceptible biomass,16.326056179482116,alpha_FA,7.5e-4
28,Perennial first-year susceptible biomass,16.32605600321542,alpha_FA,7.5e-4
29,Perennial first-year susceptible biomass,16.32605593081832,alpha_FA,7.5e-4
30,Perennial first-year susceptible biomass,16.326055901196533,alpha_FA,7.5e-4
31,Perennial first-year susceptible biomass,16.326055889118912,alpha_FA,7.5e-4
32,Perennial first-year susceptible biomass,16.326055884210376,alpha_FA,7.5e-4
33,Perennial first-year susceptible biomass,16.32605588222132,alpha_FA,7.5e-4
34,Perennial first-year susceptible biomass,16.326055881417485,alpha_FA,7.5e-4
35,Perennial first-year susceptible biomass,16.326055881093534,alpha_FA,7.5e-4
36,Perennial first-year susceptible biomass,16.326055880963178,alpha_FA,7.5e-4
37,Perennial first-year susceptible biomass,16.32605588091095,alpha_FA,7.5e-4
38,Perennial first-year susceptible biomass,16.326055880889996,alpha_FA,7.5e-4
39,Perennial first-year susceptible biomass,16.326055880881686,alpha_FA,7.5e-4
40,Perennial first-year susceptible biomass,16.32605588087836,alpha_FA,7.5e-4
41,Perennial first-year susceptible biomass,16.32605588087707,alpha_FA,7.5e-4
42,Perennial first-year susceptible biomass,16.32605588087654,alpha_FA,7.5e-4
43,Perennial first-year susceptible biomass,16.326055880876318,alpha_FA,7.5e-4
44,Perennial first-year susceptible biomass,16.32605588087614,alpha_FA,7.5e-4
45,Perennial first-year susceptible biomass,16.32605588087613,alpha_FA,7.5e-4
46,Perennial first-year susceptible biomass,16.326055880876165,alpha_FA,7.5e-4
47,Perennial first-year susceptible biomass,16.326055880876197,alpha_FA,7.5e-4
48,Perennial first-year susceptible biomass,16.326055880876098,alpha_FA,7.5e-4
49,Perennial first-year susceptible biomass,16.32605588087614,alpha_FA,7.5e-4
50,Perennial first-year susceptible biomass,16.32605588087608,alpha_FA,7.5e-4
1,Perennial adult susceptible biomass,653.0920164660887,alpha_FA,7.5e-4
2,Perennial adult susceptible biomass,653.0920164660887,alpha_FA,7.5e-4
3,Perennial adult susceptible biomass,648.7735728774729,alpha_FA,7.5e-4
4,Perennial adult susceptible biomass,625.8210151987977,alpha_FA,7.5e-4
5,Perennial adult susceptible biomass,511.1015867743207,alpha_FA,7.5e-4
6,Perennial adult susceptible biomass,47.75797876925747,alpha_FA,7.5e-4
7,Perennial adult susceptible biomass,47.00900497041529,alpha_FA,7.5e-4
8,Perennial adult susceptible biomass,46.64187175940729,alpha_FA,7.5e-4
9,Perennial adult susceptible biomass,44.959680838529785,alpha_FA,7.5e-4
10,Perennial adult susceptible biomass,43.50284781482279,alpha_FA,7.5e-4
11,Perennial adult susceptible biomass,42.54401915116241,alpha_FA,7.5e-4
12,Perennial adult susceptible biomass,42.00110122949795,alpha_FA,7.5e-4
13,Perennial adult susceptible biomass,41.72089175244354,alpha_FA,7.5e-4
14,Perennial adult susceptible biomass,41.58454860151983,alpha_FA,7.5e-4
15,Perennial adult susceptible biomass,41.52077727011217,alpha_FA,7.5e-4
16,Perennial adult susceptible biomass,41.49176731711884,alpha_FA,7.5e-4
17,Perennial adult susceptible biomass,41.4788405796949,alpha_FA,7.5e-4
18,Perennial adult susceptible biomass,41.47317230310676,alpha_FA,7.5e-4
19,Perennial adult susceptible biomass,41.470718728471546,alpha_FA,7.5e-4
20,Perennial adult susceptible biomass,41.46966794313036,alpha_FA,7.5e-4
21,Perennial adult susceptible biomass,41.4692219503172,alpha_FA,7.5e-4
22,Perennial adult susceptible biomass,41.46903410271364,alpha_FA,7.5e-4
23,Perennial adult susceptible biomass,41.46895550801573,alpha_FA,7.5e-4
24,Perennial adult susceptible biomass,41.46892281544985,alpha_FA,7.5e-4
25,Perennial adult susceptible biomass,41.46890928646688,alpha_FA,7.5e-4
26,Perennial adult susceptible biomass,41.468903713547924,alpha_FA,7.5e-4
27,Perennial adult susceptible biomass,41.468901427408625,alpha_FA,7.5e-4
28,Perennial adult susceptible biomass,41.46890049309288,alpha_FA,7.5e-4
29,Perennial adult susceptible biomass,41.46890011255384,alpha_FA,7.5e-4
30,Perennial adult susceptible biomass,41.46889995804964,alpha_FA,7.5e-4
31,Perennial adult susceptible biomass,41.468899895500485,alpha_FA,7.5e-4
32,Perennial adult susceptible biomass,41.468899870246574,alpha_FA,7.5e-4
33,Perennial adult susceptible biomass,41.46889986007571,alpha_FA,7.5e-4
34,Perennial adult susceptible biomass,41.468899855989086,alpha_FA,7.5e-4
35,Perennial adult susceptible biomass,41.46889985435065,alpha_FA,7.5e-4
36,Perennial adult susceptible biomass,41.4688998536956,alpha_FA,7.5e-4
37,Perennial adult susceptible biomass,41.46889985343362,alpha_FA,7.5e-4
38,Perennial adult susceptible biomass,41.46889985332924,alpha_FA,7.5e-4
39,Perennial adult susceptible biomass,41.46889985328785,alpha_FA,7.5e-4
40,Perennial adult susceptible biomass,41.46889985327151,alpha_FA,7.5e-4
41,Perennial adult susceptible biomass,41.468899853265135,alpha_FA,7.5e-4
42,Perennial adult susceptible biomass,41.46889985326223,alpha_FA,7.5e-4
43,Perennial adult susceptible biomass,41.46889985326127,alpha_FA,7.5e-4
44,Perennial adult susceptible biomass,41.468899853260716,alpha_FA,7.5e-4
45,Perennial adult susceptible biomass,41.46889985326086,alpha_FA,7.5e-4
46,Perennial adult susceptible biomass,41.468899853260744,alpha_FA,7.5e-4
47,Perennial adult susceptible biomass,41.468899853260645,alpha_FA,7.5e-4
48,Perennial adult susceptible biomass,41.46889985326057,alpha_FA,7.5e-4
49,Perennial adult susceptible biomass,41.468899853260595,alpha_FA,7.5e-4
50,Perennial adult susceptible biomass,41.46889985326053,alpha_FA,7.5e-4
1,Annual infected biomass,0,alpha_FA,7.5e-4
2,Annual infected biomass,2.16288794449934,alpha_FA,7.5e-4
3,Annual infected biomass,13.798281263183672,alpha_FA,7.5e-4
4,Annual infected biomass,75.64593584623408,alpha_FA,7.5e-4
5,Annual infected biomass,196.912907326413,alpha_FA,7.5e-4
6,Annual infected biomass,221.6270396251202,alpha_FA,7.5e-4
7,Annual infected biomass,234.97147497404418,alpha_FA,7.5e-4
8,Annual infected biomass,248.93328575710308,alpha_FA,7.5e-4
9,Annual infected biomass,260.28854360817655,alpha_FA,7.5e-4
10,Annual infected biomass,267.63996808129457,alpha_FA,7.5e-4
11,Annual infected biomass,271.76504707595814,alpha_FA,7.5e-4
12,Annual infected biomass,273.88320328742253,alpha_FA,7.5e-4
13,Annual infected biomass,274.9108808079386,alpha_FA,7.5e-4
14,Annual infected biomass,275.39077146472226,alpha_FA,7.5e-4
15,Annual infected biomass,275.6088689725859,alpha_FA,7.5e-4
16,Annual infected biomass,275.70599761813406,alpha_FA,7.5e-4
17,Annual infected biomass,275.74857330093494,alpha_FA,7.5e-4
18,Annual infected biomass,275.7669988358085,alpha_FA,7.5e-4
19,Annual infected biomass,275.77488889760565,alpha_FA,7.5e-4
20,Annual infected biomass,275.77823748511594,alpha_FA,7.5e-4
21,Annual infected biomass,275.7796478142135,alpha_FA,7.5e-4
22,Annual infected biomass,275.7802378761774,alpha_FA,7.5e-4
23,Annual infected biomass,275.7804833178571,alpha_FA,7.5e-4
24,Annual infected biomass,275.78058488722604,alpha_FA,7.5e-4
25,Annual infected biomass,275.78062672617256,alpha_FA,7.5e-4
26,Annual infected biomass,275.7806438895318,alpha_FA,7.5e-4
27,Annual infected biomass,275.7806509040171,alpha_FA,7.5e-4
28,Annual infected biomass,275.78065376097544,alpha_FA,7.5e-4
29,Annual infected biomass,275.78065492094885,alpha_FA,7.5e-4
30,Annual infected biomass,275.78065539055336,alpha_FA,7.5e-4
31,Annual infected biomass,275.7806555801568,alpha_FA,7.5e-4
32,Annual infected biomass,275.78065565651804,alpha_FA,7.5e-4
33,Annual infected biomass,275.7806556872,alpha_FA,7.5e-4
34,Annual infected biomass,275.7806556995002,alpha_FA,7.5e-4
35,Annual infected biomass,275.7806557044213,alpha_FA,7.5e-4
36,Annual infected biomass,275.78065570638745,alpha_FA,7.5e-4
37,Annual infected biomass,275.7806557071705,alpha_FA,7.5e-4
38,Annual infected biomass,275.78065570748106,alpha_FA,7.5e-4
39,Annual infected biomass,275.7806557076043,alpha_FA,7.5e-4
40,Annual infected biomass,275.78065570765244,alpha_FA,7.5e-4
41,Annual infected biomass,275.7806557076732,alpha_FA,7.5e-4
42,Annual infected biomass,275.7806557076812,alpha_FA,7.5e-4
43,Annual infected biomass,275.78065570768473,alpha_FA,7.5e-4
44,Annual infected biomass,275.7806557076847,alpha_FA,7.5e-4
45,Annual infected biomass,275.7806557076855,alpha_FA,7.5e-4
46,Annual infected biomass,275.7806557076849,alpha_FA,7.5e-4
47,Annual infected biomass,275.7806557076869,alpha_FA,7.5e-4
48,Annual infected biomass,275.78065570768564,alpha_FA,7.5e-4
49,Annual infected biomass,275.7806557076873,alpha_FA,7.5e-4
50,Annual infected biomass,275.7806557076863,alpha_FA,7.5e-4
1,Perennial first-year infected biomass,0,alpha_FA,7.5e-4
2,Perennial first-year infected biomass,0.058206039960108986,alpha_FA,7.5e-4
3,Perennial first-year infected biomass,0.3625268913916291,alpha_FA,7.5e-4
4,Perennial first-year infected biomass,1.748291566905829,alpha_FA,7.5e-4
5,Perennial first-year infected biomass,39.574947183074286,alpha_FA,7.5e-4
6,Perennial first-year infected biomass,12.117986244227568,alpha_FA,7.5e-4
7,Perennial first-year infected biomass,7.877883486533651,alpha_FA,7.5e-4
8,Perennial first-year infected biomass,7.381569314763922,alpha_FA,7.5e-4
9,Perennial first-year infected biomass,7.5017238518915805,alpha_FA,7.5e-4
10,Perennial first-year infected biomass,7.667317380596531,alpha_FA,7.5e-4
11,Perennial first-year infected biomass,7.776740869168656,alpha_FA,7.5e-4
12,Perennial first-year infected biomass,7.835975038123668,alpha_FA,7.5e-4
13,Perennial first-year infected biomass,7.865172582043523,alpha_FA,7.5e-4
14,Perennial first-year infected biomass,7.878819583321818,alpha_FA,7.5e-4
15,Perennial first-year infected biomass,7.88498855408264,alpha_FA,7.5e-4
16,Perennial first-year infected biomass,7.887714107093408,alpha_FA,7.5e-4
17,Perennial first-year infected biomass,7.888898396201194,alpha_FA,7.5e-4
18,Perennial first-year infected biomass,7.889406454618347,alpha_FA,7.5e-4
19,Perennial first-year infected biomass,7.889622203951331,alpha_FA,7.5e-4
20,Perennial first-year infected biomass,7.889713060170358,alpha_FA,7.5e-4
21,Perennial first-year infected biomass,7.889751053350711,alpha_FA,7.5e-4
22,Perennial first-year infected biomass,7.8897668453696586,alpha_FA,7.5e-4
23,Perennial first-year infected biomass,7.889773374996958,alpha_FA,7.5e-4
24,Perennial first-year infected biomass,7.889776062356365,alpha_FA,7.5e-4
25,Perennial first-year infected biomass,7.889777163809996,alpha_FA,7.5e-4
26,Perennial first-year infected biomass,7.8897776135767534,alpha_FA,7.5e-4
27,Perennial first-year infected biomass,7.889777796612789,alpha_FA,7.5e-4
28,Perennial first-year infected biomass,7.88977787086994,alpha_FA,7.5e-4
29,Perennial first-year infected biomass,7.8897779009096825,alpha_FA,7.5e-4
30,Perennial first-year infected biomass,7.8897779130296595,alpha_FA,7.5e-4
31,Perennial first-year infected biomass,7.889777917907549,alpha_FA,7.5e-4
32,Perennial first-year infected biomass,7.889777919866193,alpha_FA,7.5e-4
33,Perennial first-year infected biomass,7.889777920650949,alpha_FA,7.5e-4
34,Perennial first-year infected biomass,7.889777920964707,alpha_FA,7.5e-4
35,Perennial first-year infected biomass,7.88977792108988,alpha_FA,7.5e-4
36,Perennial first-year infected biomass,7.889777921139819,alpha_FA,7.5e-4
37,Perennial first-year infected biomass,7.889777921159629,alpha_FA,7.5e-4
38,Perennial first-year infected biomass,7.88977792116749,alpha_FA,7.5e-4
39,Perennial first-year infected biomass,7.889777921170598,alpha_FA,7.5e-4
40,Perennial first-year infected biomass,7.889777921171834,alpha_FA,7.5e-4
41,Perennial first-year infected biomass,7.889777921172343,alpha_FA,7.5e-4
42,Perennial first-year infected biomass,7.889777921172544,alpha_FA,7.5e-4
43,Perennial first-year infected biomass,7.889777921172605,alpha_FA,7.5e-4
44,Perennial first-year infected biomass,7.889777921172606,alpha_FA,7.5e-4
45,Perennial first-year infected biomass,7.889777921172644,alpha_FA,7.5e-4
46,Perennial first-year infected biomass,7.8897779211726435,alpha_FA,7.5e-4
47,Perennial first-year infected biomass,7.889777921172657,alpha_FA,7.5e-4
48,Perennial first-year infected biomass,7.889777921172657,alpha_FA,7.5e-4
49,Perennial first-year infected biomass,7.8897779211726755,alpha_FA,7.5e-4
50,Perennial first-year infected biomass,7.889777921172672,alpha_FA,7.5e-4
1,Perennial adult infected biomass,0,alpha_FA,7.5e-4
2,Perennial adult infected biomass,4.309163343928857,alpha_FA,7.5e-4
3,Perennial adult infected biomass,27.235911475088002,alpha_FA,7.5e-4
4,Perennial adult infected biomass,141.68117346094473,alpha_FA,7.5e-4
5,Perennial adult infected biomass,39.95303089514655,alpha_FA,7.5e-4
6,Perennial adult infected biomass,37.75445708468466,alpha_FA,7.5e-4
7,Perennial adult infected biomass,34.38170730330719,alpha_FA,7.5e-4
8,Perennial adult infected biomass,34.81764904624699,alpha_FA,7.5e-4
9,Perennial adult infected biomass,36.00617510388644,alpha_FA,7.5e-4
10,Perennial adult infected biomass,36.92552822320558,alpha_FA,7.5e-4
11,Perennial adult infected biomass,37.47079000415941,alpha_FA,7.5e-4
12,Perennial adult infected biomass,37.756560049840864,alpha_FA,7.5e-4
13,Perennial adult infected biomass,37.8962390836102,alpha_FA,7.5e-4
14,Perennial adult infected biomass,37.96158609715213,alpha_FA,7.5e-4
15,Perennial adult infected biomass,37.99126602642518,alpha_FA,7.5e-4
16,Perennial adult infected biomass,38.00446106124442,alpha_FA,7.5e-4
17,Perennial adult infected biomass,38.01023253947091,alpha_FA,7.5e-4
18,Perennial adult infected biomass,38.01272461418586,alpha_FA,7.5e-4
19,Perennial adult infected biomass,38.01378939246821,alpha_FA,7.5e-4
20,Perennial adult infected biomass,38.014240346404556,alpha_FA,7.5e-4
21,Perennial adult infected biomass,38.01442990735361,alpha_FA,7.5e-4
22,Perennial adult infected biomass,38.01450907582349,alpha_FA,7.5e-4
23,Perennial adult infected biomass,38.0145419530182,alpha_FA,7.5e-4
24,Perennial adult infected biomass,38.0145555380785,alpha_FA,7.5e-4
25,Perennial adult infected biomass,38.01456112646803,alpha_FA,7.5e-4
26,Perennial adult infected biomass,38.01456341609206,alpha_FA,7.5e-4
27,Perennial adult infected biomass,38.014564350759095,alpha_FA,7.5e-4
28,Perennial adult infected biomass,38.01456473103799,alpha_FA,7.5e-4
29,Perennial adult infected biomass,38.01456488528522,alpha_FA,7.5e-4
30,Perennial adult infected biomass,38.01456494767335,alpha_FA,7.5e-4
31,Perennial adult infected biomass,38.01456497284113,alpha_FA,7.5e-4
32,Perennial adult infected biomass,38.014564982969006,alpha_FA,7.5e-4
33,Perennial adult infected biomass,38.01456498703522,alpha_FA,7.5e-4
34,Perennial adult infected biomass,38.014564988664134,alpha_FA,7.5e-4
35,Perennial adult infected biomass,38.0145649893155,alpha_FA,7.5e-4
36,Perennial adult infected biomass,38.01456498957537,alpha_FA,7.5e-4
37,Perennial adult infected biomass,38.01456498967891,alpha_FA,7.5e-4
38,Perennial adult infected biomass,38.014564989720014,alpha_FA,7.5e-4
39,Perennial adult infected biomass,38.01456498973636,alpha_FA,7.5e-4
40,Perennial adult infected biomass,38.0145649897428,alpha_FA,7.5e-4
41,Perennial adult infected biomass,38.01456498974535,alpha_FA,7.5e-4
42,Perennial adult infected biomass,38.01456498974638,alpha_FA,7.5e-4
43,Perennial adult infected biomass,38.014564989746866,alpha_FA,7.5e-4
44,Perennial adult infected biomass,38.01456498974694,alpha_FA,7.5e-4
45,Perennial adult infected biomass,38.01456498974705,alpha_FA,7.5e-4
46,Perennial adult infected biomass,38.01456498974701,alpha_FA,7.5e-4
47,Perennial adult infected biomass,38.014564989747086,alpha_FA,7.5e-4
48,Perennial adult infected biomass,38.01456498974699,alpha_FA,7.5e-4
49,Perennial adult infected biomass,38.01456498974719,alpha_FA,7.5e-4
50,Perennial adult infected biomass,38.01456498974714,alpha_FA,7.5e-4
1,Conidia,5500,alpha_FA,7.5e-4
2,Conidia,75.1350346577075,alpha_FA,7.5e-4
3,Conidia,476.6287818830445,alpha_FA,7.5e-4
4,Conidia,2531.445126804204,alpha_FA,7.5e-4
5,Conidia,3220.0266978084974,alpha_FA,7.5e-4
6,Conidia,3172.719458164756,alpha_FA,7.5e-4
7,Conidia,3242.0481797986245,alpha_FA,7.5e-4
8,Conidia,3406.4475477446167,alpha_FA,7.5e-4
9,Conidia,3556.0934277894166,alpha_FA,7.5e-4
10,Conidia,3655.8119005324984,alpha_FA,7.5e-4
11,Conidia,3712.325660994677,alpha_FA,7.5e-4
12,Conidia,3741.4544069292933,alpha_FA,7.5e-4
13,Conidia,3755.6060638829435,alpha_FA,7.5e-4
14,Conidia,3762.216385125455,alpha_FA,7.5e-4
15,Conidia,3765.220089548536,alpha_FA,7.5e-4
16,Conidia,3766.557276627385,alpha_FA,7.5e-4
17,Conidia,3767.143161559016,alpha_FA,7.5e-4
18,Conidia,3767.39659909789,alpha_FA,7.5e-4
19,Conidia,3767.5050762408523,alpha_FA,7.5e-4
20,Conidia,3767.55109541416,alpha_FA,7.5e-4
21,Conidia,3767.57046994232,alpha_FA,7.5e-4
22,Conidia,3767.5785731324154,alpha_FA,7.5e-4
23,Conidia,3767.5819426511703,alpha_FA,7.5e-4
24,Conidia,3767.583336628534,alpha_FA,7.5e-4
25,Conidia,3767.5839106895937,alpha_FA,7.5e-4
26,Conidia,3767.5841461260734,alpha_FA,7.5e-4
27,Conidia,3767.584242324942,alpha_FA,7.5e-4
28,Conidia,3767.584281498073,alpha_FA,7.5e-4
29,Conidia,3767.5842973999797,alpha_FA,7.5e-4
30,Conidia,3767.5843038365747,alpha_FA,7.5e-4
31,Conidia,3767.5843064349265,alpha_FA,7.5e-4
32,Conidia,3767.5843074812287,alpha_FA,7.5e-4
33,Conidia,3767.584307901571,alpha_FA,7.5e-4
34,Conidia,3767.584308070059,alpha_FA,7.5e-4
35,Conidia,3767.584308137459,alpha_FA,7.5e-4
36,Conidia,3767.584308164384,alpha_FA,7.5e-4
37,Conidia,3767.584308175107,alpha_FA,7.5e-4
38,Conidia,3767.584308179359,alpha_FA,7.5e-4
39,Conidia,3767.5843081810467,alpha_FA,7.5e-4
40,Conidia,3767.584308181708,alpha_FA,7.5e-4
41,Conidia,3767.5843081819885,alpha_FA,7.5e-4
42,Conidia,3767.584308182099,alpha_FA,7.5e-4
43,Conidia,3767.584308182147,alpha_FA,7.5e-4
44,Conidia,3767.584308182147,alpha_FA,7.5e-4
45,Conidia,3767.584308182159,alpha_FA,7.5e-4
46,Conidia,3767.5843081821504,alpha_FA,7.5e-4
47,Conidia,3767.584308182176,alpha_FA,7.5e-4
48,Conidia,3767.58430818216,alpha_FA,7.5e-4
49,Conidia,3767.5843081821827,alpha_FA,7.5e-4
50,Conidia,3767.58430818217,alpha_FA,7.5e-4
1,Annual,43547.77218405569,alpha_FA,0.0015
2,Annual,43547.600843939785,alpha_FA,0.0015
3,Annual,43556.843231065905,alpha_FA,0.0015
4,Annual,43552.671992431686,alpha_FA,0.0015
5,Annual,41519.22933710146,alpha_FA,0.0015
6,Annual,41496.158826013016,alpha_FA,0.0015
7,Annual,41522.474685410554,alpha_FA,0.0015
8,Annual,41532.329244421155,alpha_FA,0.0015
9,Annual,41534.8037925527,alpha_FA,0.0015
10,Annual,41535.06278837103,alpha_FA,0.0015
11,Annual,41534.86509435923,alpha_FA,0.0015
12,Annual,41534.669203866375,alpha_FA,0.0015
13,Annual,41534.54539031834,alpha_FA,0.0015
14,Annual,41534.478691601296,alpha_FA,0.0015
15,Annual,41534.44441530496,alpha_FA,0.0015
16,Annual,41534.427995493315,alpha_FA,0.0015
17,Annual,41534.42031065929,alpha_FA,0.0015
18,Annual,41534.41678710021,alpha_FA,0.0015
19,Annual,41534.41519732235,alpha_FA,0.0015
20,Annual,41534.41448911104,alpha_FA,0.0015
21,Annual,41534.41417687519,alpha_FA,0.0015
22,Annual,41534.414040398224,alpha_FA,0.0015
23,Annual,41534.413981181155,alpha_FA,0.0015
24,Annual,41534.41395564706,alpha_FA,0.0015
25,Annual,41534.41394470043,alpha_FA,0.0015
26,Annual,41534.413940028506,alpha_FA,0.0015
27,Annual,41534.41393804186,alpha_FA,0.0015
28,Annual,41534.41393720307,alpha_FA,0.0015
29,Annual,41534.413936847835,alpha_FA,0.0015
30,Annual,41534.41393669913,alpha_FA,0.0015
31,Annual,41534.413936636716,alpha_FA,0.0015
32,Annual,41534.413936608944,alpha_FA,0.0015
33,Annual,41534.41393659838,alpha_FA,0.0015
34,Annual,41534.413936593985,alpha_FA,0.0015
35,Annual,41534.41393659215,alpha_FA,0.0015
36,Annual,41534.41393659099,alpha_FA,0.0015
37,Annual,41534.413936590725,alpha_FA,0.0015
38,Annual,41534.413936590405,alpha_FA,0.0015
39,Annual,41534.41393659141,alpha_FA,0.0015
40,Annual,41534.413936590805,alpha_FA,0.0015
41,Annual,41534.413936589975,alpha_FA,0.0015
42,Annual,41534.413936590085,alpha_FA,0.0015
43,Annual,41534.41393659076,alpha_FA,0.0015
44,Annual,41534.41393659029,alpha_FA,0.0015
45,Annual,41534.41393659106,alpha_FA,0.0015
46,Annual,41534.41393659066,alpha_FA,0.0015
47,Annual,41534.41393659097,alpha_FA,0.0015
48,Annual,41534.413936590514,alpha_FA,0.0015
49,Annual,41534.413936590536,alpha_FA,0.0015
50,Annual,41534.413936590536,alpha_FA,0.0015
1,Perennial first-year,14160.61632515268,alpha_FA,0.0015
2,Perennial first-year,14137.435816103647,alpha_FA,0.0015
3,Perennial first-year,14131.650358199899,alpha_FA,0.0015
4,Perennial first-year,14126.036092769844,alpha_FA,0.0015
5,Perennial first-year,2415.532029749397,alpha_FA,0.0015
6,Perennial first-year,1641.0800733512242,alpha_FA,0.0015
7,Perennial first-year,1555.289818922012,alpha_FA,0.0015
8,Perennial first-year,1545.3866560272193,alpha_FA,0.0015
9,Perennial first-year,1545.2122072564262,alpha_FA,0.0015
10,Perennial first-year,1545.7438147574644,alpha_FA,0.0015
11,Perennial first-year,1546.0414860403496,alpha_FA,0.0015
12,Perennial first-year,1546.1680078681889,alpha_FA,0.0015
13,Perennial first-year,1546.217093277185,alpha_FA,0.0015
14,Perennial first-year,1546.2353521086466,alpha_FA,0.0015
15,Perennial first-year,1546.2419471021044,alpha_FA,0.0015
16,Perennial first-year,1546.2442828922233,alpha_FA,0.0015
17,Perennial first-year,1546.2450893515286,alpha_FA,0.0015
18,Perennial first-year,1546.2453589843599,alpha_FA,0.0015
19,Perennial first-year,1546.2454450989312,alpha_FA,0.0015
20,Perennial first-year,1546.2454706600536,alpha_FA,0.0015
21,Perennial first-year,1546.2454772624983,alpha_FA,0.0015
22,Perennial first-year,1546.2454784296535,alpha_FA,0.0015
23,Perennial first-year,1546.2454782976906,alpha_FA,0.0015
24,Perennial first-year,1546.245478001978,alpha_FA,0.0015
25,Perennial first-year,1546.2454777851945,alpha_FA,0.0015
26,Perennial first-year,1546.245477658649,alpha_FA,0.0015
27,Perennial first-year,1546.2454775919743,alpha_FA,0.0015
28,Perennial first-year,1546.2454775587682,alpha_FA,0.0015
29,Perennial first-year,1546.2454775428894,alpha_FA,0.0015
30,Perennial first-year,1546.2454775354795,alpha_FA,0.0015
31,Perennial first-year,1546.2454775320882,alpha_FA,0.0015
32,Perennial first-year,1546.2454775306007,alpha_FA,0.0015
33,Perennial first-year,1546.2454775299257,alpha_FA,0.0015
34,Perennial first-year,1546.2454775296262,alpha_FA,0.0015
35,Perennial first-year,1546.2454775294896,alpha_FA,0.0015
36,Perennial first-year,1546.245477529444,alpha_FA,0.0015
37,Perennial first-year,1546.245477529424,alpha_FA,0.0015
38,Perennial first-year,1546.245477529419,alpha_FA,0.0015
39,Perennial first-year,1546.2454775293893,alpha_FA,0.0015
40,Perennial first-year,1546.2454775293936,alpha_FA,0.0015
41,Perennial first-year,1546.2454775294134,alpha_FA,0.0015
42,Perennial first-year,1546.24547752942,alpha_FA,0.0015
43,Perennial first-year,1546.245477529401,alpha_FA,0.0015
44,Perennial first-year,1546.2454775294073,alpha_FA,0.0015
45,Perennial first-year,1546.2454775293927,alpha_FA,0.0015
46,Perennial first-year,1546.245477529398,alpha_FA,0.0015
47,Perennial first-year,1546.2454775293959,alpha_FA,0.0015
48,Perennial first-year,1546.2454775294018,alpha_FA,0.0015
49,Perennial first-year,1546.2454775293986,alpha_FA,0.0015
50,Perennial first-year,1546.2454775294036,alpha_FA,0.0015
1,Perennial adult,28709.44835237306,alpha_FA,0.0015
2,Perennial adult,28697.19050522951,alpha_FA,0.0015
3,Perennial adult,28684.58803377405,alpha_FA,0.0015
4,Perennial adult,28672.39403606399,alpha_FA,0.0015
5,Perennial adult,28332.588911407547,alpha_FA,0.0015
