effect,component,group,term,estimate,std.error,conf.low,conf.high,rhat,ess
fixed,cond,NA,(Intercept),34.685568442186224,2.9228132887472116,28.871458717126664,40.320609791494974,1.0001099334863657,10792.207396505715
fixed,cond,NA,fungicide1,-5.9613536808835415,3.8059664300245513,-13.462313687034964,1.6915402123254246,1.0000536233994188,12135.559418950501
ran_pars,cond,Residual,sd__Observation,8.829083779495296,1.5941220015595075,6.125970415302515,12.089206660552692,0.9999808004655875,9815.403400937583
