site_plot,trial,seeds,germination_final,seeds_dark,seeds_light,seeds_infect,prop_germ,prop_dark,prop_light,site,plot,treatment,fungicide,plotf
D3 10F,1,30,20,2,11,1,0.6666666666666666,0.06666666666666667,0.36666666666666664,D3,10,fungicide,1,D310f
D4 6W,1,30,26,5,5,1,0.8666666666666667,0.16666666666666666,0.16666666666666666,D4,6,control,0,D46c
D4 2F,1,30,23,1,2,1,0.7666666666666667,0.03333333333333333,0.06666666666666667,D4,2,fungicide,1,D42f
D4 9W,1,30,21,4,5,1,0.7,0.13333333333333333,0.16666666666666666,D4,9,control,0,D49c
D4 7W,1,30,8,8,5,1,0.26666666666666666,0.26666666666666666,0.16666666666666666,D4,7,control,0,D47c
D2 9W,1,30,24,3,4,1,0.8,0.1,0.13333333333333333,D2,9,control,0,D29c
D4 2W,1,30,16,3,4,1,0.5333333333333333,0.1,0.13333333333333333,D4,2,control,0,D42c
D2 4W,1,29,15,18,3,1,0.5172413793103449,0.6206896551724138,0.10344827586206896,D2,4,control,0,D24c
D3 9F,1,30,20,2,6,1,0.6666666666666666,0.06666666666666667,0.2,D3,9,fungicide,1,D39f
D3 6F,1,30,20,4,9,1,0.6666666666666666,0.13333333333333333,0.3,D3,6,fungicide,1,D36f
D1 10W,2,30,21,4,7,1,0.7,0.13333333333333333,0.23333333333333334,D1,10,control,0,D110c
D1 1F,2,30,24,0,5,1,0.8,0,0.16666666666666666,D1,1,fungicide,1,D11f
D1 1W,2,30,21,5,5,1,0.7,0.16666666666666666,0.16666666666666666,D1,1,control,0,D11c
D1 2F,2,30,23,1,8,1,0.7666666666666667,0.03333333333333333,0.26666666666666666,D1,2,fungicide,1,D12f
D1 2W,2,30,20,1,21,1,0.6666666666666666,0.03333333333333333,0.7,D1,2,control,0,D12c
D1 3F,2,30,15,2,6,1,0.5,0.06666666666666667,0.2,D1,3,fungicide,1,D13f
D1 3W,2,30,17,2,4,1,0.5666666666666667,0.06666666666666667,0.13333333333333333,D1,3,control,0,D13c
D1 4F,2,30,12,5,4,1,0.4,0.16666666666666666,0.13333333333333333,D1,4,fungicide,1,D14f
D1 4W,2,30,18,0,5,1,0.6,0,0.16666666666666666,D1,4,control,0,D14c
D1 5F,2,30,25,0,2,1,0.8333333333333334,0,0.06666666666666667,D1,5,fungicide,1,D15f
D1 5W,2,30,22,0,1,1,0.7333333333333333,0,0.03333333333333333,D1,5,control,0,D15c
D1 6F,2,30,27,0,4,1,0.9,0,0.13333333333333333,D1,6,fungicide,1,D16f
D1 6W,2,30,22,3,4,1,0.7333333333333333,0.1,0.13333333333333333,D1,6,control,0,D16c
D1 7F,2,28,26,0,6,1,0.9285714285714286,0,0.21428571428571427,D1,7,fungicide,1,D17f
D1 7W,2,30,24,0,7,1,0.8,0,0.23333333333333334,D1,7,control,0,D17c
D1 8F,2,30,25,0,7,1,0.8333333333333334,0,0.23333333333333334,D1,8,fungicide,1,D18f
D1 8W,2,30,25,1,7,1,0.8333333333333334,0.03333333333333333,0.23333333333333334,D1,8,control,0,D18c
D1 9F,2,30,17,1,7,1,0.5666666666666667,0.03333333333333333,0.23333333333333334,D1,9,fungicide,1,D19f
D1 9W,2,30,19,3,2,1,0.6333333333333333,0.1,0.06666666666666667,D1,9,control,0,D19c
D2 10F,2,30,21,0,9,1,0.7,0,0.3,D2,10,fungicide,1,D210f
D2 10W,2,30,24,6,7,1,0.8,0.2,0.23333333333333334,D2,10,control,0,D210c
D2 1F,2,30,20,1,13,1,0.6666666666666666,0.03333333333333333,0.43333333333333335,D2,1,fungicide,1,D21f
D2 1W,2,30,18,7,13,1,0.6,0.23333333333333334,0.43333333333333335,D2,1,control,0,D21c
D2 2F,2,30,22,2,5,1,0.7333333333333333,0.06666666666666667,0.16666666666666666,D2,2,fungicide,1,D22f
D2 2W,2,30,22,0,5,1,0.7333333333333333,0,0.16666666666666666,D2,2,control,0,D22c
D2 3F,2,30,24,1,2,1,0.8,0.03333333333333333,0.06666666666666667,D2,3,fungicide,1,D23f
D2 3W,2,30,18,0,7,1,0.6,0,0.23333333333333334,D2,3,control,0,D23c
D2 4F,2,30,19,0,3,1,0.6333333333333333,0,0.1,D2,4,fungicide,1,D24f
D2 4W,2,30,26,0,1,1,0.8666666666666667,0,0.03333333333333333,D2,4,control,0,D24c
D2 5F,2,30,14,1,14,1,0.4666666666666667,0.03333333333333333,0.4666666666666667,D2,5,fungicide,1,D25f
D2 5W,2,30,26,1,8,1,0.8666666666666667,0.03333333333333333,0.26666666666666666,D2,5,control,0,D25c
D2 6F,2,30,24,1,8,1,0.8,0.03333333333333333,0.26666666666666666,D2,6,fungicide,1,D26f
D2 6W,2,30,25,1,8,1,0.8333333333333334,0.03333333333333333,0.26666666666666666,D2,6,control,0,D26c
D2 7F,2,30,18,2,5,1,0.6,0.06666666666666667,0.16666666666666666,D2,7,fungicide,1,D27f
D2 7W,2,30,26,4,7,1,0.8666666666666667,0.13333333333333333,0.23333333333333334,D2,7,control,0,D27c
D2 8F,2,30,22,0,10,1,0.7333333333333333,0,0.3333333333333333,D2,8,fungicide,1,D28f
D2 8W,2,30,21,1,5,1,0.7,0.03333333333333333,0.16666666666666666,D2,8,control,0,D28c
D2 9F,2,30,19,0,3,1,0.6333333333333333,0,0.1,D2,9,fungicide,1,D29f
D2 9W,2,30,21,0,4,1,0.7,0,0.13333333333333333,D2,9,control,0,D29c
D3 10F,2,29,18,4,7,1,0.6206896551724138,0.13793103448275862,0.2413793103448276,D3,10,fungicide,1,D310f
D3 10W,2,30,18,7,10,1,0.6,0.23333333333333334,0.3333333333333333,D3,10,control,0,D310c
D3 1F,2,30,17,3,7,1,0.5666666666666667,0.1,0.23333333333333334,D3,1,fungicide,1,D31f
D3 1W,2,30,25,3,14,1,0.8333333333333334,0.1,0.4666666666666667,D3,1,control,0,D31c
D3 2F,2,29,24,5,0,1,0.8275862068965517,0.1724137931034483,0,D3,2,fungicide,1,D32f
D3 2W,2,30,17,3,7,1,0.5666666666666667,0.1,0.23333333333333334,D3,2,control,0,D32c
D3 3F,2,30,22,2,4,1,0.7333333333333333,0.06666666666666667,0.13333333333333333,D3,3,fungicide,1,D33f
D3 3W,2,30,16,8,5,1,0.5333333333333333,0.26666666666666666,0.16666666666666666,D3,3,control,0,D33c
D3 4F,2,30,23,2,4,1,0.7666666666666667,0.06666666666666667,0.13333333333333333,D3,4,fungicide,1,D34f
D3 4W,2,30,18,2,5,1,0.6,0.06666666666666667,0.16666666666666666,D3,4,control,0,D34c
D3 5F,2,30,14,2,9,1,0.4666666666666667,0.06666666666666667,0.3,D3,5,fungicide,1,D35f
