effect,component,group,term,estimate,std.error,conf.low,conf.high,rhat,ess
fixed,cond,NA,s0_(Intercept),1173.5561841155643,93.94995988902815,996.2478182080176,1360.7041905317126,1.0003548618065037,12579.458727344181
fixed,cond,NA,s0_fungicide,762.8269188759482,99.874693890475,566.7786438829146,958.9396191802294,1.0009613304851224,15778.5840980089
fixed,cond,NA,alpha_treatmentfungicide,0.12266724883188197,0.0460499754895632,0.039647598149800393,0.21246010324241402,1.0001910327944232,6584.510448020259
fixed,cond,NA,alpha_treatmentwater,0.023041738596814684,0.017888326197544904,2.884260386731965e-6,0.05720672382184858,1.0000881850414018,5368.682203178388
ran_pars,cond,site,sd__s0_(Intercept),233.8134905023861,207.73755623461352,0.044181230663437335,629.1745464456368,1.0009335531941166,4851.054539854289
ran_pars,cond,site:plotID,sd__s0_(Intercept),875.0494947917621,169.33378457839166,571.8440811790625,1222.1166034160042,1.0013723193501722,3841.9587127794935
ran_pars,cond,Residual,sd__Observation,519.773705077461,47.52049505872796,434.109769075048,617.8156109343881,1.0008216323996177,9081.961791842657
