site,plot,treatment,mv.g,mv_weigh_date,process_notes
D1,1,fungicide,4.21,20190412,
D1,2,fungicide,8.87,20190412,
D1,3,fungicide,3.86,20190412,
D1,4,fungicide,16.05,20190412,
D1,5,fungicide,2.62,20190412,
D1,6,fungicide,1.98,20190412,
D1,7,fungicide,3.45,20190412,
D1,8,fungicide,15.11,20190412,
D1,9,fungicide,13.44,20190412,
D1,10,fungicide,8.34,20190412,
D1,1,water,4.16,20190412,
D1,2,water,6.98,20190412,
D1,3,water,7.54,20190412,
D1,4,water,9.52,20190412,
D1,5,water,1.45,20190412,
D1,6,water,3.63,20190412,
D1,7,water,3.58,20190412,
D1,8,water,5,20190412,
D1,9,water,7.27,20190412,
D1,10,water,5.96,20190411,
D2,1,fungicide,6.03,20190411,
D2,2,fungicide,1.5,20190412,
D2,3,fungicide,16.63,20190412,
D2,4,fungicide,6.4,20190411,
D2,5,fungicide,6.02,20190411,
D2,6,fungicide,10.35,20190412,
D2,7,fungicide,1.92,20190411,
D2,8,fungicide,5.51,20190412,
D2,9,fungicide,1.52,20190411,
D2,10,fungicide,1.79,20190411,
D2,1,water,0.13,20190412,
D2,2,water,9.27,20190411,
D2,3,water,8.72,20190411,
D2,4,water,15.47,20190412,
D2,5,water,9.15,20190411,
D2,6,water,2.06,20190411,
D2,7,water,6.02,20190411,
D2,8,water,1.71,20190411,
D2,9,water,10.18,20190412,
D2,10,water,4.68,20190411,
D3,1,fungicide,3.37,20190411,
D3,2,fungicide,2.45,20190411,
D3,3,fungicide,6.18,20190411,
D3,4,fungicide,5.87,20190412,
D3,5,fungicide,3.26,20190411,
D3,6,fungicide,0.82,20190411,
D3,7,fungicide,2.91,20190411,
D3,8,fungicide,10.92,20190412,
D3,9,fungicide,2.24,20190411,
D3,10,fungicide,4.45,20190411,
D3,1,water,2.58,20190411,
D3,2,water,5.24,20190411,
D3,3,water,6.84,20190411,
D3,4,water,10.67,20190411,
D3,5,water,4.75,20190411,
D3,6,water,2.5,20190411,
D3,7,water,3.82,20190411,
D3,8,water,1.81,20190412,
D3,9,water,1.99,20190411,
D3,10,water,2.76,20190412,
D4,1,fungicide,2.09,20190411,
D4,2,fungicide,3.71,20190411,
D4,3,fungicide,NA,NA,bag missing
D4,4,fungicide,7.26,20190411,
D4,5,fungicide,3.57,20190411,
D4,6,fungicide,1.68,20190411,
D4,7,fungicide,2.86,20190411,
D4,8,fungicide,NA,NA,
D4,9,fungicide,7.02,20190411,
D4,10,fungicide,NA,NA,
D4,1,water,3.17,20190411,
D4,2,water,1.81,20190411,
D4,3,water,6.81,20190411,
D4,4,water,4.16,20190411,
D4,5,water,6.76,20190411,
D4,6,water,4.72,20190411,
D4,7,water,8.53,20190411,
D4,8,water,2.25,20190411,
D4,9,water,7.73,20190411,
D4,10,water,4.51,20190411,
