year,site,plot,treatment,age,seeds_planted,week_2_emerg,week_3_emerg,week_3_cut_tops,week_4_emerg,week_4_cut_tops,week_4_soil_germ,notes
2019,D2,7,water,adult,31,0,0,0,0,0,0,
2019,D2,7,water,seedling,30,1,0,0,0,0,0,
2019,D2,10,fungicide,adult,30,0,1,0,2,0,0,
2019,D2,10,fungicide,seedling,30,1,2,0,3,0,0,
2019,D2,10,water,adult,30,1,0,0,1,0,0,
2019,D2,10,water,seedling,30,2,3,1,5,1,0,
2019,D1,1,water,adult,27,1,0,0,0,0,0,
2019,D1,4,fungicide,adult,30,0,0,0,0,0,0,
2019,D1,4,fungicide,seedling,9,1,0,0,1,0,0,
2019,D1,4,water,adult,30,0,1,0,1,0,0,
2019,D1,7,fungicide,adult,30,0,0,0,0,0,0,"a seedling with a cut top was found in this container in week 3, but there were no emergents in week 2 and the seed was completely above the soil, so it is likely a plucked seed from another container."
2019,D1,7,water,adult,22,0,0,0,0,0,0,
2019,D1,7,water,seedling,26,0,1,0,2,0,0,
2019,D1,10,fungicide,adult,21,0,0,0,0,0,0,
2019,D1,10,fungicide,seedling,30,0,0,0,1,0,0,
2019,D1,10,water,adult,30,0,0,0,0,0,0,
2019,D1,10,water,seedling,30,4,1,0,4,0,0,
