Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
lesions:D4_1W_Mv2,5,3176,635.2,2.748,255,86.749,31.946,15.355,143.168
leaf:D4_1W_Mv3,1,137990,137990,19.625,255,2331.81,984.492,178.462,6.879
lesions:D4_1W_Mv3,9,6004,667.111,2.561,255,92.536,35.799,17.683,40.659
leaf:D4_2F_BgMv,11,2257113,205192.091,18.336,255,2850.032,1145.125,219.502,53.241
lesions:D4_2F_BgMv,63,43168,685.206,0.444,255,95.375,37.145,15.799,58.078
leaf:D4_2F_Mv2,1,213695,213695,25.17,255,2991.918,1258.03,216.279,5.368
lesions:D4_2F_Mv2,10,20911,2091.1,6.077,255,193.788,71.792,17.875,25.164
leaf:D4_2F_Mv3,1,243842,243842,25.207,255,3190.511,1306.325,237.666,6.775
lesions:D4_2F_Mv3,4,1700,425,0.349,255,70.623,26.046,14.662,98.816
leaf:D4_2W_BgMv,10,2392802,239280.2,15.291,255,2897.137,1194.156,248.516,141.141
lesions:D4_2W_BgMv,137,130644,953.606,1.043,255,125.767,45.456,16.828,98.984
leaf:D4_2W_Mv1,1,225800,225800,17.683,255,2825.416,1145.039,251.081,3.332
lesions:D4_2W_Mv1,11,3416,310.545,0.995,255,63.18,23.876,12.93,58.338
leaf:D4_2W_Mv3,1,118392,118392,14.715,254.996,1845.374,759.85,198.383,164.072
lesions:D4_2W_Mv3,5,9820,1964,4.334,255,226.009,46.354,20.803,126.804
leaf:D4_3F_BgMv,10,2961974,296197.4,21.55,255,3481.661,1447.373,259.093,90.737
lesions:D4_3F_BgMv,98,111464,1137.388,1.066,255,119.454,42.531,17.338,86.688
leaf:D4_3F_Mv1,1,136655,136655,23.974,255,2634.413,1102.021,157.887,0.814
lesions:D4_3F_Mv1,8,6486,810.75,2.959,255,103.573,41.878,15.49,112.123
leaf:D4_3F_Mv2,1,124565,124565,16.231,254.996,2563.731,1073.886,147.689,162.817
lesions:D4_3F_Mv2,2,8939,4469.5,2.279,255,406.383,99.671,30.7,120.83
leaf:D4_3F_Mv3,1,297729,297729,23.02,255,3893.361,1570.088,241.439,169.609
lesions:D4_3F_Mv3,9,10118,1124.222,1.304,255,121.989,40.862,16.148,107.942
leaf:D4_3W_BgMv,10,2460656,246065.6,18.758,255,3122.998,1315.429,235.604,23.286
lesions:D4_3W_BgMv,218,257466,1181.037,2.631,255,130.142,46.498,16.942,72.675
leaf:D4_3W_Mv1,1,374457,374457,27.914,255,3863.121,1597.511,298.448,178.494
