date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,path_ID,seeds_collected,field_notes
20190730,D2,2,water,Mv,2,10,9,NA,1,1,NA,
20190730,D2,2,water,Mv,3,7,6,NA,1,1,NA,
20190730,D2,3,water,Mv,1,2,1,NA,1,1,NA,
20190730,D2,3,water,Mv,2,3,1,NA,1,1,NA,
20190730,D2,3,water,Mv,3,8,2,NA,1,1,NA,
20190730,D2,4,water,Mv,1,5,2,NA,1,1,NA,
20190730,D2,4,water,Mv,2,6,3,NA,1,1,NA,
20190730,D2,4,water,Mv,3,6,3,NA,1,1,NA,
20190731,D2,5,water,Mv,1,4,2,NA,1,1,NA,
20190731,D2,5,water,Mv,2,7,2,NA,1,1,NA,
20190731,D2,5,water,Mv,3,7,1,NA,1,1,NA,
20190730,D2,6,water,Mv,1,7,4,NA,1,1,NA,
20190730,D2,6,water,Mv,2,8,3,NA,1,1,NA,
20190730,D2,6,water,Mv,3,7,3,NA,1,1,NA,
20190731,D2,7,water,Mv,1,10,7,NA,1,1,NA,
20190731,D2,7,water,Mv,2,9,5,NA,1,1,NA,
20190731,D2,7,water,Mv,3,8,6,NA,1,1,NA,
20190731,D2,8,water,Mv,1,8,6,NA,1,1,NA,
20190731,D2,8,water,Mv,2,8,6,NA,1,1,NA,
20190731,D2,8,water,Mv,3,9,8,NA,1,1,NA,
20190730,D2,9,water,Mv,1,7,2,NA,1,1,NA,
20190730,D2,9,water,Mv,2,6,1,NA,1,1,NA,
20190730,D2,9,water,Mv,3,7,2,NA,1,1,NA,
20190730,D2,10,water,Mv,1,6,4,NA,1,1,NA,
20190730,D2,10,water,Mv,2,7,4,NA,1,1,NA,
20190730,D2,10,water,Mv,3,7,5,NA,1,1,NA,
20190729,D3,1,fungicide,Mv,1,7,1,NA,1,1,NA,
20190729,D3,1,fungicide,Mv,2,7,1,NA,1,1,NA,
20190729,D3,1,fungicide,Mv,3,7,2,NA,1,1,NA,
20190730,D3,2,fungicide,Mv,1,6,2,NA,1,1,NA,
20190730,D3,2,fungicide,Mv,2,4,1,NA,1,1,NA,
20190730,D3,2,fungicide,Mv,3,5,1,NA,1,1,NA,
20190729,D3,3,fungicide,Mv,1,8,4,NA,1,1,NA,
20190729,D3,3,fungicide,Mv,2,9,2,NA,1,1,NA,
20190729,D3,3,fungicide,Mv,3,7,3,NA,1,1,NA,
20190730,D3,4,fungicide,Mv,1,8,3,NA,1,1,NA,
20190730,D3,4,fungicide,Mv,2,8,5,NA,1,1,NA,
20190730,D3,4,fungicide,Mv,3,5,1,NA,1,1,NA,
20190729,D3,5,fungicide,Mv,1,8,2,NA,1,1,NA,
20190729,D3,5,fungicide,Mv,2,6,2,NA,1,1,NA,
20190729,D3,5,fungicide,Mv,3,8,3,NA,1,1,NA,
20190730,D3,6,fungicide,Mv,1,7,1,NA,1,1,NA,
20190730,D3,6,fungicide,Mv,2,6,1,NA,1,1,NA,
20190730,D3,6,fungicide,Mv,3,3,1,NA,1,1,NA,
20190730,D3,7,fungicide,Mv,1,5,1,NA,1,1,NA,
20190730,D3,7,fungicide,Mv,2,6,1,NA,1,1,NA,
20190730,D3,7,fungicide,Mv,3,6,1,NA,1,1,NA,
20190729,D3,8,fungicide,Mv,1,3,1,NA,1,1,NA,
20190729,D3,8,fungicide,Mv,2,6,1,NA,1,1,NA,
20190729,D3,8,fungicide,Mv,3,3,1,NA,1,1,NA,
20190729,D3,9,fungicide,Mv,1,8,4,NA,1,1,NA,
20190729,D3,9,fungicide,Mv,2,7,3,NA,1,1,NA,
20190729,D3,9,fungicide,Mv,3,7,3,NA,1,1,NA,
20190729,D3,10,fungicide,Mv,1,3,1,NA,1,1,NA,
20190729,D3,10,fungicide,Mv,2,8,1,NA,1,1,NA,
20190729,D3,10,fungicide,Mv,3,8,3,NA,1,1,NA,
20190729,D3,1,water,Mv,1,7,3,NA,1,1,NA,
20190729,D3,1,water,Mv,2,9,3,NA,1,1,NA,
20190729,D3,1,water,Mv,3,7,4,NA,1,1,NA,
20190730,D3,2,water,Mv,1,6,3,NA,1,1,NA,
20190730,D3,2,water,Mv,2,8,7,NA,1,1,NA,
20190730,D3,2,water,Mv,3,3,1,NA,1,1,NA,
20190730,D3,3,water,Mv,1,9,1,NA,1,1,NA,
20190730,D3,3,water,Mv,2,2,1,NA,1,1,NA,
20190730,D3,3,water,Mv,3,7,2,NA,1,1,NA,
20190730,D3,4,water,Mv,1,7,4,NA,1,1,NA,
20190730,D3,4,water,Mv,2,9,2,NA,1,1,NA,
20190730,D3,4,water,Mv,3,6,2,NA,1,1,NA,
20190729,D3,5,water,Mv,1,6,4,NA,1,1,NA,
20190729,D3,5,water,Mv,2,5,3,NA,1,1,NA,
20190729,D3,5,water,Mv,3,6,3,NA,1,1,NA,
20190730,D3,6,water,Mv,1,6,4,NA,1,1,NA,
20190730,D3,6,water,Mv,2,7,5,NA,1,1,NA,
20190730,D3,6,water,Mv,3,8,5,NA,1,1,NA,
20190729,D3,7,water,Mv,1,3,1,NA,1,1,NA,"leaf counts not representative, only infected tiller"
20190729,D3,7,water,Mv,2,2,1,NA,1,1,NA,"leaf counts not representative, only infected tiller"
20190729,D3,7,water,Mv,3,2,1,NA,1,1,NA,"leaf counts not representative, only infected tiller"
20190730,D3,8,water,Mv,1,5,1,NA,1,1,NA,
20190730,D3,8,water,Mv,2,6,1,NA,1,1,NA,
20190730,D3,8,water,Mv,3,5,1,NA,1,1,NA,
20190729,D3,9,water,Mv,1,3,1,NA,1,1,NA,
20190729,D3,9,water,Mv,2,5,1,NA,1,1,NA,
20190729,D3,9,water,Mv,3,2,1,NA,1,1,NA,
20190729,D3,10,water,Mv,1,3,1,NA,1,1,NA,
20190729,D3,10,water,Mv,2,4,1,NA,1,1,NA,
20190729,D3,10,water,Mv,3,2,1,NA,1,1,NA,
20190729,D4,1,fungicide,Mv,1,4,1,NA,1,1,NA,
20190729,D4,1,fungicide,Mv,2,4,2,NA,1,1,NA,
20190729,D4,1,fungicide,Mv,3,6,1,NA,1,1,NA,
20190729,D4,2,fungicide,Mv,1,5,2,NA,1,1,NA,
20190729,D4,2,fungicide,Mv,2,4,3,NA,1,1,NA,
20190729,D4,2,fungicide,Mv,3,6,1,NA,1,1,NA,
20190729,D4,3,fungicide,Mv,1,4,3,NA,1,1,NA,
20190729,D4,3,fungicide,Mv,2,2,1,NA,1,1,NA,
20190729,D4,3,fungicide,Mv,3,6,2,NA,1,1,NA,
20190729,D4,4,fungicide,Mv,1,7,0,NA,1,1,NA,no 2 lesions
20190729,D4,4,fungicide,Mv,2,4,0,NA,1,1,NA,no 2 lesions
20190729,D4,4,fungicide,Mv,3,7,1,NA,1,1,NA,
20190729,D4,5,fungicide,Mv,1,7,5,NA,1,1,NA,
20190729,D4,5,fungicide,Mv,2,6,4,NA,1,1,NA,
20190729,D4,5,fungicide,Mv,3,5,3,NA,1,1,NA,
20190729,D4,6,fungicide,Mv,1,5,3,NA,1,1,NA,
20190729,D4,6,fungicide,Mv,2,6,2,NA,1,1,NA,
20190729,D4,6,fungicide,Mv,3,2,2,NA,1,1,NA,
20190729,D4,7,fungicide,Mv,1,5,2,NA,1,1,NA,
20190729,D4,7,fungicide,Mv,2,6,4,NA,1,1,NA,
20190729,D4,7,fungicide,Mv,3,5,2,NA,1,1,NA,
20190729,D4,8,fungicide,Mv,1,5,2,NA,1,1,NA,
20190729,D4,8,fungicide,Mv,2,4,1,NA,1,1,NA,
20190729,D4,8,fungicide,Mv,3,5,1,NA,1,1,NA,
20190729,D4,9,fungicide,Mv,1,5,1,NA,1,1,NA,
20190729,D4,9,fungicide,Mv,2,6,3,NA,1,1,NA,
20190729,D4,9,fungicide,Mv,3,6,2,NA,1,1,NA,
20190729,D4,10,fungicide,Mv,1,4,1,NA,1,1,NA,
20190729,D4,10,fungicide,Mv,2,6,1,NA,1,1,NA,
20190729,D4,10,fungicide,Mv,3,9,2,NA,1,1,NA,
20190729,D4,1,water,Mv,1,5,1,NA,1,1,NA,
20190729,D4,1,water,Mv,2,5,1,NA,1,1,NA,
20190729,D4,1,water,Mv,3,4,1,NA,1,1,NA,
20190729,D4,2,water,Mv,1,5,2,NA,1,1,NA,
20190729,D4,2,water,Mv,2,4,2,NA,1,1,NA,
20190729,D4,2,water,Mv,3,5,4,NA,1,1,NA,
20190729,D4,3,water,Mv,1,5,4,NA,1,1,NA,
20190729,D4,3,water,Mv,2,5,4,NA,1,1,NA,
20190729,D4,3,water,Mv,3,8,3,NA,1,1,NA,
20190729,D4,4,water,Mv,1,6,5,NA,1,1,NA,
20190729,D4,4,water,Mv,2,6,4,NA,1,1,NA,
20190729,D4,4,water,Mv,3,6,4,NA,1,1,NA,
20190729,D4,5,water,Mv,1,6,1,NA,1,1,NA,
20190729,D4,5,water,Mv,2,2,1,NA,1,1,NA,
20190729,D4,5,water,Mv,3,6,1,NA,1,1,NA,
20190729,D4,6,water,Mv,1,5,1,NA,1,1,NA,
20190729,D4,6,water,Mv,2,7,2,NA,1,1,NA,
20190729,D4,6,water,Mv,3,6,1,NA,1,1,NA,
20190729,D4,7,water,Mv,1,4,2,NA,1,1,NA,
20190729,D4,7,water,Mv,2,8,4,NA,1,1,NA,
20190729,D4,7,water,Mv,3,7,6,NA,1,1,NA,
20190729,D4,8,water,Mv,1,5,3,NA,1,1,NA,
20190729,D4,8,water,Mv,2,5,1,NA,1,1,NA,
20190729,D4,8,water,Mv,3,6,1,NA,1,1,NA,
20190729,D4,9,water,Mv,1,5,1,NA,1,1,NA,
20190729,D4,9,water,Mv,2,5,1,NA,1,1,NA,
20190729,D4,9,water,Mv,3,6,2,NA,1,1,NA,
20190729,D4,10,water,Mv,1,5,3,NA,1,1,NA,
20190729,D4,10,water,Mv,2,5,3,NA,1,1,NA,
20190729,D4,10,water,Mv,3,5,3,NA,1,1,NA,
20190731,D1,1,fungicide,Ev,1,0,0,0,0,0,0,dead
20190731,D1,1,fungicide,Ev,2,5,3,0,0,0,0,too few leaves
20190731,D1,1,fungicide,Ev,3,6,5,0,0,0,0,too few leaves
20190731,D1,1,fungicide,Ev,A,3,2,0,0,0,0,too few leaves
20190801,D1,2,fungicide,Ev,1,5,3,0,1,0,0,
20190801,D1,2,fungicide,Ev,2,6,4,0,1,0,0,
20190801,D1,2,fungicide,Ev,3,4,4,0,1,0,0,
20190801,D1,2,fungicide,Ev,A,5,1,0,0,0,0,too few leaves
20190731,D1,3,fungicide,Ev,1,8,1,0,1,0,0,
20190731,D1,3,fungicide,Ev,2,8,1,0,1,0,0,
20190731,D1,3,fungicide,Ev,3,9,2,0,1,0,0,
20190731,D1,3,fungicide,Ev,A,5,2,0,1,0,0,
20190731,D1,4,fungicide,Ev,1,7,3,0,1,0,0,
20190731,D1,4,fungicide,Ev,2,8,3,0,1,0,0,
20190731,D1,4,fungicide,Ev,3,4,0,0,1,0,0,
20190731,D1,4,fungicide,Ev,A,5,2,0,1,0,0,
20190731,D1,5,fungicide,Ev,1,5,3,1,1,1,0,
20190731,D1,5,fungicide,Ev,2,8,4,0,1,0,0,
20190731,D1,5,fungicide,Ev,3,8,4,0,1,0,0,
20190731,D1,5,fungicide,Ev,A,5,3,0,0,0,0,limited leaves
20190731,D1,6,fungicide,Ev,1,9,4,0,1,0,0,
20190731,D1,6,fungicide,Ev,2,5,2,0,1,0,0,
20190731,D1,6,fungicide,Ev,3,8,4,0,1,0,0,
20190731,D1,6,fungicide,Ev,A,6,2,0,1,0,0,
20190731,D1,7,fungicide,Ev,1,8,3,0,1,0,0,
20190731,D1,7,fungicide,Ev,2,7,3,0,1,0,0,
20190731,D1,7,fungicide,Ev,3,9,3,0,1,0,0,
20190731,D1,7,fungicide,Ev,A,8,2,0,1,0,0,
20190801,D1,8,fungicide,Ev,1,8,5,1,1,1,0,
20190801,D1,8,fungicide,Ev,2,6,5,1,1,1,0,
20190801,D1,8,fungicide,Ev,3,6,6,1,1,1,0,
20190801,D1,8,fungicide,Ev,A,7,2,0,1,0,0,
20190801,D1,9,fungicide,Ev,1,7,3,0,1,0,1,
20190801,D1,9,fungicide,Ev,2,7,5,0,1,0,0,
20190801,D1,9,fungicide,Ev,3,8,6,0,1,0,0,
20190801,D1,9,fungicide,Ev,A,5,5,0,1,0,0,
20190731,D1,10,fungicide,Ev,1,2,2,1,0,0,0,too few leaves
20190731,D1,10,fungicide,Ev,2,6,2,0,1,0,0,
20190731,D1,10,fungicide,Ev,3,6,4,0,1,0,0,
