date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,microbiome,seeds_collected,flower_bags,field_notes
20190928,D1,1,fungicide,Mv,1,4,0,NA,1,5,NA,1,"not quite senescing, no backup seed bags"
20190928,D1,1,fungicide,Mv,2,3,0,NA,1,5,NA,0,"not quite senescing, no backup seed bags"
20190928,D1,1,fungicide,Mv,3,3,0,NA,1,5,NA,0,"not quite senescing, no backup seed bags"
20190928,D1,2,fungicide,Mv,1,4,1,NA,1,10,NA,5,not quite senescing
20190928,D1,2,fungicide,Mv,2,6,3,NA,1,10,NA,5,not quite senescing
20190928,D1,2,fungicide,Mv,3,4,2,NA,1,10,NA,5,not quite senescing
20190928,D1,3,fungicide,Mv,1,4,0,NA,1,10,NA,5,not quite senescing
20190928,D1,3,fungicide,Mv,2,3,0,NA,1,10,NA,5,not quite senescing
20190928,D1,3,fungicide,Mv,3,3,0,NA,1,10,NA,5,not quite senescing
20190928,D1,4,fungicide,Mv,1,3,0,NA,1,10,NA,5,senescing
20190928,D1,4,fungicide,Mv,2,3,0,NA,1,10,NA,5,senescing
20190928,D1,4,fungicide,Mv,3,2,0,NA,1,10,NA,5,senescing
20190928,D1,5,fungicide,Mv,1,4,0,NA,1,10,NA,5,senescing
20190928,D1,5,fungicide,Mv,2,3,0,NA,1,10,NA,5,senescing
20190928,D1,5,fungicide,Mv,3,3,0,NA,1,10,NA,5,senescing
20190928,D1,6,fungicide,Mv,1,5,0,NA,1,10,NA,5,not quite senescing
20190928,D1,6,fungicide,Mv,2,4,0,NA,1,10,NA,5,not quite senescing
20190928,D1,6,fungicide,Mv,3,4,0,NA,1,10,NA,5,not quite senescing
20190928,D1,7,fungicide,Mv,1,5,1,NA,1,10,NA,5,not quite senescing
20190928,D1,7,fungicide,Mv,2,5,1,NA,1,10,NA,5,not quite senescing
20190928,D1,7,fungicide,Mv,3,4,0,NA,1,10,NA,5,not quite senescing
20190928,D1,8,fungicide,Mv,1,4,1,NA,1,10,NA,5,not quite senescing
20190928,D1,8,fungicide,Mv,2,7,0,NA,1,10,NA,5,not quite senescing
20190928,D1,8,fungicide,Mv,3,5,0,NA,1,10,NA,5,not quite senescing
20190928,D1,9,fungicide,Mv,1,4,1,NA,1,10,NA,5,not quite senescing
20190928,D1,9,fungicide,Mv,2,4,1,NA,1,10,NA,5,not quite senescing
20190928,D1,9,fungicide,Mv,3,4,1,NA,1,10,NA,5,not quite senescing
20190928,D1,10,fungicide,Mv,1,2,1,NA,1,10,NA,5,not quite senescing
20190928,D1,10,fungicide,Mv,2,3,0,NA,1,10,NA,5,not quite senescing
20190928,D1,10,fungicide,Mv,3,2,1,NA,1,10,NA,5,not quite senescing
20190928,D1,1,water,Mv,1,6,1,NA,1,10,NA,5,not quite senescing
20190928,D1,1,water,Mv,2,4,1,NA,1,10,NA,5,not quite senescing
20190928,D1,1,water,Mv,3,4,1,NA,1,10,NA,5,not quite senescing
20190928,D1,2,water,Mv,1,4,4,NA,1,10,NA,5,not quite senescing
20190928,D1,2,water,Mv,2,4,1,NA,1,10,NA,5,not quite senescing
20190928,D1,2,water,Mv,3,6,5,NA,1,10,NA,5,not quite senescing
20190928,D1,3,water,Mv,1,3,1,NA,1,10,NA,5,not quite senescing
20190928,D1,3,water,Mv,2,3,2,NA,1,10,NA,5,not quite senescing
20190928,D1,3,water,Mv,3,3,1,NA,1,10,NA,5,not quite senescing
20190928,D1,4,water,Mv,1,6,0,NA,1,10,NA,5,not quite senescing
20190928,D1,4,water,Mv,2,4,0,NA,1,10,NA,5,not quite senescing
20190928,D1,4,water,Mv,3,5,0,NA,1,10,NA,5,not quite senescing
20190928,D1,5,water,Mv,1,5,0,NA,1,10,NA,5,not quite senescing
20190928,D1,5,water,Mv,2,3,0,NA,1,10,NA,5,not quite senescing
20190928,D1,5,water,Mv,3,0,0,NA,0,10,NA,2,dead
20190928,D1,6,water,Mv,1,4,1,NA,1,10,NA,5,not quite senescing
20190928,D1,6,water,Mv,2,5,1,NA,1,10,NA,5,not quite senescing
20190928,D1,6,water,Mv,3,5,1,NA,1,10,NA,5,not quite senescing
20190928,D1,7,water,Mv,1,4,2,NA,1,10,NA,5,not quite senescing
20190928,D1,7,water,Mv,2,5,2,NA,1,10,NA,5,not quite senescing
20190928,D1,7,water,Mv,3,4,2,NA,1,10,NA,5,not quite senescing
20190928,D1,8,water,Mv,1,5,1,NA,1,10,NA,5,not quite senescing
20190928,D1,8,water,Mv,2,3,1,NA,1,10,NA,5,not quite senescing
20190928,D1,8,water,Mv,3,4,1,NA,1,10,NA,5,not quite senescing
20190928,D1,9,water,Mv,1,5,1,NA,1,10,NA,5,not quite senescing
20190928,D1,9,water,Mv,2,4,1,NA,1,10,NA,5,not quite senescing
20190928,D1,9,water,Mv,3,5,2,NA,1,10,NA,5,not quite senescing
20190928,D1,10,water,Mv,1,7,2,NA,1,10,NA,3,"recent branch disturbance, not quite senescing"
20190928,D1,10,water,Mv,2,1,1,NA,1,10,NA,5,"recent branch disturbance, not quite senescing"
20190928,D1,10,water,Mv,3,3,2,NA,1,10,NA,3,"recent branch disturbance, not quite senescing"
20190927,D2,1,fungicide,Mv,1,4,1,NA,1,10,NA,1,not quite senescing
20190927,D2,1,fungicide,Mv,2,3,1,NA,1,10,NA,0 (+2?),not quite senescing
20190927,D2,1,fungicide,Mv,3,3,1,NA,1,10,NA,1,not quite senescing
20190927,D2,2,fungicide,Mv,1,3,0,NA,1,10,NA,5,senescing
20190927,D2,2,fungicide,Mv,2,3,0,NA,1,10,NA,5,senescing
20190927,D2,2,fungicide,Mv,3,4,0,NA,1,10,NA,5,senescing
20190927,D2,3,fungicide,Mv,1,4,3,NA,1,10,NA,1,senescing
20190927,D2,3,fungicide,Mv,2,4,3,NA,1,10,NA,5,senescing
20190927,D2,3,fungicide,Mv,3,3,1,NA,1,10,NA,5,senescing
20190927,D2,4,fungicide,Mv,1,3,1,NA,1,10,NA,1,senescing
20190927,D2,4,fungicide,Mv,2,3,0,NA,1,10,NA,3,senescing
20190927,D2,4,fungicide,Mv,3,3,0,NA,1,10,NA,2,senescing
20190927,D2,5,fungicide,Mv,1,3,1,NA,1,10,NA,5,senescing
20190927,D2,5,fungicide,Mv,2,3,1,NA,1,10,NA,5,senescing
20190927,D2,5,fungicide,Mv,3,2,0,NA,1,10,NA,5,"senescing, no 2 lesion leaf"
20190927,D2,6,fungicide,Mv,1,4,3,NA,1,10,NA,5,senescing
20190927,D2,6,fungicide,Mv,2,3,1,NA,1,10,NA,5,senescing
20190927,D2,6,fungicide,Mv,3,3,3,NA,1,10,NA,5,senescing
20190927,D2,7,fungicide,Mv,1,2,0,NA,1,10,NA,4,senescing
20190927,D2,7,fungicide,Mv,2,2,0,NA,1,10,NA,4,senescing
20190927,D2,7,fungicide,Mv,3,3,1,NA,1,10,NA,1,senescing
20190927,D2,8,fungicide,Mv,1,4,1,NA,1,10,NA,5,not quite senescing
20190927,D2,8,fungicide,Mv,2,4,1,NA,1,10,NA,5,not quite senescing
20190927,D2,8,fungicide,Mv,3,4,2,NA,1,10,NA,5,not quite senescing
20190927,D2,9,fungicide,Mv,1,3,1,NA,1,10,NA,5,senescing
20190927,D2,9,fungicide,Mv,2,4,3,NA,1,10,NA,5,senescing
20190927,D2,9,fungicide,Mv,3,4,1,NA,1,10,NA,1,senescing
20190927,D2,10,fungicide,Mv,1,4,3,NA,1,10,NA,5,senescing
20190927,D2,10,fungicide,Mv,2,3,0,NA,1,10,NA,5,senescing
