Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Ev_1,1,73159,73159,6.079,255,3582.222,1615.699,57.652,178.806
lesions:D1_10F_Ev_1,5,2053,410.6,1.405,255,90.987,38.727,8.543,135.32
leaf:D1_10F_Ev_3,1,452938,452938,15.746,255,13638.329,2718.234,212.159,0.075
lesions:D1_10F_Ev_3,40,102338,2558.45,9.929,255,239.315,82.445,9.932,82.531
leaf:D1_10F_EvA,1,457296,457296,18.607,255,9822.993,4135.542,140.791,179.423
lesions:D1_10F_EvA,24,28579,1190.792,3.048,255,167.858,66.542,10.226,106.176
leaf:D1_10F_EvA_R1,2,598663,299331.5,32.543,255,5759.115,2712.523,141.007,89.6
lesions:D1_10F_EvA_R1,11,979,89,0.095,255,35.981,13.88,7.554,112.978
leaf:D1_10F_EvA_R2,1,127585,127585,15.128,255,3676.053,1772.959,91.624,1.588
lesions:D1_10F_EvA_R2,7,31196,4456.571,16.003,255,310.5,118.73,20.95,66.205
leaf:D1_10F_EvA_R3,1,412168,412168,21.249,255,8697.922,4177.604,125.619,1.488
lesions:D1_10F_EvA_R3,11,19076,1734.182,2.552,255,136.944,50.69,14.216,65.792
leaf:D1_10F_EvA_R4,1,370611,370611,18.354,255,8734.388,4198.571,112.39,0.696
lesions:D1_10F_EvA_R4,19,22429,1180.474,3.834,255,111.383,32.242,16.118,63.101
leaf:D1_10F_EvA_R6_edited,1,167082,167082,20.913,255,6071.582,2418.683,87.955,176.658
lesions:D1_10F_EvA_R6_edited,6,29031,4838.5,4.366,255,397.776,166.521,10.947,121.291
leaf:D1_10W_EvA,1,433032,433032,25.865,254.999,8792.973,3970.414,138.865,179.42
lesions:D1_10W_EvA,13,40432,3110.154,5.498,255,236.301,87.765,11.015,105.688
leaf:D1_10W_EvA_R1,2,643012,321506,31.539,255,6681.967,3202.636,127.24,179.497
lesions:D1_10W_EvA_R1,32,13596,424.875,1.205,255,87.926,37.369,10.388,90.935
leaf:D1_10W_EvA_R2,1,454633,454633,27.152,255,9342.844,4577.653,126.453,178.512
lesions:D1_10W_EvA_R2,4,563,140.75,0.063,255,50.592,22.132,6.539,122.425
leaf:D1_10W_EvA_R3,1,274283,274283,18.4,254.538,10478.578,4149.445,84.163,0.642
lesions:D1_10W_EvA_R3,24,61606,2566.917,11.585,255,281.82,90.287,18.39,66.815
leaf:D1_10W_EvA_R4,2,893948,446974,30.509,255,8726.07,3944.99,144.268,0.514
lesions:D1_10W_EvA_R4,40,25999,649.975,1.347,255,97.968,36.957,10.761,105.592
leaf:D1_10W_EvA_R5,2,679139,339569.5,28.198,255,8715.841,4063.398,106.908,0.478
lesions:D1_10W_EvA_R5,10,2109,210.9,0.142,255,65.3,28.97,7.876,24.14
leaf:D1_10W_EvA_R6,2,395271,197635.5,21.237,255,5765.381,2706.209,92.555,176.978
lesions:D1_10W_EvA_R6,5,2290,458,0.234,255,100.741,44.081,11.043,114.989
leaf:D1_10W_EvA_R7,2,895711,447855.5,28.2,255,8006.099,3868.51,146.166,177.28
lesions:D1_10W_EvA_R7,19,5850,307.895,0.28,255,67.469,28.958,10.129,117.842
leaf:D1_10W_EvA_R8,1,175397,175397,14.667,255,4606.092,1944.797,114.831,1.396
lesions:D1_10W_EvA_R8,14,20344,1453.143,5.808,255,148.883,52.208,12.17,57.575
leaf:D1_1F_Ev_3,1,359472,359472,17.332,255,7030.008,2892.202,158.251,0.479
lesions:D1_1F_Ev_3,12,42163,3513.583,7.332,255,327.93,99.864,15.405,105.382
leaf:D1_1F_EvA,2,1013291,506645.5,27.723,255,6621.889,2876.887,219.353,175.618
lesions:D1_1F_EvA,69,12349,178.971,0.713,255,58.5,23.605,7.156,113.842
leaf:D1_2F_Ev_3,1,151133,151133,12.22,255,4588.489,2309.49,83.321,179.181
lesions:D1_2F_Ev_3,7,1334,190.571,0.651,255,60.46,26.67,7.889,107.289
leaf:D1_2F_EvA,1,229764,229764,20.07,255,5050.011,2266.702,129.062,179.005
lesions:D1_2F_EvA,7,2093,299,0.615,255,69.895,29.498,10.406,137.672
