date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,seeds_collected,field_notes
20190704,D2,9,water,Mv,1,5,1,NA,1,NA,
20190704,D2,9,water,Mv,2,6,1,NA,1,NA,
20190704,D2,9,water,Mv,3,5,3,NA,1,NA,
20190704,D2,10,water,Mv,1,8,5,NA,1,NA,
20190704,D2,10,water,Mv,2,7,4,NA,1,NA,
20190704,D2,10,water,Mv,3,9,6,NA,1,NA,
20190703,D3,1,fungicide,Mv,1,8,1,NA,1,NA,
20190703,D3,1,fungicide,Mv,2,5,1,NA,1,NA,
20190703,D3,1,fungicide,Mv,3,7,2,NA,1,NA,
20190703,D3,2,fungicide,Mv,1,5,0,NA,1,NA,no 2 lesion leaf
20190703,D3,2,fungicide,Mv,2,7,0,NA,1,NA,no 2 lesion leaf
20190703,D3,2,fungicide,Mv,3,5,1,NA,1,NA,
20190703,D3,3,fungicide,Mv,1,7,2,NA,1,NA,
20190703,D3,3,fungicide,Mv,2,6,3,NA,1,NA,
20190703,D3,3,fungicide,Mv,3,7,3,NA,1,NA,
20190703,D3,4,fungicide,Mv,1,7,2,NA,1,NA,
20190703,D3,4,fungicide,Mv,2,11,3,NA,1,NA,
20190703,D3,4,fungicide,Mv,3,6,1,NA,1,NA,
20190703,D3,5,fungicide,Mv,1,6,3,NA,1,NA,
20190703,D3,5,fungicide,Mv,2,8,2,NA,1,NA,
20190703,D3,5,fungicide,Mv,3,6,5,NA,1,NA,
20190703,D3,6,fungicide,Mv,1,5,1,NA,1,NA,
20190703,D3,6,fungicide,Mv,2,5,1,NA,1,NA,
20190703,D3,6,fungicide,Mv,3,7,2,NA,1,NA,
20190703,D3,7,fungicide,Mv,1,7,3,NA,1,NA,
20190703,D3,7,fungicide,Mv,2,5,1,NA,1,NA,
20190703,D3,7,fungicide,Mv,3,7,1,NA,1,NA,
20190703,D3,8,fungicide,Mv,1,6,1,NA,1,NA,
20190703,D3,8,fungicide,Mv,2,6,1,NA,1,NA,
20190703,D3,8,fungicide,Mv,3,8,1,NA,1,NA,
20190703,D3,9,fungicide,Mv,1,6,3,NA,1,NA,
20190703,D3,9,fungicide,Mv,2,6,2,NA,1,NA,
20190703,D3,9,fungicide,Mv,3,5,3,NA,1,NA,
20190703,D3,10,fungicide,Mv,1,8,2,NA,1,NA,
20190703,D3,10,fungicide,Mv,2,7,2,NA,1,NA,
20190703,D3,10,fungicide,Mv,3,6,1,NA,1,NA,
20190703,D3,1,water,Mv,1,9,3,NA,1,NA,
20190703,D3,1,water,Mv,2,6,1,NA,1,NA,
20190703,D3,1,water,Mv,3,6,3,NA,1,NA,
20190703,D3,2,water,Mv,1,8,2,NA,1,NA,
20190703,D3,2,water,Mv,2,7,4,NA,1,NA,
20190703,D3,2,water,Mv,3,6,2,NA,1,NA,
20190703,D3,3,water,Mv,1,6,1,NA,1,NA,
20190703,D3,3,water,Mv,2,7,1,NA,1,NA,
20190703,D3,3,water,Mv,3,7,1,NA,1,NA,
20190703,D3,4,water,Mv,1,9,2,NA,1,NA,
20190703,D3,4,water,Mv,2,8,1,NA,1,NA,
20190703,D3,4,water,Mv,3,4,2,NA,1,NA,
20190703,D3,5,water,Mv,1,7,3,NA,1,NA,
20190703,D3,5,water,Mv,2,6,3,NA,1,NA,
20190703,D3,5,water,Mv,3,7,2,NA,1,NA,
20190703,D3,6,water,Mv,1,7,2,NA,1,NA,
20190703,D3,6,water,Mv,2,6,2,NA,1,NA,
20190703,D3,6,water,Mv,3,5,1,NA,1,NA,
20190703,D3,7,water,Mv,1,6,0,NA,1,NA,no 2 lesion leaf
20190703,D3,7,water,Mv,2,7,2,NA,1,NA,
20190703,D3,7,water,Mv,3,7,1,NA,1,NA,
20190703,D3,8,water,Mv,1,7,1,NA,1,NA,
20190703,D3,8,water,Mv,2,7,1,NA,1,NA,
20190703,D3,8,water,Mv,3,8,1,NA,1,NA,
20190703,D3,9,water,Mv,1,7,3,NA,1,NA,
20190703,D3,9,water,Mv,2,7,2,NA,1,NA,
20190703,D3,9,water,Mv,3,7,1,NA,1,NA,
20190703,D3,10,water,Mv,1,4,1,NA,1,NA,
20190703,D3,10,water,Mv,2,4,1,NA,1,NA,
20190703,D3,10,water,Mv,3,7,1,NA,1,NA,
20190703,D4,1,fungicide,Mv,1,5,2,NA,1,NA,
20190703,D4,1,fungicide,Mv,2,7,1,NA,1,NA,
20190703,D4,1,fungicide,Mv,3,6,1,NA,1,NA,
20190703,D4,2,fungicide,Mv,1,3,1,NA,1,NA,
20190703,D4,2,fungicide,Mv,2,8,1,NA,1,NA,
20190703,D4,2,fungicide,Mv,3,5,1,NA,1,NA,
20190703,D4,3,fungicide,Mv,1,7,4,NA,1,NA,
20190703,D4,3,fungicide,Mv,2,7,3,NA,1,NA,
20190703,D4,3,fungicide,Mv,3,7,3,NA,1,NA,
20190703,D4,4,fungicide,Mv,1,5,0,NA,1,NA,no 2 lesions
20190703,D4,4,fungicide,Mv,2,7,1,NA,1,NA,
20190703,D4,4,fungicide,Mv,3,6,0,NA,1,NA,no 2 lesions
20190702,D4,5,fungicide,Mv,1,6,2,NA,1,NA,
20190702,D4,5,fungicide,Mv,2,7,2,NA,1,NA,
20190702,D4,5,fungicide,Mv,3,4,2,NA,1,NA,
20190703,D4,6,fungicide,Mv,1,6,2,NA,1,NA,
20190703,D4,6,fungicide,Mv,2,4,1,NA,1,NA,
20190703,D4,6,fungicide,Mv,3,5,3,NA,1,NA,
20190703,D4,7,fungicide,Mv,1,7,1,NA,1,NA,
20190703,D4,7,fungicide,Mv,2,6,1,NA,1,NA,
20190703,D4,7,fungicide,Mv,3,5,1,NA,1,NA,
20190703,D4,8,fungicide,Mv,1,6,1,NA,1,NA,
20190703,D4,8,fungicide,Mv,2,6,2,NA,1,NA,
20190703,D4,8,fungicide,Mv,3,6,1,NA,1,NA,
20190703,D4,9,fungicide,Mv,1,8,1,NA,1,NA,
20190703,D4,9,fungicide,Mv,2,6,2,NA,1,NA,
20190703,D4,9,fungicide,Mv,3,6,1,NA,1,NA,
20190702,D4,10,fungicide,Mv,1,8,1,NA,1,NA,
20190702,D4,10,fungicide,Mv,2,6,3,NA,1,NA,
20190702,D4,10,fungicide,Mv,3,7,1,NA,1,NA,
20190702,D4,1,water,Mv,1,5,1,NA,1,NA,
20190702,D4,1,water,Mv,2,5,2,NA,1,NA,
20190702,D4,1,water,Mv,3,6,2,NA,1,NA,
20190702,D4,2,water,Mv,1,7,2,NA,1,NA,
20190702,D4,2,water,Mv,2,5,1,NA,1,NA,
20190702,D4,2,water,Mv,3,5,2,NA,1,NA,
20190703,D4,3,water,Mv,1,7,3,NA,1,NA,
20190703,D4,3,water,Mv,2,7,3,NA,1,NA,
20190703,D4,3,water,Mv,3,6,2,NA,1,NA,
20190703,D4,4,water,Mv,1,8,3,NA,1,NA,
20190703,D4,4,water,Mv,2,7,1,NA,1,NA,
20190703,D4,4,water,Mv,3,8,1,NA,1,NA,
20190703,D4,5,water,Mv,1,5,1,NA,1,NA,might be herbivory
20190703,D4,5,water,Mv,2,4,0,NA,1,NA,no 2 lesion leaf
20190703,D4,5,water,Mv,3,5,2,NA,1,NA,
20190703,D4,6,water,Mv,1,5,0,NA,1,NA,no 2 lesion leaf
