site,plot,treatment,bag,stems,seeds,seed_weight.g,count_date,count_initials,bag_notes
D1,5,water,3,0,70,0.0709,2/1/2019,PR,
D1,5,water,4,3,82,0.0877,2/1/2019,PR,
D1,5,water,5,3,64,0.0774,2/1/2019,PR,
D1,5,water,6,1,54,0.0624,2/1/2019,PR,
D1,5,water,7,3,85,0.086,2/1/2019,PR,
D1,5,water,8,1,54,0.0683,2/1/2019,PR,
D1,5,water,9,2,60,0.0646,2/1/2019,PR,
D1,5,water,10,0,59,0.0833,2/1/2019,PR,
D1,6,water,1,1,58,0.0797,2/6/2019,PR,Had no mesh bag
D1,6,water,2,2,71,0.091,2/7/2019,PR,Had no mesh bag
D1,6,water,3,1,84,0.0571,2/6/2019,PR,Had no mesh bag
D1,6,water,4,1,100,0.1161,2/6/2019,PR,"Had 2 mesh bags, one put in as ""1"""
D1,6,water,5,2,94,0.1164,2/6/2019,PR,"Had 2 mesh bags, one put in as ""2"""
D1,6,water,6,1,125,0.1412,2/6/2019,PR,
D1,6,water,7,1,72,0.0999,2/6/2019,PR,
D1,6,water,8,0,41,0.038,2/6/2019,PR,
D1,6,water,9,2,124,0.1325,2/6/2019,PR,
D1,6,water,10,0,90,0.1141,2/7/2019,PR,"Had 2 mesh bags, one put in as ""3"""
D1,7,water,1,2,92,0.0659,1/24/2019,DN,
D1,7,water,2,1,60,0.0851,1/24/2019,DN,
D1,7,water,3,3,58,0.0797,1/24/2019,DN,
D1,7,water,4,0,88,0.0902,1/24/2019,DN,
D1,7,water,5,0,66,0.0492,1/24/2019,DN,
D1,7,water,6,0,139,0.0972,1/24/2019,DN,Recounted by RT
D1,7,water,7,1,59,0.0566,1/25/2019,DN,
D1,7,water,8,2,78,0.0531,1/25/2019,DN,
D1,7,water,9,0,38,0.0431,1/25/2019,DN,
D1,7,water,10,3,73,0.0909,1/25/2019,DN,
D1,8,water,1,1,137,0.1113,2/6/2019,PR,
D1,8,water,2,2,84,0.1231,2/6/2019,PR,
D1,8,water,3,1,141,0.136,2/6/2019,PR,
D1,8,water,4,1,101,0.1005,2/6/2019,PR,
D1,8,water,5,2,96,0.0643,2/6/2019,PR,
D1,8,water,6,3,88,0.1009,2/6/2019,PR,
D1,8,water,7,1,53,0.0648,2/6/2019,PR,
D1,8,water,8,2,188,0.1588,2/6/2019,PR,
D1,8,water,9,2,124,0.117,2/6/2019,PR,
D1,8,water,10,0,82,0.0744,2/6/2019,PR,
D1,9,water,1,2,52,0.037,1/28/2019,PR,
D1,9,water,2,3,49,0.0727,1/28/2019,PR,
D1,9,water,3,3,59,0.089,1/28/2019,PR,
D1,9,water,4,2,83,0.1151,1/28/2019,PR,
D1,9,water,5,2,22,0.0306,1/28/2019,PR,
D1,9,water,6,2,66,0.0644,1/28/2019,PR,
D1,9,water,7,0,75,0.0394,1/28/2019,PR,
D1,9,water,8,2,65,0.0904,1/28/2019,PR,
D1,9,water,9,1,54,0.0829,1/28/2019,PR,"Had 2 mesh bags, one put in as ""10"""
D1,9,water,10,0,26,0.0268,1/28/2019,PR,No mesh bag
D1,10,water,1,3,96,0.1118,2/4/2019,DN,Bag is ripped
D1,10,water,2,2,49,0.0731,2/4/2019,DN,
D1,10,water,3,3,110,0.1352,2/4/2019,DN,
D1,10,water,4,0,59,0.0853,2/4/2019,DN,
D1,10,water,5,2,64,0.0892,2/4/2019,DN,"Recounted by RT, weight is 0.0892"
D1,10,water,6,1,60,0.0807,2/5/2019,DN,
D1,10,water,7,0,82,0.0761,2/5/2019,DN,
D1,10,water,8,1,78,0.079,2/11/2019,DN,
D1,10,water,9,0,80,0.0954,2/11/2019,DN,
D1,10,water,10,3,105,0.1041,2/11/2019,DN,
D1,1,fungicide,1,0,51,0.0673,2/3/2019,ZC,
D1,1,fungicide,2,0,35,0.0439,2/3/2019,ZC,Bag has hole
D1,1,fungicide,3,0,43,0.0538,2/3/2019,ZC,
D1,1,fungicide,4,0,27,0.0368,2/3/2019,ZC,
D1,1,fungicide,5,0,24,0.033,2/3/2019,ZC,
D1,1,fungicide,6,3,60,0.084,2/3/2019,ZC,
D1,1,fungicide,7,1,30,0.0313,2/3/2019,ZC,
D1,1,fungicide,8,0,82,0.0492,2/3/2019,ZC,
D1,1,fungicide,9,3,68,0.1086,2/5/2019,ZC,
D1,1,fungicide,10,0,29,0.0453,2/5/2019,ZC,
D1,2,fungicide,1,1,179,0.2578,2/7/2019,RT,
D1,2,fungicide,2,0,49,0.054,2/7/2019,RT,
D1,2,fungicide,3,2,78,0.0727,2/7/2019,RT,
D1,2,fungicide,4,0,75,0.1061,2/7/2019,RT,
D1,2,fungicide,5,2,119,0.1492,2/7/2019,RT,
D1,2,fungicide,6,2,114,0.1443,2/7/2019,RT,
D1,2,fungicide,7,1,17,0.0108,2/7/2019,RT,
D1,2,fungicide,8,0,25,0.0304,2/7/2019,RT,
D1,2,fungicide,9,0,79,0.0811,2/7/2019,RT,
D1,2,fungicide,10,2,42,0.0352,2/7/2019,RT,Hole in bag
D1,3,fungicide,1,0,46,0.0632,2/7/2019,PR,
D1,3,fungicide,2,1,55,0.077,2/7/2019,PR,
D1,3,fungicide,3,0,26,0.0335,2/7/2019,PR,
D1,3,fungicide,4,0,45,0.0603,2/7/2019,PR,
D1,3,fungicide,5,0,23,0.0167,2/7/2019,PR,
D1,3,fungicide,6,0,37,0.0383,2/7/2019,PR,
D1,3,fungicide,7,0,82,0.0938,2/7/2019,PR,
D1,3,fungicide,8,0,72,0.0787,2/7/2019,PR,
D1,3,fungicide,9,0,133,0.1596,2/7/2019,PR,
D1,3,fungicide,10,NA,NA,NA,NA,NA,
D1,4,fungicide,1,0,37,0.0257,2/1/2019,PR,
D1,4,fungicide,2,0,23,0.0235,2/1/2019,DM,
D1,4,fungicide,3,NA,NA,NA,NA,NA,
D1,4,fungicide,4,1,33,0.0384,2/1/2019,DM,
D1,4,fungicide,5,1,33,0.0469,2/1/2019,DM,
D1,4,fungicide,6,2,39,0.0312,2/1/2019,DM,
D1,4,fungicide,7,3,24,0.0156,2/1/2019,DM,
D1,4,fungicide,8,0,41,0.0469,2/1/2019,DM,
D1,4,fungicide,9,0,67,0.0632,2/1/2019,DM,
D1,4,fungicide,10,0,39,0.0416,2/1/2019,DM,
D1,5,fungicide,1,0,59,0.0443,2/5/2019,DM,
D1,5,fungicide,2,0,57,0.09,2/5/2019,DM,
D1,5,fungicide,3,0,34,0.0462,2/5/2019,DM,
D1,5,fungicide,4,2,52,0.0424,2/5/2019,DM,
D1,5,fungicide,5,0,64,0.053,2/5/2019,DM,
D1,5,fungicide,6,3,29,0.0472,2/5/2019,DM,
D1,5,fungicide,7,1,48,0.0406,2/5/2019,DM,
D1,5,fungicide,8,3,61,0.0868,2/5/2019,DM,
D1,5,fungicide,9,0,40,0.0551,2/5/2019,DM,
D1,5,fungicide,10,0,25,0.038,2/5/2019,DM,
D1,6,fungicide,1,2,69,0.0854,NA,DM,
D1,6,fungicide,2,3,82,0.0935,NA,DM,
D1,6,fungicide,3,0,38,0.0462,NA,DM,
D1,6,fungicide,4,0,46,0.0616,NA,DM,
D1,6,fungicide,5,1,39,0.0415,NA,DM,
D1,6,fungicide,6,2,64,0.0687,NA,DM,
D1,6,fungicide,7,3,97,0.1085,NA,DM,
D1,6,fungicide,8,3,91,0.1205,NA,DM,
D1,6,fungicide,9,1,93,0.087,NA,DM,
D1,6,fungicide,10,NA,NA,NA,NA,NA,
D1,7,fungicide,1,0,27,0.0422,2/7/2019,DM,
D1,7,fungicide,2,0,114,0.1372,2/7/2019,DM,
D1,7,fungicide,3,1,22,0.0341,2/7/2019,DM,
D1,7,fungicide,4,0,75,0.1054,2/7/2019,DM,
D1,7,fungicide,5,0,34,0.0358,2/7/2019,DM,
D1,7,fungicide,6,0,54,0.0836,2/7/2019,DM,
D1,7,fungicide,7,0,78,0.1178,2/7/2019,DM,
D1,7,fungicide,8,0,51,0.0773,2/7/2019,DM,
D1,7,fungicide,9,0,44,0.0496,2/7/2019,DM,
D1,7,fungicide,10,0,48,0.0651,2/7/2019,DM,
D1,8,fungicide,1,2,125,0.117,2/4/2019,DM,
D1,8,fungicide,2,2,137,0.1112,2/4/2019,DM,
D1,8,fungicide,3,0,70,0.1072,2/4/2019,DM,
D1,8,fungicide,4,0,43,0.042,2/4/2019,DM,
D1,8,fungicide,5,2,68,0.0985,2/4/2019,DM,
D1,8,fungicide,6,0,104,0.1221,2/4/2019,DM,
D1,8,fungicide,7,0,10,0.0098,2/4/2019,DM,
D1,8,fungicide,8,1,99,0.1221,2/4/2019,DM,
D1,8,fungicide,9,0,37,0.0373,2/4/2019,DM,
