date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,field_notes
20180924,D1,7,water,Mv,1,3,3,
20180924,D1,7,water,Mv,2,6,6,
20180924,D1,7,water,Mv,3,4,4,
20180926,D1,8,water,Mv,1,4,3,
20180926,D1,8,water,Mv,2,NA,NA,
20180926,D1,8,water,Mv,3,5,5,
20180924,D1,9,water,Mv,1,5,5,
20180924,D1,9,water,Mv,2,5,5,
20180924,D1,9,water,Mv,3,4,3,
20180926,D1,10,water,Mv,1,5,5,
20180926,D1,10,water,Mv,2,5,5,
20180926,D1,10,water,Mv,3,4,4,
20180926,D1,1,fungicide,Mv,1,4,0,
20180926,D1,1,fungicide,Mv,2,4,0,
20180926,D1,1,fungicide,Mv,3,5,2,
20180926,D1,2,fungicide,Mv,1,3,1,
20180926,D1,2,fungicide,Mv,2,5,3,
20180926,D1,2,fungicide,Mv,3,3,1,
20180926,D1,2,fungicide,Mv,Bg1,5,3,
20180926,D1,2,fungicide,Mv,Bg10,5,3,
20180926,D1,2,fungicide,Mv,Bg2,3,2,
20180926,D1,2,fungicide,Mv,Bg3,5,5,
20180926,D1,2,fungicide,Mv,Bg4,4,2,
20180926,D1,2,fungicide,Mv,Bg5,5,5,
20180926,D1,2,fungicide,Mv,Bg6,5,3,
20180926,D1,2,fungicide,Mv,Bg7,3,2,
20180926,D1,2,fungicide,Mv,Bg8,3,1,
20180926,D1,2,fungicide,Mv,Bg9,4,4,
20180926,D1,3,fungicide,Mv,1,5,1,
20180926,D1,3,fungicide,Mv,2,3,3,
20180926,D1,3,fungicide,Mv,3,6,2,
20180926,D1,3,fungicide,Mv,Bg1,3,0,
20180926,D1,3,fungicide,Mv,Bg10,3,0,
20180926,D1,3,fungicide,Mv,Bg2,3,0,
20180926,D1,3,fungicide,Mv,Bg3,5,0,
20180926,D1,3,fungicide,Mv,Bg4,4,1,
20180926,D1,3,fungicide,Mv,Bg5,4,0,
20180926,D1,3,fungicide,Mv,Bg6,4,1,
20180926,D1,3,fungicide,Mv,Bg7,4,1,
20180926,D1,3,fungicide,Mv,Bg8,3,0,
20180926,D1,3,fungicide,Mv,Bg9,5,0,
20180924,D1,4,fungicide,Mv,1,2,2,
20180924,D1,4,fungicide,Mv,2,3,2,
20180924,D1,4,fungicide,Mv,3,3,1,
20180924,D1,4,fungicide,Mv,Bg1,4,3,
20180924,D1,4,fungicide,Mv,Bg10,3,3,
20180924,D1,4,fungicide,Mv,Bg2,3,1,
20180924,D1,4,fungicide,Mv,Bg3,2,1,
20180924,D1,4,fungicide,Mv,Bg4,3,1,
20180924,D1,4,fungicide,Mv,Bg5,3,0,
20180924,D1,4,fungicide,Mv,Bg6,4,3,
20180924,D1,4,fungicide,Mv,Bg7,2,1,
20180924,D1,4,fungicide,Mv,Bg8,3,3,
20180924,D1,4,fungicide,Mv,Bg9,5,2,
20180924,D1,5,fungicide,Mv,1,4,4,
20180924,D1,5,fungicide,Mv,2,3,2,
20180924,D1,5,fungicide,Mv,3,5,1,
20180926,D1,6,fungicide,Mv,1,4,0,
20180926,D1,6,fungicide,Mv,2,5,0,
20180926,D1,6,fungicide,Mv,3,NA,NA,
20180924,D1,7,fungicide,Mv,1,4,3,
