Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Ev_1,1,320791,320791,24.651,255,7392.244,3504.768,116.539,1.613
lesions:D1_10F_Ev_1,7,2924,417.714,0.514,255,93.453,40.136,12.353,53.122
leaf:D1_10F_Ev_2,1,206506,206506,28.73,255,4730.805,1843.44,142.631,0.986
lesions:D1_10F_Ev_2,28,5805,207.321,1.495,255,54.606,23.315,6.338,91.913
leaf:D1_10F_Ev_3,1,303702,303702,31.241,255,6795.759,3133.351,123.41,179.277
lesions:D1_10F_Ev_3,2,544,272,0.123,255,80.87,36.315,9.536,177.694
leaf:D1_10F_EvA,1,495917,495917,35.346,255,8630.085,3948.182,159.927,178.93
lesions:D1_10F_EvA,15,7232,482.133,0.928,255,76.303,31.173,10.054,102.456
leaf:D1_10F_EvA_R1,1,332899,332899,28.306,255,8695.513,3927.931,107.909,0.791
lesions:D1_10F_EvA_R1,10,27990,2799,5.171,255,206.399,83.055,18.356,86.824
leaf:D1_10F_EvA_R2,1,345681,345681,30.834,255,7620.001,3389.776,129.842,179.789
lesions:D1_10F_EvA_R2,3,187,62.333,0.037,255,31.59,13.758,4.942,42.918
leaf:D1_10F_EvA_R3,2,640825,320412.5,31.524,255,5393.667,2481.419,111.747,3.733
lesions:D1_10F_EvA_R3,64,45443,710.047,3.026,255,93.97,33.234,10.401,71.685
leaf:D1_10F_EvA_R4,2,562564,281282,28.306,254.996,5603.299,2520.175,104.585,89.443
lesions:D1_10F_EvA_R4,10,1573,157.3,0.115,255,47.062,18.949,8.337,89.152
leaf:D1_10F_EvA_R5,2,863433,431716.5,41.071,254.967,5805.104,2447.921,156.927,90.902
lesions:D1_10F_EvA_R5,63,41977,666.302,2.602,255,88.87,30.459,9.694,85.559
leaf:D1_10F_EvA_R6,1,564289,564289,40.597,255,7266.647,2901.135,247.653,179.51
lesions:D1_10F_EvA_R6,34,18572,546.235,2.002,255,87.433,33.731,12.467,68.049
leaf:D1_10F_EvA_R7,1,616257,616257,39.424,255,8954.224,4062.825,193.127,0.197
lesions:D1_10F_EvA_R7,28,26050,930.357,3.018,255,89.774,35.931,9.581,96.881
leaf:D1_10F_EvA_R8,2,775461,387730.5,38.598,255,5303.265,2457.487,144.698,1.905
lesions:D1_10F_EvA_R8,37,9754,263.622,0.622,255,62.089,25.237,7.712,87.45
leaf:D1_10W_Ev_1,1,226455,226455,21.783,255,5110.153,2218.47,129.969,179.831
lesions:D1_10W_Ev_1,11,1815,165,0.54,255,50.176,21.424,7.418,104.938
leaf:D1_10W_Ev_2,2,468503,234251.5,23.198,255,5131.062,2428.03,104.315,91.536
lesions:D1_10W_Ev_2,5,550,110,0.042,255,37.039,15.276,7.102,106.069
leaf:D1_10W_EvA,1,551128,551128,32.723,255,8847.073,3401.044,206.324,179.455
lesions:D1_10W_EvA,29,270400,9324.138,25.003,255,433.247,110.738,20.42,117.711
leaf:D1_10W_EvA_R1,1,498345,498345,31.047,255,8441.163,3719.818,170.576,0.163
lesions:D1_10W_EvA_R1,22,11938,542.636,1.58,255,88.156,32.779,12.946,76.797
