date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,field_notes
20190507,D2,10,water,Ev,R5,5,1,0,1,
20190507,D2,10,water,Ev,R6,3,1,0,1,
20190507,D2,10,water,Ev,S1,3,1,1,1,
20190507,D2,10,water,Ev,S2,4,2,0,1,
20190507,D2,1,fungicide,Ev,A,4,1,0,1,
20190507,D2,2,fungicide,Ev,A,4,0,0,1,
20190507,D2,3,fungicide,Ev,A,3,0,0,1,
20190507,D2,4,fungicide,Ev,A,NA,NA,NA,NA,dead/missing
20190507,D2,5,fungicide,Ev,A,3,0,0,1,
20190507,D2,6,fungicide,Ev,A,5,0,0,1,
20190507,D2,7,fungicide,Ev,A,3,2,0,1,
20190507,D2,8,fungicide,Ev,A,NA,NA,NA,NA,missing
20190507,D2,8,fungicide,Ev,R2,6,1,0,1,
20190507,D2,9,fungicide,Ev,A,2,0,0,0,too small to sample
20190507,D2,9,fungicide,Ev,R1,4,1,0,1,
20190507,D2,9,fungicide,Ev,R3,3,0,0,1,
20190507,D2,9,fungicide,Ev,R4,4,2,0,1,
20190507,D2,10,fungicide,Ev,A,3,1,0,1,
20190507,D2,10,fungicide,Ev,R1,3,1,0,1,
20190507,D2,10,fungicide,Ev,R2,5,1,0,1,
20190507,D2,10,fungicide,Ev,R3,6,2,0,1,
20190507,D2,10,fungicide,Ev,R4,4,1,0,1,
20190507,D2,10,fungicide,Ev,R5,1,1,0,1,
20190507,D2,10,fungicide,Ev,R6,3,1,0,1,
20190507,D2,10,fungicide,Ev,R7,NA,NA,NA,NA,dead
20190507,D2,10,fungicide,Ev,S1,NA,NA,NA,NA,dead
20190507,D3,1,water,Ev,A,3,2,0,1,
20190507,D3,2,water,Ev,A,3,1,0,1,
20190507,D3,3,water,Ev,A,4,3,0,1,
20190507,D3,5,water,Ev,A,5,3,0,1,
20190507,D3,6,water,Ev,A,5,2,0,1,
20190507,D3,7,water,Ev,A,NA,NA,NA,NA,dead
20190507,D3,8,water,Ev,R1,4,1,0,1,
20190507,D3,8,water,Ev,R2,5,3,0,1,
20190507,D3,9,water,Ev,A,4,1,0,1,
20190507,D3,9,water,Ev,R1,3,1,0,1,
20190507,D3,9,water,Ev,R2,3,2,0,1,
20190507,D3,9,water,Ev,R3,4,2,0,1,
20190507,D3,10,water,Ev,A,3,2,0,1,
20190507,D3,10,water,Ev,R1,3,1,1,1,
20190507,D3,10,water,Ev,R2,5,3,0,1,
20190507,D3,10,water,Ev,R3,4,3,0,1,
20190507,D3,10,water,Ev,R5,5,3,0,1,
20190507,D3,10,water,Ev,R6,5,3,0,1,
20190507,D3,10,water,Ev,R7,4,3,1,1,
20190507,D3,10,water,Ev,R8,3,3,1,1,
20190507,D3,1,fungicide,Ev,A,3,2,0,1,
20190507,D3,2,fungicide,Ev,A,6,0,0,1,
20190507,D3,3,fungicide,Ev,A,3,0,0,1,
20190507,D3,4,fungicide,Ev,A,4,2,0,1,
20190507,D3,5,fungicide,Ev,A,NA,NA,NA,NA,dead
20190507,D3,6,fungicide,Ev,A,3,1,0,1,
20190507,D3,7,fungicide,Ev,A,5,0,0,1,
20190507,D3,8,fungicide,Ev,A,NA,NA,NA,NA,dead
20190507,D3,8,fungicide,Ev,R1,5,3,0,1,
20190507,D3,8,fungicide,Ev,R2,5,0,0,1,
20190507,D3,9,fungicide,Ev,A,2,2,1,1,
20190507,D3,9,fungicide,Ev,R1,4,3,0,1,
20190507,D3,9,fungicide,Ev,R2,3,1,0,1,
20190507,D3,9,fungicide,Ev,R3,4,1,1,1,
20190507,D3,9,fungicide,Ev,R4,1,1,1,1,
20190507,D3,10,fungicide,Ev,A,4,1,0,1,
20190507,D3,10,fungicide,Ev,R1,NA,NA,NA,NA,missing
20190507,D3,10,fungicide,Ev,R2,5,1,0,1,
20190507,D3,10,fungicide,Ev,R3,4,2,0,1,
20190507,D3,10,fungicide,Ev,R4,6,2,1,1,
20190507,D3,10,fungicide,Ev,R5,3,1,0,1,
20190507,D3,10,fungicide,Ev,R6,2,2,0,1,
20190507,D3,10,fungicide,Ev,R7,5,4,0,1,
20190507,D3,10,fungicide,Ev,R8,3,2,0,1,
20190507,D3,9,water,Ev,R4,4,2,0,1,added in the field
20190507,D4,1,water,Ev,A,3,1,0,1,
20190507,D4,2,water,Ev,A,5,2,0,1,
20190507,D4,3,water,Ev,A,5,2,0,1,
20190507,D4,4,water,Ev,A,4,3,0,1,
20190507,D4,5,water,Ev,A,5,1,0,1,
20190507,D4,6,water,Ev,A,5,0,0,1,
20190507,D4,7,water,Ev,A,5,3,1,1,
20190507,D4,8,water,Ev,A,6,3,0,1,
20190507,D4,8,water,Ev,R1,5,3,0,1,
20190507,D4,8,water,Ev,S1,4,2,0,1,
20190507,D4,9,water,Ev,A,3,2,0,1,
20190507,D4,9,water,Ev,R1,3,1,0,1,
20190507,D4,9,water,Ev,R2,NA,NA,NA,NA,dead
20190507,D4,9,water,Ev,R3,5,3,0,1,
20190507,D4,9,water,Ev,R4,NA,NA,NA,NA,dead
20190507,D4,10,water,Ev,A,6,3,0,1,
20190507,D4,10,water,Ev,R1,1,1,0,0,
20190507,D4,10,water,Ev,R2,5,0,0,1,
20190507,D4,10,water,Ev,R3,5,3,0,1,
20190507,D4,10,water,Ev,R4,3,1,0,1,
20190507,D4,10,water,Ev,R5,4,1,0,1,
20190507,D4,10,water,Ev,R6,NA,NA,NA,NA,missing
20190507,D4,10,water,Ev,R7,3,1,0,1,
20190507,D4,10,water,Ev,R8,5,3,0,1,
20190507,D4,2,fungicide,Ev,A,NA,NA,NA,NA,missing
20190507,D4,3,fungicide,Ev,A,6,0,0,1,
20190507,D4,4,fungicide,Ev,A,6,0,0,1,
20190507,D4,5,fungicide,Ev,A,3,1,0,1,
20190507,D4,6,fungicide,Ev,A,4,1,0,1,
20190507,D4,7,fungicide,Ev,A,3,1,0,1,
20190507,D4,9,fungicide,Ev,A,5,2,0,1,
20190507,D4,9,fungicide,Ev,R1,4,2,0,1,
20190507,D4,9,fungicide,Ev,R2,6,1,0,1,may be senescence rather than infection
20190507,D4,9,fungicide,Ev,R3,4,2,0,1,
20190507,D4,9,fungicide,Ev,R4,4,1,0,1,
