date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots_Ev,seeds_collected,field_notes
20180926,D1,1,water,Ev,1,NA,NA,NA,0,
20180926,D1,1,water,Ev,2,NA,NA,NA,0,
20180926,D1,1,water,Ev,3,2,0,0,0,
20180926,D1,1,water,Ev,A,1,0,0,0,
20180926,D1,2,water,Ev,1,3,3,1,0,
20180926,D1,2,water,Ev,2,NA,NA,NA,0,
20180926,D1,2,water,Ev,3,1,1,0,0,
20180926,D1,2,water,Ev,A,1,1,1,1,
20180926,D1,3,water,Ev,1,3,3,1,0,
20180926,D1,3,water,Ev,2,3,2,1,0,
20180926,D1,3,water,Ev,3,4,1,0,0,
20180926,D1,3,water,Ev,A,4,3,1,1,
20180926,D1,4,water,Ev,1,NA,NA,NA,0,
20180926,D1,4,water,Ev,2,NA,NA,NA,0,
20180926,D1,4,water,Ev,3,NA,NA,NA,0,
20180926,D1,4,water,Ev,A,NA,NA,NA,0,
20180926,D1,5,water,Ev,1,NA,NA,NA,0,
20180926,D1,5,water,Ev,2,NA,NA,NA,0,
20180926,D1,5,water,Ev,3,NA,NA,NA,0,
20180926,D1,5,water,Ev,A,3,0,0,0,
20180926,D1,6,water,Ev,1,2,0,0,0,
20180926,D1,6,water,Ev,2,1,1,1,0,
20180926,D1,6,water,Ev,3,3,2,1,0,
20180926,D1,6,water,Ev,A,3,1,0,1,
20180926,D1,6,water,Ev,R1,3,2,1,0,
20180926,D1,6,water,Ev,R2,3,0,0,0,
20180926,D1,6,water,Ev,R3,2,2,1,0,
20180926,D1,6,water,Ev,R4,2,1,0,0,
20180926,D1,6,water,Ev,R5,1,1,1,0,
20180924,D1,7,water,Ev,1,4,3,0,0,
20180924,D1,7,water,Ev,2,NA,NA,NA,0,
20180924,D1,7,water,Ev,3,2,2,1,1,
20180924,D1,7,water,Ev,A,2,1,1,1,
20180924,D1,7,water,Ev,R1,NA,NA,NA,0,
20180924,D1,7,water,Ev,R11,NA,NA,NA,0,
20180924,D1,7,water,Ev,R2,2,0,0,0,
20180924,D1,7,water,Ev,R3,2,2,1,0,
20180924,D1,7,water,Ev,R4,3,1,1,0,
20180926,D1,7,water,Ev,R5,2,0,0,0,
20180924,D1,7,water,Ev,R6,3,3,1,0,
20180926,D1,7,water,Ev,R7,3,1,0,0,
20180926,D1,7,water,Ev,R8,2,2,1,0,
20180926,D1,7,water,Ev,R9,3,2,1,0,
20180926,D1,8,water,Ev,1,3,2,1,0,
20180926,D1,8,water,Ev,2,NA,NA,NA,0,
20180926,D1,8,water,Ev,3,2,0,0,0,
20180926,D1,8,water,Ev,A,4,0,0,0,
20180926,D1,8,water,Ev,AR1,2,1,1,0,
20180926,D1,8,water,Ev,AR2,2,0,0,0,
20180926,D1,9,water,Ev,1,3,2,0,0,
20180926,D1,9,water,Ev,2,3,2,1,1,
20180926,D1,9,water,Ev,3,3,2,1,0,
20180926,D1,9,water,Ev,A,2,1,0,1,
20180926,D1,9,water,Ev,AR1,1,1,0,0,
20180926,D1,9,water,Ev,AR2,3,2,0,1,
20180926,D1,9,water,Ev,AS1,3,2,1,1,
20180926,D1,9,water,Ev,AS2,3,2,1,0,
20180926,D1,10,water,Ev,1,NA,NA,NA,0,
20180926,D1,10,water,Ev,2,2,0,0,0,
20180926,D1,10,water,Ev,3,NA,NA,NA,0,
20180926,D1,10,water,Ev,A,1,1,0,0,
20180926,D1,10,water,Ev,R1,3,3,1,0,
20180926,D1,10,water,Ev,R2,2,2,1,0,
20180926,D1,10,water,Ev,R3,4,1,1,0,
20180926,D1,10,water,Ev,R4,3,2,1,0,
20180926,D1,10,water,Ev,R5,3,1,1,0,
20180926,D1,10,water,Ev,R6,3,2,1,0,
20180926,D1,10,water,Ev,R7,3,1,1,0,
20180926,D1,10,water,Ev,R8,4,4,1,0,
20180926,D1,1,fungicide,Ev,1,NA,NA,NA,0,
20180926,D1,1,fungicide,Ev,2,4,0,0,0,
20180926,D1,1,fungicide,Ev,3,4,1,0,0,
20180926,D1,1,fungicide,Ev,A,2,2,0,1,
20180926,D1,2,fungicide,Ev,1,NA,NA,NA,1,
20180926,D1,2,fungicide,Ev,2,NA,NA,NA,0,
20180926,D1,2,fungicide,Ev,3,3,1,1,0,
20180926,D1,2,fungicide,Ev,A,2,2,1,0,
20180926,D1,3,fungicide,Ev,1,NA,NA,NA,0,
20180926,D1,3,fungicide,Ev,2,2,0,0,0,
20180926,D1,3,fungicide,Ev,3,6,0,0,0,
20180926,D1,3,fungicide,Ev,A,4,4,0,0,
20180926,D1,4,fungicide,Ev,1,3,3,1,0,
20180926,D1,4,fungicide,Ev,2,3,1,0,0,
20180926,D1,4,fungicide,Ev,3,NA,NA,NA,0,
20180926,D1,4,fungicide,Ev,A,2,1,1,1,
20180924,D1,5,fungicide,Ev,1,NA,NA,NA,0,
20180926,D1,5,fungicide,Ev,2,3,1,1,0,
20180926,D1,5,fungicide,Ev,3,2,0,0,0,
20180926,D1,5,fungicide,Ev,A,3,2,1,1,
20180926,D1,5,fungicide,Ev,R2,3,0,0,0,
20180926,D1,5,fungicide,Ev,R3,2,0,0,0,
20180926,D1,6,fungicide,Ev,1,NA,NA,NA,0,
20180926,D1,6,fungicide,Ev,2,NA,NA,NA,0,
20180926,D1,6,fungicide,Ev,3,2,0,0,0,
20180926,D1,6,fungicide,Ev,A,1,0,0,1,
20180926,D1,6,fungicide,Ev,R1,NA,NA,NA,0,
20180926,D1,6,fungicide,Ev,R2,2,0,0,0,
20180926,D1,6,fungicide,Ev,R3,3,0,0,0,
20180926,D1,6,fungicide,Ev,R4,4,0,0,0,
20180926,D1,6,fungicide,Ev,R5,NA,NA,NA,0,
20180926,D1,6,fungicide,Ev,R6,NA,NA,NA,0,
20180926,D1,7,fungicide,Ev,1,NA,NA,NA,0,
20180926,D1,7,fungicide,Ev,2,3,2,1,0,
20180926,D1,7,fungicide,Ev,3,3,2,1,1,
20180926,D1,7,fungicide,Ev,A,NA,NA,NA,1,
20180926,D1,7,fungicide,Ev,R1,4,1,1,0,
20180926,D1,7,fungicide,Ev,R2,NA,NA,NA,NA,couldn't find plant
20180926,D1,7,fungicide,Ev,R3,NA,NA,NA,1,
20180926,D1,8,fungicide,Ev,1,2,0,0,0,
20180926,D1,8,fungicide,Ev,2,1,0,0,0,
20180926,D1,8,fungicide,Ev,3,3,0,0,0,
20180926,D1,8,fungicide,Ev,A,3,0,0,0,
20180926,D1,8,fungicide,Ev,AR1,2,1,0,0,
20180926,D1,8,fungicide,Ev,AR2,3,1,0,0,
20180926,D1,9,fungicide,Ev,1,4,1,0,0,
20180926,D1,9,fungicide,Ev,2,NA,NA,NA,0,
20180926,D1,9,fungicide,Ev,3,NA,NA,NA,0,
20180926,D1,9,fungicide,Ev,A,2,1,0,1,
20180926,D1,9,fungicide,Ev,AR1,4,3,1,1,
20180926,D1,9,fungicide,Ev,AR2,3,2,0,0,
20180926,D1,9,fungicide,Ev,AR3,4,2,1,0,
20180926,D1,9,fungicide,Ev,AR4,4,2,1,0,
20180926,D1,10,fungicide,Ev,1,2,1,0,0,
20180926,D1,10,fungicide,Ev,2,NA,NA,NA,0,
20180926,D1,10,fungicide,Ev,3,3,1,0,0,
20180926,D1,10,fungicide,Ev,A,2,1,1,0,
20180926,D1,10,fungicide,Ev,AR1,3,1,1,0,
20180926,D1,10,fungicide,Ev,AR2,2,1,0,0,
20180926,D1,10,fungicide,Ev,AR3,3,2,1,0,
20180926,D1,10,fungicide,Ev,AR4,2,1,0,0,
20180926,D1,10,fungicide,Ev,AR5,2,0,0,0,
20180926,D1,10,fungicide,Ev,AR6,2,2,1,0,
20180926,D1,10,fungicide,Ev,AR7,3,0,0,0,
20180926,D1,10,fungicide,Ev,AR8,2,0,0,0,
20180925,D2,1,water,Ev,1,NA,NA,NA,0,
20180925,D2,1,water,Ev,2,2,0,0,0,
20180925,D2,1,water,Ev,3,NA,NA,NA,0,
20180925,D2,1,water,Ev,A,2,0,0,1,
20180925,D2,2,water,Ev,1,2,0,0,0,
20180925,D2,2,water,Ev,2,NA,NA,NA,0,
20180925,D2,2,water,Ev,3,NA,NA,NA,0,
20180925,D2,2,water,Ev,A,3,0,0,0,
20180925,D2,3,water,Ev,1,3,3,0,0,
20180925,D2,3,water,Ev,2,NA,NA,NA,0,
20180925,D2,3,water,Ev,3,5,3,0,0,
20180925,D2,3,water,Ev,A,2,1,0,1,
20180925,D2,4,water,Ev,1,NA,NA,NA,0,
20180925,D2,4,water,Ev,2,3,0,0,0,
20180925,D2,4,water,Ev,3,NA,NA,NA,0,
20180925,D2,4,water,Ev,A,3,0,0,0,
20180925,D2,5,water,Ev,1,2,0,0,0,
20180925,D2,5,water,Ev,2,1,0,0,0,
20180925,D2,5,water,Ev,3,NA,NA,NA,0,
20180925,D2,5,water,Ev,A,3,1,1,1,
20180925,D2,6,water,Ev,1,2,1,1,0,
20180925,D2,6,water,Ev,2,1,0,1,1,
20180925,D2,6,water,Ev,3,NA,NA,NA,0,
20180925,D2,6,water,Ev,A,2,1,0,1,
20180925,D2,6,water,Ev,R1,3,2,1,0,
20180925,D2,6,water,Ev,R2,2,0,0,0,
20180925,D2,6,water,Ev,R3,NA,NA,NA,1,
20180925,D2,6,water,Ev,R4,2,2,1,1,
20180925,D2,6,water,Ev,R5,1,0,0,0,
20180925,D2,6,water,Ev,R6,NA,NA,NA,1,
20180925,D2,6,water,Ev,R7,3,1,1,1,
20180925,D2,7,water,Ev,1,3,2,1,0,
20180925,D2,7,water,Ev,2,2,2,0,0,
20180925,D2,7,water,Ev,3,1,1,0,1,
20180925,D2,7,water,Ev,A,NA,NA,NA,0,
20180925,D2,7,water,Ev,R1,3,0,0,0,
20180925,D2,7,water,Ev,R10,3,0,0,0,
20180925,D2,7,water,Ev,R11,2,2,1,0,
20180925,D2,7,water,Ev,R2,2,0,0,0,
20180925,D2,7,water,Ev,R3,3,3,1,0,
20180925,D2,7,water,Ev,R4,3,3,1,0,
20180925,D2,7,water,Ev,R5,NA,NA,NA,0,
20180925,D2,7,water,Ev,R6,2,1,0,0,
20180925,D2,7,water,Ev,R7,3,3,0,0,
20180925,D2,7,water,Ev,R8,NA,NA,NA,0,
20180925,D2,7,water,Ev,R9,2,0,0,0,
20180925,D2,8,water,Ev,1,NA,NA,NA,0,
20180925,D2,8,water,Ev,2,2,0,0,0,
20180925,D2,8,water,Ev,3,3,3,1,0,
20180925,D2,8,water,Ev,A,2,0,0,0,
20180925,D2,8,water,Ev,AR1,2,1,1,0,
20180925,D2,8,water,Ev,AR2,3,1,1,0,
20180925,D2,9,water,Ev,1,NA,NA,NA,0,
20180925,D2,9,water,Ev,2,2,0,0,0,
20180925,D2,9,water,Ev,3,3,1,1,0,
20180925,D2,9,water,Ev,A,3,1,0,0,
20180925,D2,9,water,Ev,AR1,2,2,0,0,
20180925,D2,9,water,Ev,AR2,4,3,1,1,
20180925,D2,9,water,Ev,AR3,2,0,0,1,
20180925,D2,9,water,Ev,AR4,2,1,0,1,
20180925,D2,10,water,Ev,1,2,2,1,1,
20180925,D2,10,water,Ev,2,3,0,0,0,
20180925,D2,10,water,Ev,3,NA,NA,NA,0,
20180925,D2,10,water,Ev,A,2,1,1,1,
20180925,D2,10,water,Ev,AR1,3,2,1,0,
20180925,D2,10,water,Ev,AR2,3,1,1,0,
20180925,D2,10,water,Ev,AR3,3,2,1,0,
20180925,D2,10,water,Ev,AR4,2,0,0,0,
20180925,D2,10,water,Ev,AR5,4,3,0,1,
20180925,D2,10,water,Ev,AR6,3,2,1,1,
20180925,D2,10,water,Ev,AS1,3,1,0,0,
20180925,D2,10,water,Ev,AS2,3,2,1,1,
20180925,D2,1,fungicide,Ev,1,NA,NA,NA,0,
20180925,D2,1,fungicide,Ev,2,3,1,0,0,
20180925,D2,1,fungicide,Ev,3,6,1,1,0,
20180925,D2,1,fungicide,Ev,A,3,3,0,1,
20180925,D2,2,fungicide,Ev,1,3,0,0,0,
20180925,D2,2,fungicide,Ev,2,2,2,0,0,
20180925,D2,2,fungicide,Ev,3,4,1,0,0,
20180925,D2,2,fungicide,Ev,A,2,0,0,0,
20180925,D2,3,fungicide,Ev,1,NA,NA,NA,0,
