date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots_Ev,seeds_collected,field_notes
20180925,D2,3,fungicide,Ev,2,3,1,0,0,
20180925,D2,3,fungicide,Ev,3,3,1,0,1,
20180925,D2,3,fungicide,Ev,A,2,1,0,0,
20180925,D2,4,fungicide,Ev,1,4,2,1,0,
20180925,D2,4,fungicide,Ev,2,3,1,0,0,
20180925,D2,4,fungicide,Ev,3,7,1,1,0,
20180925,D2,4,fungicide,Ev,A,2,0,0,0,
20180925,D2,5,fungicide,Ev,1,1,1,0,1,
20180925,D2,5,fungicide,Ev,2,4,4,0,0,
20180925,D2,5,fungicide,Ev,3,3,0,0,0,
20180925,D2,5,fungicide,Ev,A,1,0,0,0,
20180925,D2,5,fungicide,Ev,R1,3,2,0,1,
20180925,D2,5,fungicide,Ev,R2,3,0,0,0,
20180925,D2,5,fungicide,Ev,R3,3,3,0,0,
20180925,D2,5,fungicide,Ev,R4,3,3,0,0,
20180925,D2,6,fungicide,Ev,1,2,0,0,0,
20180925,D2,6,fungicide,Ev,2,5,2,0,0,
20180925,D2,6,fungicide,Ev,3,3,1,1,0,
20180925,D2,6,fungicide,Ev,A,2,2,0,0,
20180925,D2,6,fungicide,Ev,R1,NA,NA,NA,1,
20180925,D2,6,fungicide,Ev,R2,4,2,0,0,
20180925,D2,6,fungicide,Ev,R3,2,1,0,1,
20180925,D2,6,fungicide,Ev,R4,2,2,1,0,
20180925,D2,6,fungicide,Ev,R5,NA,NA,NA,0,
20180925,D2,6,fungicide,Ev,R6,3,1,0,0,
20180925,D2,6,fungicide,Ev,R7,2,0,0,1,
20180925,D2,6,fungicide,Ev,R8,3,2,0,0,
20180925,D2,7,fungicide,Ev,1,1,0,0,0,
20180925,D2,7,fungicide,Ev,2,NA,NA,NA,0,
20180925,D2,7,fungicide,Ev,3,2,0,0,0,
20180925,D2,7,fungicide,Ev,A,3,0,0,0,
20180925,D2,7,fungicide,Ev,R1,2,0,0,0,
20180925,D2,7,fungicide,Ev,R10,3,0,0,0,
20180925,D2,7,fungicide,Ev,R2,2,0,0,1,
20180925,D2,7,fungicide,Ev,R3,1,0,0,0,
20180925,D2,7,fungicide,Ev,R4,NA,NA,NA,0,
20180925,D2,7,fungicide,Ev,R5,2,0,0,0,
20180925,D2,7,fungicide,Ev,R6,3,2,0,1,
20180925,D2,7,fungicide,Ev,R7,2,0,0,0,
20180925,D2,7,fungicide,Ev,R8,2,0,0,0,
20180925,D2,7,fungicide,Ev,R9,3,0,0,1,
20180925,D2,8,fungicide,Ev,1,3,1,0,0,
20180925,D2,8,fungicide,Ev,2,1,1,0,0,
20180925,D2,8,fungicide,Ev,3,3,1,0,1,
20180925,D2,8,fungicide,Ev,A,3,2,0,0,
20180925,D2,8,fungicide,Ev,AR1,3,2,1,0,
20180925,D2,8,fungicide,Ev,AR2,2,1,0,1,
20180925,D2,9,fungicide,Ev,1,NA,NA,NA,0,
20180925,D2,9,fungicide,Ev,2,NA,NA,NA,0,
20180925,D2,9,fungicide,Ev,3,NA,NA,NA,0,
20180925,D2,9,fungicide,Ev,A,2,0,0,0,
20180925,D2,9,fungicide,Ev,AR1,2,0,0,1,
20180925,D2,9,fungicide,Ev,AR3,2,1,1,1,
20180925,D2,9,fungicide,Ev,AR4,2,0,0,1,
20180925,D2,10,fungicide,Ev,1,NA,NA,NA,0,
20180925,D2,10,fungicide,Ev,2,NA,NA,NA,0,
20180925,D2,10,fungicide,Ev,3,NA,NA,NA,1,
20180925,D2,10,fungicide,Ev,A,3,0,0,0,
20180925,D2,10,fungicide,Ev,AR1,3,1,0,0,
20180925,D2,10,fungicide,Ev,AR2,1,1,0,0,
20180925,D2,10,fungicide,Ev,AR3,3,0,0,1,
20180925,D2,10,fungicide,Ev,AR4,2,0,0,0,
20180925,D2,10,fungicide,Ev,AR5,3,0,0,0,
20180925,D2,10,fungicide,Ev,AR6,3,0,0,0,
20180925,D2,10,fungicide,Ev,AR7,7,3,0,0,
20180925,D2,10,fungicide,Ev,AS1,2,1,0,0,
20180925,D3,1,water,Ev,1,NA,NA,NA,0,
20180925,D3,1,water,Ev,2,NA,NA,NA,0,
20180925,D3,1,water,Ev,3,NA,NA,NA,0,
20180925,D3,1,water,Ev,A,1,1,1,1,
20180925,D3,2,water,Ev,1,NA,NA,NA,0,
20180925,D3,2,water,Ev,2,NA,NA,NA,0,
20180925,D3,2,water,Ev,3,NA,NA,NA,0,
20180925,D3,2,water,Ev,A,2,0,0,0,
20180925,D3,3,water,Ev,1,NA,NA,NA,0,
20180925,D3,3,water,Ev,2,NA,NA,NA,0,
20180925,D3,3,water,Ev,3,NA,NA,NA,0,
20180925,D3,3,water,Ev,A,3,1,0,1,
20180925,D3,4,water,Ev,1,NA,NA,NA,0,
20180925,D3,4,water,Ev,2,NA,NA,NA,0,
20180925,D3,4,water,Ev,3,NA,NA,NA,0,
20180925,D3,4,water,Ev,A,NA,NA,NA,0,
20180925,D3,5,water,Ev,1,4,1,0,0,
20180925,D3,5,water,Ev,2,NA,NA,NA,0,
20180925,D3,5,water,Ev,3,NA,NA,NA,0,
20180925,D3,5,water,Ev,A,4,3,1,1,
20180925,D3,6,water,Ev,1,NA,NA,NA,0,
20180925,D3,6,water,Ev,2,NA,NA,NA,0,
20180925,D3,6,water,Ev,3,NA,NA,NA,0,
20180925,D3,6,water,Ev,A,3,1,0,0,
20180925,D3,6,water,Ev,R1,5,5,0,0,
20180925,D3,6,water,Ev,R2,NA,NA,NA,0,
20180925,D3,6,water,Ev,R3,NA,NA,NA,0,
20180925,D3,7,water,Ev,1,NA,NA,NA,0,
20180925,D3,7,water,Ev,2,NA,NA,NA,0,
20180925,D3,7,water,Ev,3,NA,NA,NA,0,
20180925,D3,7,water,Ev,A,4,1,0,0,
20180925,D3,7,water,Ev,R1,NA,NA,NA,0,
20180925,D3,7,water,Ev,R2,2,0,0,0,
20180925,D3,8,water,Ev,1,NA,NA,NA,0,
20180925,D3,8,water,Ev,2,NA,NA,NA,0,
20180925,D3,8,water,Ev,3,NA,NA,NA,0,
20180925,D3,8,water,Ev,A,NA,NA,NA,0,
20180925,D3,8,water,Ev,AR1,2,0,0,0,
20180925,D3,8,water,Ev,AR2,2,0,0,0,
20180925,D3,9,water,Ev,1,NA,NA,NA,0,
20180925,D3,9,water,Ev,2,NA,NA,NA,0,
20180925,D3,9,water,Ev,3,NA,NA,NA,0,
20180925,D3,9,water,Ev,A,2,1,0,1,
20180925,D3,9,water,Ev,AR1,4,2,1,1,
20180925,D3,9,water,Ev,AR2,4,3,1,1,
20180925,D3,9,water,Ev,AR3,4,3,1,1,
20180925,D3,10,water,Ev,1,NA,NA,NA,0,
20180925,D3,10,water,Ev,2,2,0,0,0,
20180925,D3,10,water,Ev,3,3,1,0,0,
20180925,D3,10,water,Ev,A,NA,NA,NA,0,
20180925,D3,10,water,Ev,AR1,2,1,0,0,
20180925,D3,10,water,Ev,AR2,1,1,0,1,
20180925,D3,10,water,Ev,AR3,NA,NA,NA,1,
20180925,D3,10,water,Ev,AR4,2,0,0,0,
20180925,D3,10,water,Ev,AR5,3,1,0,1,
20180925,D3,10,water,Ev,AR6,2,2,0,0,
20180925,D3,10,water,Ev,AR7,2,2,0,1,
20180925,D3,10,water,Ev,AR8,3,1,1,0,
20180925,D3,1,fungicide,Ev,1,NA,NA,NA,0,
20180925,D3,1,fungicide,Ev,2,NA,NA,NA,0,
20180925,D3,1,fungicide,Ev,3,NA,NA,NA,0,
20180925,D3,1,fungicide,Ev,A,4,4,1,1,
20180925,D3,2,fungicide,Ev,1,NA,NA,NA,0,
20180925,D3,2,fungicide,Ev,2,NA,NA,NA,0,
20180925,D3,2,fungicide,Ev,3,NA,NA,NA,0,
20180925,D3,2,fungicide,Ev,A,2,1,1,0,
20180925,D3,3,fungicide,Ev,1,NA,NA,NA,0,
20180925,D3,3,fungicide,Ev,2,NA,NA,NA,0,
20180925,D3,3,fungicide,Ev,3,NA,NA,NA,0,
20180925,D3,3,fungicide,Ev,A,3,0,0,0,
20180925,D3,4,fungicide,Ev,1,NA,NA,NA,0,
20180925,D3,4,fungicide,Ev,2,NA,NA,NA,0,
20180925,D3,4,fungicide,Ev,3,NA,NA,NA,0,
20180925,D3,4,fungicide,Ev,A,3,0,0,1,
20180925,D3,5,fungicide,Ev,1,NA,NA,NA,0,
20180925,D3,5,fungicide,Ev,2,NA,NA,NA,0,
20180925,D3,5,fungicide,Ev,3,NA,NA,NA,0,
20180925,D3,5,fungicide,Ev,A,3,1,0,0,
20180925,D3,6,fungicide,Ev,1,NA,NA,NA,0,
20180925,D3,6,fungicide,Ev,2,NA,NA,NA,0,
20180925,D3,6,fungicide,Ev,3,NA,NA,NA,0,
20180925,D3,6,fungicide,Ev,A,2,0,0,0,
20180925,D3,7,fungicide,Ev,1,NA,NA,NA,0,
20180925,D3,7,fungicide,Ev,2,2,0,0,0,
20180925,D3,7,fungicide,Ev,3,NA,NA,NA,0,
20180925,D3,7,fungicide,Ev,A,2,0,0,0,
20180925,D3,7,fungicide,Ev,R1,NA,NA,NA,0,
20180925,D3,7,fungicide,Ev,R2,NA,NA,NA,0,
20180925,D3,7,fungicide,Ev,R3,2,1,0,0,
20180925,D3,8,fungicide,Ev,1,NA,NA,NA,0,
20180925,D3,8,fungicide,Ev,2,NA,NA,NA,0,
20180925,D3,8,fungicide,Ev,3,NA,NA,NA,0,
20180925,D3,8,fungicide,Ev,A,NA,NA,NA,0,
20180925,D3,8,fungicide,Ev,AR1,3,1,0,1,
20180925,D3,8,fungicide,Ev,AR2,2,0,0,0,
20180925,D3,9,fungicide,Ev,1,NA,NA,NA,0,
20180925,D3,9,fungicide,Ev,2,NA,NA,NA,0,
20180925,D3,9,fungicide,Ev,3,NA,NA,NA,0,
20180925,D3,9,fungicide,Ev,A,5,2,0,1,
20180925,D3,9,fungicide,Ev,AR1,2,1,0,1,
20180925,D3,9,fungicide,Ev,AR2,5,3,0,1,
20180925,D3,9,fungicide,Ev,AR3,2,2,0,1,
20180925,D3,9,fungicide,Ev,AR4,1,1,1,1,
20180925,D3,10,fungicide,Ev,1,NA,NA,NA,0,
20180925,D3,10,fungicide,Ev,2,NA,NA,NA,0,
20180925,D3,10,fungicide,Ev,3,NA,NA,NA,0,
20180925,D3,10,fungicide,Ev,A,2,1,0,1,
20180925,D3,10,fungicide,Ev,AR1,NA,NA,NA,0,
20180925,D3,10,fungicide,Ev,AR2,1,1,1,1,
20180925,D3,10,fungicide,Ev,AR3,3,1,0,1,
20180925,D3,10,fungicide,Ev,AR4,3,1,0,1,
20180925,D3,10,fungicide,Ev,AR5,2,0,0,0,
20180925,D3,10,fungicide,Ev,AR6,3,1,0,0,
20180925,D3,10,fungicide,Ev,AR7,3,3,1,1,
20180925,D3,10,fungicide,Ev,AR8,2,1,1,0,
20180926,D4,1,water,Ev,1,NA,NA,NA,0,
20180926,D4,1,water,Ev,2,2,1,0,0,
20180926,D4,1,water,Ev,3,NA,NA,NA,0,
20180926,D4,1,water,Ev,A,3,3,1,0,
20180926,D4,2,water,Ev,1,1,1,0,0,
20180926,D4,2,water,Ev,2,2,2,0,0,
20180926,D4,2,water,Ev,3,NA,NA,NA,1,
20180926,D4,2,water,Ev,A,2,2,0,1,
20180926,D4,3,water,Ev,1,3,0,0,0,
20180926,D4,3,water,Ev,2,NA,NA,NA,0,
20180926,D4,3,water,Ev,3,NA,NA,NA,0,
20180926,D4,3,water,Ev,A,4,4,0,0,
20180926,D4,4,water,Ev,1,NA,NA,NA,0,
20180926,D4,4,water,Ev,2,NA,NA,NA,0,
20180926,D4,4,water,Ev,3,NA,NA,NA,0,
20180926,D4,4,water,Ev,A,3,0,0,0,
20180926,D4,5,water,Ev,1,NA,NA,NA,0,
20180926,D4,5,water,Ev,2,NA,NA,NA,0,
20180926,D4,5,water,Ev,3,NA,NA,NA,0,
20180926,D4,5,water,Ev,A,2,1,0,1,
20180926,D4,6,water,Ev,1,NA,NA,NA,0,
20180926,D4,6,water,Ev,2,NA,NA,NA,0,
20180926,D4,6,water,Ev,3,2,0,0,1,
20180926,D4,6,water,Ev,A,2,1,1,1,
20180926,D4,6,water,Ev,R1,NA,NA,NA,0,
20180926,D4,6,water,Ev,R3,2,2,1,0,
20180926,D4,7,water,Ev,1,2,1,1,0,
20180926,D4,7,water,Ev,2,NA,NA,NA,0,
20180926,D4,7,water,Ev,3,NA,NA,NA,0,
20180926,D4,7,water,Ev,A,2,2,1,0,
20180926,D4,7,water,Ev,R1,NA,NA,NA,0,
20180926,D4,7,water,Ev,R2,2,1,0,0,
20180926,D4,8,water,Ev,1,2,1,1,0,
20180926,D4,8,water,Ev,2,NA,NA,NA,0,
20180926,D4,8,water,Ev,3,NA,NA,NA,0,
20180926,D4,8,water,Ev,A,3,1,0,1,
20180926,D4,8,water,Ev,AR1,2,1,0,1,
20180926,D4,8,water,Ev,AS1,2,2,1,0,
20180926,D4,9,water,Ev,1,2,0,0,0,
20180926,D4,9,water,Ev,2,2,0,0,0,
20180926,D4,9,water,Ev,3,NA,NA,NA,0,
20180926,D4,9,water,Ev,A,3,2,1,1,
20180926,D4,9,water,Ev,AR1,1,1,1,1,
20180926,D4,9,water,Ev,AR2,3,1,1,0,
20180926,D4,9,water,Ev,AR3,3,3,1,0,
20180926,D4,9,water,Ev,AR4,2,2,1,0,
20180926,D4,10,water,Ev,1,NA,NA,NA,0,
20180926,D4,10,water,Ev,2,NA,NA,NA,0,
20180926,D4,10,water,Ev,3,2,0,0,0,
20180926,D4,10,water,Ev,A,3,2,0,0,
20180926,D4,10,water,Ev,AR1,NA,NA,NA,0,missed plant during data collection
20180926,D4,10,water,Ev,AR2,3,3,1,0,
20180926,D4,10,water,Ev,AR3,3,3,1,1,
20180926,D4,10,water,Ev,AR4,3,0,0,1,
20180926,D4,10,water,Ev,AR5,2,1,0,1,
20180926,D4,10,water,Ev,AR6,1,1,1,0,
20180926,D4,10,water,Ev,AR7,2,1,0,0,
20180926,D4,10,water,Ev,AR8,5,3,1,1,
20180926,D4,1,fungicide,Ev,1,NA,NA,NA,NA,didn't record data (probably no green leaves)
20180926,D4,1,fungicide,Ev,2,NA,NA,NA,0,
20180926,D4,1,fungicide,Ev,3,NA,NA,NA,0,
20180926,D4,1,fungicide,Ev,A,NA,NA,NA,0,
20180926,D4,2,fungicide,Ev,1,3,0,0,0,
20180926,D4,2,fungicide,Ev,2,NA,NA,NA,0,
20180926,D4,2,fungicide,Ev,3,NA,NA,NA,0,
20180926,D4,2,fungicide,Ev,A,3,0,0,0,
20180926,D4,3,fungicide,Ev,1,4,1,0,0,
20180926,D4,3,fungicide,Ev,2,NA,NA,NA,0,
20180926,D4,3,fungicide,Ev,3,NA,NA,NA,0,
20180926,D4,3,fungicide,Ev,A,1,1,0,1,
20180926,D4,4,fungicide,Ev,1,NA,NA,NA,0,
20180926,D4,4,fungicide,Ev,2,NA,NA,NA,0,
20180926,D4,4,fungicide,Ev,3,NA,NA,NA,0,
20180926,D4,4,fungicide,Ev,A,2,0,0,0,
20180926,D4,5,fungicide,Ev,1,NA,NA,NA,0,
20180926,D4,5,fungicide,Ev,2,NA,NA,NA,0,
20180926,D4,5,fungicide,Ev,3,2,0,0,0,
20180926,D4,5,fungicide,Ev,A,3,2,1,1,
20180926,D4,5,fungicide,Ev,R1,2,0,0,0,
20180926,D4,6,fungicide,Ev,1,NA,NA,NA,0,
20180926,D4,6,fungicide,Ev,2,NA,NA,NA,0,
