entry,sample_ID,site,plot,treatment,seeds_20_bio.g,seeds_bio.g,seeds_bio,seeds_20_soil.g,seeds_soil.g,seeds_soil,bio_bag.g,bag.g,bio.g,processing_notes
39,D22W,D2,2,water,0.02,0.562,562,0.028,0.038,27.14285714,20.05,8.68,11.37,
7,D23W,D2,3,water,0.021,0.659,627.6190476,,0.023,13,18.37,8.6,9.77,
38,D24F,D2,4,fungicide,0.019,0.451,474.7368421,0.029,0.052,35.86206897,26.5,8.64,17.86,
41,D24W,D2,4,water,0.017,0.303,356.4705882,0.03,0.096,64,29.44,10.64,18.8,
2,D25F,D2,5,fungicide,0.025,0.931,744.8,0.03,0.173,115.3333333,21.58,8.54,13.04,
16,D25W,D2,5,water,0.018,0.644,715.5555556,0.021,0.059,56.19047619,33.7,8.59,25.11,
8,D26F 20181022,D2,6,fungicide,0.017,0.87,1023.529412,0.025,0.074,59.2,29.69,8.65,21.04,
46,D26W,D2,6,water,0.023,0.325,282.6086957,0.021,0.038,36.19047619,22.14,8.42,13.72,
22/42????,D27W,D2,7,water,0.022,0.691,628.1818182,0.024,0.044,36.66666667,17.41,8.58,8.83,"duplicate - one is 7F, ID = B (dated)"
,D27W,D2,7,water,0.021,0.84,800,0.021,0.038,36.19047619,31.91,6.22,25.69,"duplicate - one is 7F, ID = A (not dated), probably this one"
6,D28F,D2,8,fungicide,0.02,0.738,738,0.03,0.161,107.3333333,21.5,8.61,12.89,
10,D28W,D2,8,water,0.022,1.027,933.6363636,0.025,0.24,192,22.07,8.55,13.52,
9,D29F,D2,9,fungicide,0.021,0.583,555.2380952,0.025,0.034,27.2,20.36,8.55,11.81,
44,D29W,D2,9,water,0.015,0.363,484,0.025,0.066,52.8,20.64,8.42,12.22,
25,D310F,D3,10,fungicide,0.024,0.353,294.1666667,0.025,0.033,26.4,21.63,8.63,13,
32,D310W,D3,10,water,0.021,1.18,1123.809524,0.019,0.254,267.3684211,25.55,8.74,16.81,
35,D31F,D3,1,fungicide,0.019,0.262,275.7894737,0.024,0.139,115.8333333,19.51,8.63,10.88,
15,D31W,D3,1,water,0.015,0.472,629.3333333,0.025,0.346,276.8,24.78,8.62,16.16,
26,D32F 20181023,D3,2,fungicide,0.014,0.476,680,0.028,0.084,60,23.72,8.72,15,
14,D32W 20181023,D3,2,water,0.016,0.315,393.75,0.02,0.077,77,18.71,8.49,10.22,
3,D33F,D3,3,fungicide,0.017,0.623,732.9411765,0.03,0.044,29.33333333,29.3,8.6,20.7,
11,D33W,D3,3,water,0.015,0.15,200,0.025,0.037,29.6,34.77,8.62,26.15,
29,D34F,D3,4,fungicide,0.02,1.293,1293,0.027,0.152,112.5925926,30.76,8.69,22.07,
12,D34W,D3,4,water,0.015,0.152,202.6666667,0.026,0.096,73.84615385,31.76,8.72,23.04,
19,D35F,D3,5,fungicide,0.02,0.357,357,0.025,0.139,111.2,19.97,10.84,9.13,
27,D35W,D3,5,water,0.014,0.449,641.4285714,0.022,0.077,70,20.23,8.74,11.49,
13,D36F,D3,6,fungicide,0.022,0.985,895.4545455,0.027,0.126,93.33333333,20.88,8.57,12.31,
24,D36W,D3,6,water,0.022,0.165,150,0.027,0.126,93.33333333,55.4,10.97,44.43,
4,D37F,D3,7,fungicide,0.021,0.282,268.5714286,0.02,0.12,120,25.34,8.64,16.7,
34,D37W,D3,7,water,0.022,0.446,405.4545455,0.023,0.122,106.0869565,31.33,8.81,22.52,
30,D38F 20181023,D3,8,fungicide,0.023,0.498,433.0434783,0.025,0.155,124,39.44,8.69,30.75,
28,D38W 20181023,D3,8,water,0.022,0.36,327.2727273,0.025,0.051,40.8,26.82,8.87,17.95,
33,D39F,D3,9,fungicide,0.021,0.589,560.952381,0.021,0.126,120,18.75,8.76,9.99,
31,D39W,D3,9,water,0.018,0.7,777.7777778,0.025,0.184,147.2,22.51,8.69,13.82,
51,D410W,D4,10,water,0.016,0.371,463.75,0.02,0.038,38,35.95,10.99,24.96,
36,D41F,D4,1,fungicide,0.022,0.229,208.1818182,0.026,0.05,38.46153846,33.7,10.92,22.78,
48,D41W,D4,1,water,0.017,0.3,352.9411765,0.021,0.093,88.57142857,25.16,10.93,14.23,
50,D42F,D4,2,fungicide,0.018,0.406,451.1111111,0.024,0.101,84.16666667,22.4,8.56,13.84,
18,D42W,D4,2,water,0.014,0.159,227.1428571,0.016,0.04,50,21.28,10.76,10.52,
