site,plot,treatment,sort_date,sort_initials,mv.g,mv_weigh_date,mv_inf.g,mv_inf_weigh_date,process_notes
D1,1,fungicide,20181107,PR,0.8905,20181212,0.1515,20181212,
D1,2,fungicide,20181109,PR,5.3018,20181214,0.7997,20181214,
D1,3,fungicide,20181114,PR,4.7532,20181213,0.2569,20181214,
D1,4,fungicide,20181203,DN,2.1178,20181214,0.6903,20181214,
D1,5,fungicide,20181116,PR,4.9459,20181214,0.3458,20181214,
D1,6,fungicide,20181107,PR,1.6039,20181212,0.0191,20181214,
D1,7,fungicide,20181116,PR,3.9793,20181214,0.9894,20181205,
D1,8,fungicide,20181128,PR,0.9206,20181214,0.1947,20181214,
D1,9,fungicide,20181005,PR,4.1455,20181205,0.4557,20181116,
D1,10,fungicide,20181107,PR,2.8759,20181212,0.3859,20181212,
D1,1,water,20181114,PR,4.7468,20181213,1.1866,20181213,
D1,2,water,20181109,PR,1.7375,20181213,0.7275,20181214,
D1,3,water,20181127,DN,5.9007,20181214,1.3032,20181214,
D1,4,water,20181203,DN,2.4427,20181214,0.1799,20181214,
D1,5,water,20181102,PR,1.526,20181130,0.2036,20181205,
D1,6,water,20181118,DN,6.2271,20181214,1.478,20181212,
D1,7,water,20181102,PR,1.5615,20181130,0.6808,NA,
D1,8,water,20181023,PR,3.5739,20181205,1.3468,20181114,
D1,9,water,20181207,PR,4.7863,20181214,0.8028,20181214,
D1,10,water,20181102,PR,4.4505,20181116,0.7293,20181205,
D2,1,fungicide,20181205,PR,2.4507,20181214,0.6977,20181214,
D2,2,fungicide,20181018,PR,0.4462,NA,0.019,21081109,
D2,3,fungicide,20181128,PR,1.4923,20181213,0.3524,20181214,
D2,4,fungicide,20181009,PR,5.2718,20181109,0.5495,2181116,
D2,5,fungicide,20181102,PR,0.9769,20181116,0.3178,20181205,
D2,6,fungicide,20181011,PR,0.8341,20181114,0.2477,20181114,
D2,7,fungicide,21081102,PR,0.1265,20181215,0.0084,20181205,
D2,8,fungicide,20181009,DN,1.343,20181205,0.1812,21081130,
D2,9,fungicide,20181010,PR,2.1233,20181114,0.8504,20181205,
D2,10,fungicide,20181102,PR,0.5548,20181205,0.0021,20181205,
D2,1,water,20181026,PR,0.3377,20181116,0.0078,20181116,
D2,2,water,20181012,PR,3.3515,20181109,1.4789,20181130,
D2,3,water,20181104,DN,1.3185,20181214,0.0932,20181212,
D2,4,water,20181018,PR,2.2968,20181205,0.5539,20181130,
D2,5,water,20181205,PR,1.7355,20181214,0.8478,20181214,
D2,6,water,20181017,PR,0.7292,20181116,0.305,20181116,
D2,7,water,20181204,DN,1.6877,20181214,0.6342,20181214,
D2,8,water,20181005,PR,0.9215,20181205,0.3346,20181130,
D2,9,water,20181019,PR,0.9638,20181205,0.297,20181205,
D2,10,water,20181125,PR,4.435,20181212,1.6835,20181214,
D3,1,fungicide,20181031,PR,1.0271,20181130,0.3581,20181116,
D3,2,fungicide,20181024,PR,2.909,20181130,1.0612,21081114,
D3,3,fungicide,20181018,PR,3.7668,20181205,0.5094,20181205,
D3,4,fungicide,20181015,PR,3.3128,20181114,0.793,20181205,
D3,5,fungicide,20181026,PR,1.0536,20181205,0.291,20181205,
D3,6,fungicide,20181025,PR,3.4823,NA,0.5808,20181130,
D3,7,fungicide,20181024,PR,8.3228,20181114,1.8275,20181205,
D3,8,fungicide,20181207,DN,7.302,20181207,0.9914,20181212,
D3,9,fungicide,20181031,PR,1.5362,20181130,0.5031,20181109,
D3,10,fungicide,20181019,PR,5.7886,20181205,1.0918,NA,
D3,1,water,20181018,PR,1.5334,20181205,0.8865,20181205,
D3,2,water,20181025,PR,2.5113,20181116,1.2339,20181130,
D3,3,water,20181031,PR,4.641,20181130,1.4167,20181109,
D3,4,water,20181016,PR,3.9122,20181205,0.5948,20181109,
D3,5,water,21081204,DN,4.0126,20181214,1.6192,20181214,
D3,6,water,20181023,PR,0.937,20181109,0.4682,20181109,
D3,7,water,20181031,PR,4.8922,20181116,1.4285,20181114,
D3,8,water,20181017,PR,1.6958,20181205,0.5883,20181116,
D3,9,water,20181019,PR,2.4858,20181130,0.9816,20181205,
D3,10,water,20181025,PR,1.8116,20181116,0.5775,20181130,
D4,1,fungicide,20181015,PR,1.0763,20181116,0.0279,20181205,
D4,2,fungicide,20180918,DN,4.2467,20181114,0.2308,20181116,
D4,3,fungicide,20181016,PR,2.5782,20181116,0.65,20181116,
D4,4,fungicide,20181015,PR,1.129,20181114,0.1438,21081205,
D4,5,fungicide,20181104,DN,3.596,20181212,0.4635,20181214,
D4,6,fungicide,20181010,PR,1.7594,20181205,0.3066,20181114,
D4,7,fungicide,20181011,PR,3.9764,20181205,0.3969,20181130,
D4,8,fungicide,NA,NA,NA,NA,NA,NA,tree fell on plot
D4,9,fungicide,20181011,PR,1.662,20181109,0.3182,20181116,
D4,10,fungicide,NA,NA,NA,NA,NA,NA,tree fell on plot
D4,1,water,20181015,PR,3.5069,20181109,1.0425,20181205,
D4,2,water,20181102,PR,3.0456,20181116,1.247,20181130,
D4,3,water,20181011,PR,0.6628,20181205,0.2816,20181205,
D4,4,water,20181009,PR,1.6243,20181205,0.2727,20181130,
D4,5,water,20181016,PR,2.1414,20181116,0.5109,20181116,
D4,6,water,20181031,PR,1.3682,NA,0.6406,20181114,
D4,7,water,20181102,PR,13.349,20181205,2.9295,21081130,
D4,8,water,20181019,DN,3.9769,20181109,0.0877,20181116,
D4,9,water,20181005,PR,2.655,20181114,0.5424,20181109,
D4,10,water,20181017,PR,2.1884,20181205,1.033,20181130,
