site,plot,treatment,sp,ID,weight,seeds_collected,seeds_green,processing_notes
D2,9,fungicide,Ev,3,0.76,0,0,
D2,9,fungicide,Ev,A,5.5,1,0,
D2,10,fungicide,Ev,1,0.87,1,0,
D2,10,fungicide,Ev,2,1.26,0,0,
D2,10,fungicide,Ev,3,1.16,0,0,
D2,10,fungicide,Ev,A,7.54,0,0,
D2,1,water,Ev,1,0.07,0,0,
D2,1,water,Ev,2,0.31,0,0,
D2,1,water,Ev,3,0.1,0,0,
D2,1,water,Ev,A,2.94,0,0,
D2,2,water,Ev,1,2.11,0,0,
D2,2,water,Ev,2,2.63,1,0.5,
D2,2,water,Ev,3,1.16,1,0,
D2,2,water,Ev,A,3.29,0,0,
D2,3,water,Ev,1,0.76,0,0,
D2,3,water,Ev,2,0.98,1,1,
D2,3,water,Ev,3,1.18,1,0.5,
D2,3,water,Ev,A,4.52,1,0,
D2,4,water,Ev,1,0.52,0,0,
D2,4,water,Ev,2,0.49,0,0,
D2,4,water,Ev,3,1.33,0,0,
D2,4,water,Ev,A,2.98,0,0,
D2,5,water,Ev,1,1.05,0,0,
D2,5,water,Ev,2,2.36,1,0.5,
D2,5,water,Ev,3,4.59,1,0.5,
D2,5,water,Ev,A,3.52,0,0,
D2,6,water,Ev,1,1.77,1,0.5,
D2,6,water,Ev,2,1.55,0,0,
D2,6,water,Ev,3,1.58,1,0.5,
D2,6,water,Ev,A,0.71,0,0,
D2,7,water,Ev,1,1.2,1,0,
D2,7,water,Ev,2,2.41,1,0,
D2,7,water,Ev,3,2.6,0,0,
D2,7,water,Ev,A,3.64,1,0,
D2,8,water,Ev,1,1,1,0,"W/ KEITH, data from Quynh"
D2,8,water,Ev,2,1.7,1,0,"W/ KEITH, data from Quynh"
D2,8,water,Ev,3,1.3,0,0,"W/ KEITH, data from Quynh"
D2,8,water,Ev,A,4.19,1,0,
D2,9,water,Ev,1,0.51,0,0,
D2,9,water,Ev,2,0.81,0,0,
D2,9,water,Ev,3,1.04,0,0,
D2,9,water,Ev,A,1.17,0,0,
D2,10,water,Ev,1,1.18,1,0.5,
D2,10,water,Ev,2,1.52,0,0,
D2,10,water,Ev,3,2.81,1,0,
D2,10,water,Ev,A,10.61,1,0,
D3,1,fungicide,Ev,1,3.07,0,0,
D3,1,fungicide,Ev,2,2.18,1,0,
D3,1,fungicide,Ev,3,4.9,1,0.5,
D3,1,fungicide,Ev,A,11.52,0,0,
D3,2,fungicide,Ev,1,3.05,0,0,
D3,2,fungicide,Ev,2,4.51,1,0.5,
D3,2,fungicide,Ev,3,5.87,1,0.5,
D3,2,fungicide,Ev,A,22.06,0,0,
D3,3,fungicide,Ev,1,1.28,1,0,
D3,3,fungicide,Ev,2,0.62,0,0,
D3,3,fungicide,Ev,3,4.16,1,0.5,
D3,3,fungicide,Ev,A,4.56,0,0,
D3,4,fungicide,Ev,1,1.93,1,0.5,
D3,4,fungicide,Ev,2,1.8,1,0.5,
D3,4,fungicide,Ev,3,2.69,1,0.5,
D3,4,fungicide,Ev,A,1.26,0,0,
D3,5,fungicide,Ev,1,2.13,0,0,
D3,5,fungicide,Ev,2,3.67,1,0,
D3,5,fungicide,Ev,3,3.19,0,0,
D3,5,fungicide,Ev,A,10.22,0,0,
D3,6,fungicide,Ev,1,1.6,0,0,
D3,6,fungicide,Ev,2,1.44,0,0,
D3,6,fungicide,Ev,3,2.29,0,0,
D3,6,fungicide,Ev,A,6.46,0,0,
D3,7,fungicide,Ev,1,4.4,1,0.5,
D3,7,fungicide,Ev,2,1.57,0,0,
D3,7,fungicide,Ev,3,3.44,1,0.5,
D3,7,fungicide,Ev,A,7.56,1,0,
D3,8,fungicide,Ev,1,3.67,0,0,
D3,8,fungicide,Ev,2,4.57,1,0,
D3,8,fungicide,Ev,3,5.5,1,0.5,
D3,8,fungicide,Ev,A,6.52,0,0,
D3,9,fungicide,Ev,1,2.46,1,0,
D3,9,fungicide,Ev,2,1.98,0,0,
D3,9,fungicide,Ev,3,1.8,0,0,
D3,9,fungicide,Ev,A,9.35,0,0,
D3,10,fungicide,Ev,1,1.31,0,0,
D3,10,fungicide,Ev,2,1.16,0,0,
D3,10,fungicide,Ev,3,0.62,0,0,
D3,10,fungicide,Ev,A,12.85,0,0,
D3,1,water,Ev,1,2.09,0,0,
D3,1,water,Ev,2,0.68,0,0,
D3,1,water,Ev,3,0.9,1,0,
D3,1,water,Ev,A,5.08,0,0,
D3,2,water,Ev,1,2.25,0,0,
D3,2,water,Ev,2,4.27,1,1,
D3,2,water,Ev,3,4,1,0.5,
D3,2,water,Ev,A,13.12,1,0.5,
D3,3,water,Ev,1,2.59,0,0,
D3,3,water,Ev,2,3.33,1,0.5,
D3,3,water,Ev,3,3.78,1,0.5,
D3,3,water,Ev,A,13.44,1,0.5,
D3,4,water,Ev,1,2.16,0,0,
D3,4,water,Ev,2,1.56,0,0,
D3,4,water,Ev,3,0.87,0,0,
D3,4,water,Ev,A,6.85,1,0,
D3,5,water,Ev,1,3.2,1,0,
D3,5,water,Ev,2,1.35,0,0,
D3,5,water,Ev,3,2.01,1,0.5,
D3,5,water,Ev,A,20.5,0,0,
D3,6,water,Ev,1,1.44,1,0,
D3,6,water,Ev,2,2.85,1,0.5,
D3,6,water,Ev,3,2.32,1,0.5,
D3,6,water,Ev,A,8.6,0,0,
D3,7,water,Ev,1,2.24,0,0,
D3,7,water,Ev,2,1.01,0,0,
D3,7,water,Ev,3,1.31,0,0,
D3,7,water,Ev,A,6.66,0,0,
D3,8,water,Ev,1,3.58,1,0.5,
D3,8,water,Ev,2,2.33,0,0,
D3,8,water,Ev,3,5.55,1,0.5,
D3,8,water,Ev,A,11.95,1,0,
D3,9,water,Ev,1,0.88,0,0,
D3,9,water,Ev,2,3.11,0,0,
D3,9,water,Ev,3,1.01,0,0,
D3,9,water,Ev,A,1.36,0,0,
D3,10,water,Ev,1,1.82,0,0,
D3,10,water,Ev,2,0.85,0,0,
D3,10,water,Ev,3,1.79,0,0,
D3,10,water,Ev,A,4.36,1,0,
D4,1,fungicide,Ev,1,1.65,0,0,
D4,1,fungicide,Ev,2,1.17,0,0,
D4,1,fungicide,Ev,3,0.85,0,0,
