date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,path_ID,microbiome,seeds_collected,field_notes
20190830,D2,8,fungicide,Mv,2,7,4,1,1,NA,10,NA,
20190830,D2,8,fungicide,Mv,3,5,1,1,1,NA,10,NA,
20190829,D2,9,fungicide,Mv,1,5,1,1,1,NA,10,NA,
20190829,D2,9,fungicide,Mv,2,7,1,1,1,NA,10,NA,
20190829,D2,9,fungicide,Mv,3,6,1,1,1,NA,10,NA,
20190830,D2,10,fungicide,Mv,1,4,0,1,1,NA,10,NA,no 2 lesion leaf
20190830,D2,10,fungicide,Mv,2,5,0,1,1,NA,10,NA,no 2 lesion leaf
20190830,D2,10,fungicide,Mv,3,5,0,0,1,NA,10,NA,
20190829,D2,1,water,Mv,1,6,2,1,1,NA,10,NA,
20190829,D2,1,water,Mv,2,7,1,1,1,NA,10,NA,
20190829,D2,1,water,Mv,3,6,0,1,1,NA,10,NA,no 2 lesion leaf
20190830,D2,2,water,Mv,1,5,2,1,1,NA,10,NA,
20190830,D2,2,water,Mv,2,7,4,1,1,NA,10,NA,
20190830,D2,2,water,Mv,3,6,3,1,1,NA,10,NA,
20190830,D2,3,water,Mv,1,7,1,1,1,NA,10,NA,
20190830,D2,3,water,Mv,2,9,1,1,1,NA,10,NA,
20190830,D2,3,water,Mv,3,5,1,1,1,NA,10,NA,
20190829,D2,4,water,Mv,1,7,2,1,1,NA,10,NA,
20190829,D2,4,water,Mv,2,6,2,1,1,NA,10,NA,
20190829,D2,4,water,Mv,3,6,1,1,1,NA,10,NA,
20190830,D2,5,water,Mv,1,2,1,1,1,NA,10,NA,
20190830,D2,5,water,Mv,2,6,1,1,1,NA,10,NA,
20190830,D2,5,water,Mv,3,5,1,1,1,NA,10,NA,
20190830,D2,6,water,Mv,1,5,2,1,1,NA,10,NA,
20190830,D2,6,water,Mv,2,6,3,1,1,NA,10,NA,
20190830,D2,6,water,Mv,3,7,1,1,1,NA,10,NA,
20190830,D2,7,water,Mv,1,6,2,1,1,NA,10,NA,
20190830,D2,7,water,Mv,2,5,2,1,1,NA,10,NA,
20190830,D2,7,water,Mv,3,5,1,1,1,NA,10,NA,
20190830,D2,8,water,Mv,1,2,1,1,1,NA,10,NA,
20190830,D2,8,water,Mv,2,7,5,1,1,NA,10,NA,
20190830,D2,8,water,Mv,3,7,6,1,1,NA,10,NA,
20190829,D2,9,water,Mv,1,6,2,1,1,NA,10,NA,
20190829,D2,9,water,Mv,2,7,1,1,1,NA,10,NA,
20190829,D2,9,water,Mv,3,7,3,1,1,NA,10,NA,
20190829,D2,10,water,Mv,1,6,3,1,1,NA,10,NA,
20190829,D2,10,water,Mv,2,6,2,1,1,NA,10,NA,
20190829,D2,10,water,Mv,3,6,2,1,1,NA,10,NA,
20190829,D3,1,fungicide,Mv,1,5,1,1,1,NA,10,NA,
20190829,D3,1,fungicide,Mv,2,5,1,1,1,NA,10,NA,
20190829,D3,1,fungicide,Mv,3,5,1,1,1,NA,10,NA,
20190829,D3,2,fungicide,Mv,1,6,1,1,1,NA,10,NA,
20190829,D3,2,fungicide,Mv,2,4,1,1,1,NA,10,NA,
20190829,D3,2,fungicide,Mv,3,4,1,1,1,NA,10,NA,
20190829,D3,3,fungicide,Mv,1,6,1,1,1,NA,10,NA,
20190829,D3,3,fungicide,Mv,2,2,1,1,1,NA,10,NA,
20190829,D3,3,fungicide,Mv,3,6,1,1,1,NA,10,NA,
20190829,D3,4,fungicide,Mv,1,7,2,1,1,NA,10,NA,
20190829,D3,4,fungicide,Mv,2,6,1,1,1,NA,10,NA,
20190829,D3,4,fungicide,Mv,3,6,1,1,1,NA,10,NA,
20190829,D3,5,fungicide,Mv,1,4,1,1,1,NA,10,NA,
20190829,D3,5,fungicide,Mv,2,6,1,1,1,NA,10,NA,
20190829,D3,5,fungicide,Mv,3,5,1,1,1,NA,10,NA,
20190829,D3,6,fungicide,Mv,1,5,1,1,1,NA,10,NA,
20190829,D3,6,fungicide,Mv,2,6,1,1,1,NA,10,NA,
20190829,D3,6,fungicide,Mv,3,4,1,1,1,NA,10,NA,
20190829,D3,7,fungicide,Mv,1,4,2,1,1,NA,10,NA,
20190829,D3,7,fungicide,Mv,2,5,1,1,1,NA,10,NA,
20190829,D3,7,fungicide,Mv,3,3,1,1,1,NA,10,NA,
20190829,D3,8,fungicide,Mv,1,5,2,1,1,NA,10,NA,
20190829,D3,8,fungicide,Mv,2,5,2,1,1,NA,10,NA,
20190829,D3,8,fungicide,Mv,3,4,1,1,1,NA,10,NA,
20190829,D3,9,fungicide,Mv,1,4,1,1,1,NA,10,NA,
20190829,D3,9,fungicide,Mv,2,5,2,1,1,NA,10,NA,
20190829,D3,9,fungicide,Mv,3,6,2,1,1,NA,10,NA,
20190829,D3,10,fungicide,Mv,1,4,1,1,1,NA,10,NA,
20190829,D3,10,fungicide,Mv,2,5,2,1,1,NA,10,NA,
20190829,D3,10,fungicide,Mv,3,5,1,1,1,NA,10,NA,
20190829,D3,1,water,Mv,1,5,3,1,1,NA,10,NA,
20190829,D3,1,water,Mv,2,6,2,1,1,NA,10,NA,
20190829,D3,1,water,Mv,3,5,3,1,1,NA,10,NA,
20190829,D3,2,water,Mv,1,5,1,1,1,NA,10,NA,
20190829,D3,2,water,Mv,2,6,2,1,1,NA,10,NA,
20190829,D3,2,water,Mv,3,5,2,1,1,NA,10,NA,
20190829,D3,3,water,Mv,1,3,1,1,1,NA,10,NA,
20190829,D3,3,water,Mv,2,3,1,1,1,NA,10,NA,
20190829,D3,3,water,Mv,3,4,1,1,1,NA,10,NA,
20190829,D3,4,water,Mv,1,5,2,1,1,NA,10,NA,
20190829,D3,4,water,Mv,2,6,3,1,1,NA,10,NA,
20190829,D3,4,water,Mv,3,5,1,1,1,NA,10,NA,
20190829,D3,5,water,Mv,1,7,3,1,1,NA,10,NA,
20190829,D3,5,water,Mv,2,5,2,1,1,NA,10,NA,
20190829,D3,5,water,Mv,3,5,3,1,1,NA,10,NA,
20190829,D3,6,water,Mv,1,6,2,1,1,NA,10,NA,
20190829,D3,6,water,Mv,2,5,1,1,1,NA,10,NA,
20190829,D3,6,water,Mv,3,7,4,1,1,NA,10,NA,
20190829,D3,7,water,Mv,1,7,1,1,1,NA,10,NA,
20190829,D3,7,water,Mv,2,4,1,1,1,NA,10,NA,
20190829,D3,7,water,Mv,3,5,1,1,1,NA,10,NA,
20190829,D3,8,water,Mv,1,6,1,1,1,NA,10,NA,
20190829,D3,8,water,Mv,2,5,1,1,1,NA,10,NA,
20190829,D3,8,water,Mv,3,5,1,1,1,NA,10,NA,
20190829,D3,9,water,Mv,1,6,1,1,1,NA,10,NA,
20190829,D3,9,water,Mv,2,4,1,1,1,NA,10,NA,
20190829,D3,9,water,Mv,3,4,1,1,1,NA,10,NA,
20190829,D3,10,water,Mv,1,6,1,1,1,NA,10,NA,
20190829,D3,10,water,Mv,2,2,1,1,1,NA,10,NA,
20190829,D3,10,water,Mv,3,6,1,1,1,NA,10,NA,
20190828,D4,1,fungicide,Mv,1,5,1,1,1,NA,10,NA,
20190828,D4,1,fungicide,Mv,2,4,1,1,1,NA,10,NA,
20190828,D4,1,fungicide,Mv,3,7,2,1,1,NA,10,NA,
20190828,D4,2,fungicide,Mv,1,3,1,1,1,NA,10,NA,
20190828,D4,2,fungicide,Mv,2,7,1,1,1,NA,10,NA,
20190828,D4,2,fungicide,Mv,3,7,1,1,1,NA,10,NA,
20190828,D4,3,fungicide,Mv,1,6,1,1,1,NA,10,NA,
20190828,D4,3,fungicide,Mv,2,7,4,1,1,NA,10,NA,
20190828,D4,3,fungicide,Mv,3,6,3,1,1,NA,10,NA,
20190828,D4,4,fungicide,Mv,1,4,0,1,1,NA,10,NA,no 2 lesion leaf
20190828,D4,4,fungicide,Mv,2,7,1,1,1,NA,10,NA,
20190828,D4,4,fungicide,Mv,3,4,1,1,1,NA,10,NA,
20190828,D4,5,fungicide,Mv,1,7,5,1,1,NA,10,NA,
20190828,D4,5,fungicide,Mv,2,4,2,1,1,NA,10,NA,
20190828,D4,5,fungicide,Mv,3,7,4,1,1,NA,10,NA,
20190828,D4,6,fungicide,Mv,1,4,2,1,1,NA,10,NA,
20190828,D4,6,fungicide,Mv,2,6,2,1,1,NA,10,NA,
20190828,D4,6,fungicide,Mv,3,8,3,1,1,NA,10,NA,
20190828,D4,7,fungicide,Mv,1,10,5,1,1,NA,10,NA,
