site,plot,treatment,sp,ID,seeds,age,background,density_level,density,fungicide,seeds1,log_seeds,focal,foc,bg,plotf
D3,3,fungicide,Ev,2,12.302788150882105,seedling,Mv,medium,19,1,13.302788150882105,2.5879736486619467,Ev seedling,s,m,D33f
D3,3,fungicide,Ev,3,56.63650403187147,seedling,Mv,medium,19,1,57.63650403187147,4.054156117520094,Ev seedling,s,m,D33f
D3,3,fungicide,Ev,A,27.299086133614136,adult,Mv,medium,19,1,28.299086133614136,3.3428295120293505,Ev adult,a,m,D33f
D3,3,water,Ev,1,2.11112932766616,seedling,Mv,medium,19,0,3.11112932766616,1.134985788143108,Ev seedling,s,m,D33w
D3,3,water,Ev,2,27.954264200820877,seedling,Mv,medium,19,0,28.954264200820877,3.36571748853725,Ev seedling,s,m,D33w
D3,3,water,Ev,3,41.42181336007051,seedling,Mv,medium,19,0,42.42181336007051,3.747662695985029,Ev seedling,s,m,D33w
D3,3,water,Ev,A,220.3657912540647,adult,Mv,medium,19,0,221.3657912540647,5.39981649728889,Ev adult,a,m,D33w
D3,4,fungicide,Ev,1,21.839268906891313,seedling,Mv,high,67,1,22.839268906891313,3.128481374944997,Ev seedling,s,m,D34f
D3,4,fungicide,Ev,2,27.080693444545226,seedling,Mv,high,67,1,28.080693444545226,3.3350822741712483,Ev seedling,s,m,D34f
D3,4,fungicide,Ev,3,58.3108479813998,seedling,Mv,high,67,1,59.3108479813998,4.082792223192363,Ev seedling,s,m,D34f
D3,4,fungicide,Ev,A,36.47157907450849,adult,Mv,high,67,1,37.47157907450849,3.623582754285085,Ev adult,a,m,D34f
D3,4,water,Ev,1,30.42938134360189,seedling,Mv,high,67,0,31.42938134360189,3.4477431669887033,Ev seedling,s,m,D34w
D3,4,water,Ev,2,16.525046806214426,seedling,Mv,high,67,0,17.525046806214426,2.863631103742447,Ev seedling,s,m,D34w
D3,4,water,Ev,A,70.17685075414408,adult,Mv,high,67,0,71.17685075414408,4.265167635694231,Ev adult,a,m,D34w
D3,5,fungicide,Ev,1,24.53277873874124,seedling,Ev seedling,low,7,1,25.53277873874124,3.2399630674277105,Ev seedling,s,s,D35f
D3,5,fungicide,Ev,2,44.26091831796639,seedling,Ev seedling,low,7,1,45.26091831796639,3.812443929835313,Ev seedling,s,s,D35f
D3,5,fungicide,Ev,3,21.548078654799426,seedling,Ev seedling,low,7,1,22.548078654799426,3.115649858540343,Ev seedling,s,s,D35f
D3,5,fungicide,Ev,A,298.97959133534204,adult,Ev seedling,low,7,1,299.97959133534204,5.703714443459939,Ev adult,a,s,D35f
D3,5,water,Ev,1,3.130295209987754,seedling,Ev seedling,low,7,0,4.130295209987754,1.4183488838343306,Ev seedling,s,s,D35w
D3,5,water,Ev,2,33.70527167963559,seedling,Ev seedling,low,7,0,34.70527167963559,3.5468915970172263,Ev seedling,s,s,D35w
D3,5,water,Ev,3,66.57481252065239,seedling,Ev seedling,low,7,0,67.57481252065239,4.2132353177695006,Ev seedling,s,s,D35w
D3,5,water,Ev,A,411.0878383907175,adult,Ev seedling,low,7,0,412.0878383907175,6.0212365266031105,Ev adult,a,s,D35w
D3,6,fungicide,Ev,2,17.76260537760493,seedling,Ev seedling,medium,11,1,18.76260537760493,2.931865813338475,Ev seedling,s,s,D36f
D3,6,fungicide,Ev,A,77.138355040505445,adult,Ev seedling,medium,11,1,78.138355040505445,4.358481037965686,Ev adult,a,s,D36f
D3,6,water,Ev,1,13.685941848318555,seedling,Ev seedling,medium,11,0,14.685941848318555,2.68689069935377,Ev seedling,s,s,D36w
D3,6,water,Ev,2,53.36061369583776,seedling,Ev seedling,medium,11,0,54.36061369583776,3.99563987869379,Ev seedling,s,s,D36w
D3,6,water,Ev,3,50.37591361189596,seedling,Ev seedling,medium,11,0,51.37591361189596,3.9391694558582007,Ev seedling,s,s,D36w
D3,6,water,Ev,A,137.5145965503923,adult,Ev seedling,medium,11,0,138.5145965503923,4.93097571032977,Ev adult,a,s,D36w
D3,7,fungicide,Ev,1,74.83589478761422,seedling,Ev seedling,high,19,1,75.83589478761422,4.32857172657154,Ev seedling,s,s,D37f
D3,7,fungicide,Ev,2,35.598008318232836,seedling,Ev seedling,high,19,1,36.598008318232836,3.599993821392011,Ev seedling,s,s,D37f
