site,treatment,plot,biomass_bg,biomass_foc_mv,biomass_foc_evS,biomass_foc_evA,biomass.g_m2,biomass_mv,biomass_evS,biomass_evA
D3,water,10,70.7,44.129999999999995,4.46,4.36,75.06,44.129999999999995,4.46,75.06
D4,fungicide,2,86.3,41.010000000000005,6.95,2.83,127.31,127.31,6.95,2.83
D4,water,2,72.2,30.04,2.8000000000000003,2.74,102.24000000000001,102.24000000000001,2.8000000000000003,2.74
D4,fungicide,3,335.3,54.23,5.59,20.82,389.53000000000003,389.53000000000003,5.59,20.82
D4,water,3,185.6,52.480000000000004,1.26,0.99,238.07999999999998,238.07999999999998,1.26,0.99
D4,fungicide,4,293.6,32.08,2.49,2.79,325.68,325.68,2.49,2.79
D4,water,4,398.79999999999995,24.64,2.8200000000000003,0.76,423.43999999999994,423.43999999999994,2.8200000000000003,0.76
D4,fungicide,5,8.8,43.53,9.690000000000001,3.58,18.490000000000002,43.53,18.490000000000002,3.58
D4,water,5,4.9,25.320000000000004,5.720000000000001,3.69,10.620000000000001,25.320000000000004,10.620000000000001,3.69
D4,fungicide,6,17.2,49.95,7.1,9.81,24.299999999999997,49.95,24.299999999999997,9.81
D4,water,6,6.7,47.43000000000001,3.45,5.85,10.15,47.43000000000001,10.15,5.85
D4,fungicide,7,62.5,85.36,12.47,6.19,74.97,85.36,74.97,6.19
D4,water,7,51.699999999999996,85.95,9.780000000000001,10.49,61.48,85.95,61.48,10.49
D4,fungicide,8,10.6,64.99,7.31,6.03,16.63,64.99,7.31,16.63
D4,water,8,12.1,30.224999999999998,2.4000000000000004,13.65,25.75,30.224999999999998,2.4000000000000004,25.75
D4,fungicide,9,61.5,48.669999999999995,4.51,6.27,67.77,48.669999999999995,4.51,67.77
D4,water,9,18,27.169999999999998,3.04,2.91,20.91,27.169999999999998,3.04,20.91
D4,fungicide,10,50.8,43,6.79,4.05,54.849999999999994,43,6.79,54.849999999999994
D4,water,10,29.3,27.29,2.1500000000000004,0.92,30.220000000000002,27.29,2.1500000000000004,30.220000000000002
