site,plot,treatment,sp,ID,days,height.cm_jun,height.cm_jul,tillers_jun,tillers_jul,basal_circ.cm_jun,basal_circ.cm_jul,height_growth,tiller_growth,basal_growth,background,density,plant_growth,age,focal,foc,bg,fungicide,plotf
D1,5,fungicide,Ev,A,29,64.2,59.5,11,11,9.1,8.9,-0.07320872274143306,0,-0.0219780219780219,Ev seedling,7,0,adult,Ev adult,a,s,1,D15f
D1,6,fungicide,Mv,1,29,45.1,65.7,10,19,0,0,0.4567627494456763,0.9,0,Ev seedling,11,0.6418538861723947,seedling,Mv,m,s,1,D16f
D1,6,fungicide,Mv,2,29,32.3,81.3,14,33,0,0,1.51702786377709,1.3571428571428572,0,Ev seedling,11,0.8574502318512216,seedling,Mv,m,s,1,D16f
D1,6,fungicide,Mv,3,29,39.6,35.4,15,34,0,0,-0.10606060606060612,1.2666666666666666,0,Ev seedling,11,0.8183103235139513,seedling,Mv,m,s,1,D16f
D1,6,fungicide,Ev,3,29,21,32.6,9,10,5.5,4.4,0.5523809523809524,0.1111111111111111,-0.19999999999999993,Ev seedling,11,0.10536051565782635,seedling,Ev seedling,s,s,1,D16f
D1,6,fungicide,Ev,A,29,83.5,83.3,15,19,9.5,10,-0.00239520958083835,0.26666666666666666,0.05263157894736842,Ev seedling,11,0.23638877806423034,adult,Ev adult,a,s,1,D16f
D1,7,fungicide,Mv,1,29,50.4,82,7,30,0,0,0.626984126984127,3.2857142857142856,0,Ev seedling,19,1.455287232606842,seedling,Mv,m,s,1,D17f
D1,7,fungicide,Mv,2,29,46.6,64.7,7,23,0,0,0.388412017167382,2.2857142857142856,0,Ev seedling,19,1.1895840668738364,seedling,Mv,m,s,1,D17f
D1,7,fungicide,Mv,3,29,43.4,64.2,4,21,0,0,0.47926267281106,4.25,0,Ev seedling,19,1.6582280766035324,seedling,Mv,m,s,1,D17f
D1,7,fungicide,Ev,1,29,47.8,76.7,8,5,5.2,3.9,0.6046025104602512,-0.375,-0.25000000000000006,Ev seedling,19,-0.4700036292457356,seedling,Ev seedling,s,s,1,D17f
D1,7,fungicide,Ev,2,29,34.3,44.5,17,12,9.3,8.4,0.29737609329446074,-0.29411764705882354,-0.09677419354838712,Ev seedling,19,-0.3483066942682157,seedling,Ev seedling,s,s,1,D17f
D1,7,fungicide,Ev,3,29,46.1,60.5,10,9,5.8,5.6,0.31236442516268975,-0.1,-0.03448275862068969,Ev seedling,19,-0.10536051565782628,seedling,Ev seedling,s,s,1,D17f
D1,7,fungicide,Ev,A,29,73.7,73.1,12,16,9.2,9.2,-0.00814111261872467,0.3333333333333333,0,Ev seedling,19,0.28768207245178085,adult,Ev adult,a,s,1,D17f
D1,8,fungicide,Mv,1,29,41.7,83.3,31,78,0,0,0.9976019184652276,1.5161290322580645,0,Ev adult,3,0.9227216222044455,seedling,Mv,m,a,1,D18f
D1,8,fungicide,Mv,2,29,45.1,82.1,20,57,0,0,0.8203991130820397,1.85,0,Ev adult,3,1.0473189942805592,seedling,Mv,m,a,1,D18f
D1,8,fungicide,Mv,3,29,44.7,70.9,15,59,0,0,0.5861297539149889,2.933333333333333,0,Ev adult,3,1.3694872428035094,seedling,Mv,m,a,1,D18f
D1,8,fungicide,Ev,1,29,31.5,32,5,3,4.2,2.7,0.01587301587301587,-0.4,-0.35714285714285715,Ev adult,3,-0.5108256237659907,seedling,Ev seedling,s,a,1,D18f
D1,8,fungicide,Ev,2,29,38.5,37.4,8,13,6.6,7.6,-0.02857142857142861,0.625,0.15151515151515152,Ev adult,3,0.4855078157817008,seedling,Ev seedling,s,a,1,D18f
D1,8,fungicide,Ev,3,29,32.4,23.6,5,4,5,4.3,-0.27160493827160487,-0.2,-0.14000000000000004,Ev adult,3,-0.2231435513142097,seedling,Ev seedling,s,a,1,D18f
D1,8,fungicide,Ev,A,29,43.3,67.6,16,25,10.5,11.9,0.5612009237875288,0.5625,0.13333333333333336,Ev adult,3,0.44628710262841953,adult,Ev adult,a,a,1,D18f
D1,9,fungicide,Mv,1,29,48.1,84.5,17,28,0,0,0.7567567567567567,0.6470588235294118,0,Ev adult,5,0.4989911661189878,seedling,Mv,m,a,1,D19f
D1,9,fungicide,Mv,2,29,40.1,83.6,11,31,0,0,1.0847880299251869,1.818181818181818,0,Ev adult,5,1.0360919316867758,seedling,Mv,m,a,1,D19f
D1,9,fungicide,Mv,3,29,45.2,80.1,16,48,0,0,0.7721238938053095,2,0,Ev adult,5,1.0986122886681098,seedling,Mv,m,a,1,D19f
D1,9,fungicide,Ev,1,29,45.5,45.2,6,6,4.1,4.1,-0.00659340659340653,0,0,Ev adult,5,0,seedling,Ev seedling,s,a,1,D19f
D1,9,fungicide,Ev,A,29,45.8,17.2,32,24,4,12.4,-0.6244541484716157,-0.25,2.1,Ev adult,5,-0.2876820724517809,adult,Ev adult,a,a,1,D19f
D1,10,fungicide,Mv,1,29,43.6,83.9,21,100,0,0,0.9243119266055048,3.761904761904762,0,Ev adult,9,1.5606477482646683,seedling,Mv,m,a,1,D110f
D1,10,fungicide,Mv,2,29,52.6,89.9,28,72,0,0,0.7091254752851711,1.5714285714285714,0,Ev adult,9,0.9444616088408515,seedling,Mv,m,a,1,D110f
D1,10,fungicide,Mv,3,29,49.7,84.6,25,87,0,0,0.7022132796780682,2.48,0,Ev adult,9,1.247032293786383,seedling,Mv,m,a,1,D110f
D1,10,fungicide,Ev,1,29,26.9,33.7,12,8,5.4,5.3,0.2527881040892195,-0.3333333333333333,-0.01851851851851861,Ev adult,9,-0.40546510810816444,seedling,Ev seedling,s,a,1,D110f
D1,10,fungicide,Ev,2,29,34.4,63,6,4,4.7,3.5,0.8313953488372093,-0.3333333333333333,-0.25531914893617025,Ev adult,9,-0.40546510810816444,seedling,Ev seedling,s,a,1,D110f
D1,10,fungicide,Ev,3,29,32,25.6,6,5,3.8,2.6,-0.19999999999999996,-0.16666666666666666,-0.31578947368421045,Ev adult,9,-0.1823215567939546,seedling,Ev seedling,s,a,1,D110f
D1,10,fungicide,Ev,A,29,64.1,64.2,15,27,12.5,12.8,0.00156006240249623,0.8,0.02400000000000005,Ev adult,9,0.5877866649021191,adult,Ev adult,a,a,1,D110f
D1,2,water,Mv,1,29,53.5,92.1,25,67,0,0,0.7214953271028036,1.68,0,Mv,7,0.9858167945227654,seedling,Mv,m,m,0,D12w
D1,2,water,Mv,2,29,46.2,82.9,18,55,0,0,0.7943722943722944,2.0555555555555554,0,Mv,7,1.1169614273363062,seedling,Mv,m,m,0,D12w
D1,2,water,Mv,3,29,52.2,86.8,12,49,0,0,0.6628352490421454,3.0833333333333335,0,Mv,7,1.4069136483226263,seedling,Mv,m,m,0,D12w
D1,2,water,Ev,1,29,27,40,18,8,8.6,5.4,0.48148148148148145,-0.5555555555555556,-0.3720930232558139,Mv,7,-0.8109302162163288,seedling,Ev seedling,s,m,0,D12w
D1,2,water,Ev,2,29,20.7,36.9,9,6,5.5,3.6,0.782608695652174,-0.3333333333333333,-0.34545454545454546,Mv,7,-0.40546510810816444,seedling,Ev seedling,s,m,0,D12w
D1,2,water,Ev,3,29,20.8,40.6,13,3,6.5,3.3,0.9519230769230768,-0.7692307692307693,-0.49230769230769234,Mv,7,-1.466337068793427,seedling,Ev seedling,s,m,0,D12w
D1,2,water,Ev,A,29,63.5,70.1,24,27,14.7,13.4,0.10393700787401566,0.125,-0.0884353741496598,Mv,7,0.11778303565638346,adult,Ev adult,a,m,0,D12w
D1,3,water,Mv,1,29,37.7,66.5,12,13,0,0,0.7639257294429707,0.08333333333333333,0,Mv,19,0.08004270767353636,seedling,Mv,m,m,0,D13w
D1,3,water,Mv,2,29,14.1,37.2,3,6,0,0,1.6382978723404256,1,0,Mv,19,0.6931471805599453,seedling,Mv,m,m,0,D13w
D1,3,water,Mv,3,29,31.8,71.5,8,14,0,0,1.248427672955975,0.75,0,Mv,19,0.5596157879354227,seedling,Mv,m,m,0,D13w
D1,3,water,Ev,1,29,42.6,53,7,4,5.8,5.1,0.244131455399061,-0.42857142857142855,-0.12068965517241384,Mv,19,-0.5596157879354228,seedling,Ev seedling,s,m,0,D13w
D1,3,water,Ev,2,29,26.3,38.7,14,6,7.5,8.6,0.4714828897338404,-0.5714285714285714,0.1466666666666666,Mv,19,-0.8472978603872037,seedling,Ev seedling,s,m,0,D13w
D1,3,water,Ev,3,29,26.1,30.9,11,10,7,5.4,0.18390804597701135,-0.09090909090909093,-0.2285714285714285,Mv,19,-0.0953101798043249,seedling,Ev seedling,s,m,0,D13w
D1,3,water,Ev,A,29,68.1,58.1,26,22,9.5,9.5,-0.14684287812041108,-0.15384615384615383,0,Mv,19,-0.1670540846631662,adult,Ev adult,a,m,0,D13w
D1,4,water,Mv,1,29,67.9,96,8,17,0,0,0.41384388807069206,1.125,0,Mv,67,0.7537718023763802,seedling,Mv,m,m,0,D14w
D1,4,water,Mv,2,29,62,111.8,7,16,0,0,0.8032258064516129,1.2857142857142858,0,Mv,67,0.8266785731844679,seedling,Mv,m,m,0,D14w
D1,4,water,Mv,3,29,56.2,96.1,13,20,0,0,0.7099644128113877,0.5384615384615384,0,Mv,67,0.43078291609245434,seedling,Mv,m,m,0,D14w
D1,4,water,Ev,1,29,32.5,26.4,11,5,6.8,4.9,-0.18769230769230777,-0.5454545454545454,-0.2794117647058823,Mv,67,-0.7884573603642702,seedling,Ev seedling,s,m,0,D14w
D1,4,water,Ev,2,29,28,20,17,3,7,5.6,-0.2857142857142857,-0.8235294117647058,-0.20000000000000004,Mv,67,-1.7346010553881064,seedling,Ev seedling,s,m,0,D14w
D1,4,water,Ev,A,29,72.4,68.9,7,7,11.4,6.4,-0.04834254143646408,0,-0.43859649122807015,Mv,67,0,adult,Ev adult,a,m,0,D14w
D1,5,water,Mv,1,29,56.6,67,7,17,0,0,0.18374558303886923,1.4285714285714286,0,Ev seedling,7,0.8873031950009027,seedling,Mv,m,s,0,D15w
D1,5,water,Mv,2,29,41.9,74.7,7,17,0,0,0.7828162291169453,1.4285714285714286,0,Ev seedling,7,0.8873031950009027,seedling,Mv,m,s,0,D15w
D1,5,water,Mv,3,29,58.2,73.5,7,27,0,0,0.2628865979381443,2.857142857142857,0,Ev seedling,7,1.349926716949016,seedling,Mv,m,s,0,D15w
D1,5,water,Ev,2,29,25.9,23,8,4,5.2,4.1,-0.11196911196911193,-0.5,-0.21153846153846165,Ev seedling,7,-0.6931471805599453,seedling,Ev seedling,s,s,0,D15w
D1,5,water,Ev,3,29,28,20.1,9,7,5.6,3.4,-0.2821428571428571,-0.2222222222222222,-0.3928571428571429,Ev seedling,7,-0.25131442828090605,seedling,Ev seedling,s,s,0,D15w
D1,5,water,Ev,A,29,90,91.5,18,15,17.8,14.6,0.01666666666666666,-0.16666666666666666,-0.17977528089887646,Ev seedling,7,-0.1823215567939546,adult,Ev adult,a,s,0,D15w
D1,6,water,Mv,1,29,44.4,82.9,12,45,0,0,0.8671171171171173,2.75,0,Ev seedling,11,1.3217558399823195,seedling,Mv,m,s,0,D16w
D1,6,water,Mv,2,29,58.6,87,12,37,0,0,0.4846416382252559,2.0833333333333335,0,Ev seedling,11,1.1260112628562242,seedling,Mv,m,s,0,D16w
D1,6,water,Mv,3,29,43.9,83.8,9,34,0,0,0.908883826879271,2.7777777777777777,0,Ev seedling,11,1.329135947279942,seedling,Mv,m,s,0,D16w
D1,6,water,Ev,1,29,41.1,37.8,9,6,4.8,4.2,-0.0802919708029198,-0.3333333333333333,-0.12499999999999992,Ev seedling,11,-0.40546510810816444,seedling,Ev seedling,s,s,0,D16w
D1,6,water,Ev,2,29,38.5,47.2,6,4,4.4,3.3,0.22597402597402605,-0.3333333333333333,-0.2500000000000001,Ev seedling,11,-0.40546510810816444,seedling,Ev seedling,s,s,0,D16w
D1,6,water,Ev,3,29,44.8,57.4,11,4,6.1,5.3,0.28125000000000006,-0.6363636363636364,-0.13114754098360654,Ev seedling,11,-1.0116009116784799,seedling,Ev seedling,s,s,0,D16w
D1,6,water,Ev,A,29,95.4,100,10,14,9.3,9.1,0.04821802935010476,0.4,-0.02150537634408613,Ev seedling,11,0.3364722366212129,adult,Ev adult,a,s,0,D16w
D1,7,water,Mv,1,29,31.9,58.3,18,25,0,0,0.8275862068965517,0.3888888888888889,0,Ev seedling,19,0.32850406697203605,seedling,Mv,m,s,0,D17w
D1,7,water,Mv,2,29,37.5,46,14,23,0,0,0.22666666666666663,0.6428571428571429,0,Ev seedling,19,0.49643688631389105,seedling,Mv,m,s,0,D17w
D1,7,water,Mv,3,29,32.1,69.6,17,56,0,0,1.1682242990654204,2.2941176470588234,0,Ev seedling,19,1.192138346678933,seedling,Mv,m,s,0,D17w
D1,7,water,Ev,1,29,28.6,33.5,17,6,8.4,7.5,0.17132867132867127,-0.6470588235294118,-0.10714285714285718,Ev seedling,19,-1.041453874828161,seedling,Ev seedling,s,s,0,D17w
D1,7,water,Ev,3,29,33.5,27.3,19,9,7.6,6.4,-0.1850746268656716,-0.5263157894736842,-0.15789473684210517,Ev seedling,19,-0.7472144018302211,seedling,Ev seedling,s,s,0,D17w
D1,7,water,Ev,A,29,90.5,96.4,24,20,9,11.6,0.06519337016574592,-0.16666666666666666,0.28888888888888886,Ev seedling,19,-0.1823215567939546,adult,Ev adult,a,s,0,D17w
D1,8,water,Mv,1,29,58.2,71.1,21,86,0,0,0.22164948453608233,3.0952380952380953,0,Ev adult,3,1.4098248585300845,seedling,Mv,m,a,0,D18w
D1,8,water,Mv,2,29,29.6,32.8,9,54,0,0,0.10810810810810796,5,0,Ev adult,3,1.791759469228055,seedling,Mv,m,a,0,D18w
D1,8,water,Mv,3,29,20.9,40.5,4,22,0,0,0.9377990430622012,4.5,0,Ev adult,3,1.7047480922384253,seedling,Mv,m,a,0,D18w
D1,8,water,Ev,1,29,38.5,59.3,7,9,6.5,6.9,0.5402597402597402,0.2857142857142857,0.06153846153846159,Ev adult,3,0.25131442828090617,seedling,Ev seedling,s,a,0,D18w
D1,8,water,Ev,3,29,34.8,38.5,12,11,5.9,6.6,0.10632183908045986,-0.08333333333333333,0.11864406779661003,Ev adult,3,-0.08701137698962981,seedling,Ev seedling,s,a,0,D18w
D1,8,water,Ev,A,29,92.3,101.1,19,26,10.6,10.5,0.09534127843986996,0.3684210526315789,-0.00943396226415091,Ev adult,3,0.3136575588550416,adult,Ev adult,a,a,0,D18w
D1,9,water,Mv,1,29,50.2,80.1,11,29,0,0,0.5956175298804779,1.6363636363636365,0,Ev adult,5,0.9694005571881035,seedling,Mv,m,a,0,D19w
D1,9,water,Mv,2,29,50.7,74.9,7,18,0,0,0.4773175542406312,1.5714285714285714,0,Ev adult,5,0.9444616088408515,seedling,Mv,m,a,0,D19w
D1,9,water,Mv,3,29,46.5,59.8,17,28,0,0,0.286021505376344,0.6470588235294118,0,Ev adult,5,0.4989911661189878,seedling,Mv,m,a,0,D19w
D1,9,water,Ev,1,29,32.6,32.5,9,6,7.2,5.6,-0.00306748466257673,-0.3333333333333333,-0.2222222222222223,Ev adult,5,-0.40546510810816444,seedling,Ev seedling,s,a,0,D19w
D1,9,water,Ev,2,29,59,65.1,11,6,5.5,6.4,0.10338983050847449,-0.4545454545454546,0.1636363636363637,Ev adult,5,-0.6061358035703156,seedling,Ev seedling,s,a,0,D19w
D1,9,water,Ev,3,29,56,62,7,3,5,2.4,0.10714285714285714,-0.5714285714285714,-0.52,Ev adult,5,-0.8472978603872037,seedling,Ev seedling,s,a,0,D19w
D1,9,water,Ev,A,29,72.1,72.6,11,10,8.9,9,0.00693481276005547,-0.09090909090909093,0.01123595505617973,Ev adult,5,-0.0953101798043249,adult,Ev adult,a,a,0,D19w
D1,10,water,Mv,1,29,52.6,91.5,30,81,0,0,0.7395437262357414,1.7,0,Ev adult,9,0.9932517730102834,seedling,Mv,m,a,0,D110w
D1,10,water,Mv,2,29,55.4,85.7,29,87,0,0,0.5469314079422384,2,0,Ev adult,9,1.0986122886681098,seedling,Mv,m,a,0,D110w
D1,10,water,Mv,3,29,47.7,91,33,105,0,0,0.9077568134171906,2.1818181818181817,0,Ev adult,9,1.157452788691043,seedling,Mv,m,a,0,D110w
D1,10,water,Ev,1,29,25,23.7,9,5,7.1,4.9,-0.05200000000000002,-0.4444444444444444,-0.3098591549295774,Ev adult,9,-0.587786664902119,seedling,Ev seedling,s,a,0,D110w
D1,10,water,Ev,2,29,31.5,29.1,6,5,5.2,3.7,-0.07619047619047614,-0.16666666666666666,-0.28846153846153844,Ev adult,9,-0.1823215567939546,seedling,Ev seedling,s,a,0,D110w
D1,10,water,Ev,A,29,73.4,72,14,25,10.5,12.5,-0.0190735694822889,0.7857142857142857,0.1904761904761905,Ev adult,9,0.5798184952529422,adult,Ev adult,a,a,0,D110w
D2,2,fungicide,Mv,1,30,39.5,67,6,18,0,0,0.6962025316455697,2,0,Mv,7,1.0986122886681098,seedling,Mv,m,m,1,D22f
D2,2,fungicide,Mv,2,30,47.2,65.3,7,17,0,0,0.3834745762711863,1.4285714285714286,0,Mv,7,0.8873031950009027,seedling,Mv,m,m,1,D22f
D2,2,fungicide,Mv,3,30,31.8,69,7,17,0,0,1.169811320754717,1.4285714285714286,0,Mv,7,0.8873031950009027,seedling,Mv,m,m,1,D22f
D2,2,fungicide,Ev,1,30,37.3,37,11,12,8.9,6.9,-0.00804289544235917,0.09090909090909093,-0.2247191011235955,Mv,7,0.0870113769896297,seedling,Ev seedling,s,m,1,D22f
D2,2,fungicide,Ev,2,30,36.1,61.7,15,6,9.9,8.4,0.7091412742382271,-0.6,-0.15151515151515152,Mv,7,-0.916290731874155,seedling,Ev seedling,s,m,1,D22f
D2,2,fungicide,Ev,3,30,34.1,38.5,8,4,6.6,5.2,0.12903225806451607,-0.5,-0.21212121212121204,Mv,7,-0.6931471805599453,seedling,Ev seedling,s,m,1,D22f
D2,2,fungicide,Ev,A,30,60.4,59.4,33,27,14,15,-0.01655629139072847,-0.18181818181818185,0.07142857142857142,Mv,7,-0.2006706954621511,adult,Ev adult,a,m,1,D22f
D2,3,fungicide,Mv,1,30,49.8,93.2,13,26,0,0,0.8714859437751006,1,0,Mv,19,0.6931471805599453,seedling,Mv,m,m,1,D23f
D2,3,fungicide,Mv,2,30,44.9,85,10,15,0,0,0.8930957683741648,0.5,0,Mv,19,0.4054651081081644,seedling,Mv,m,m,1,D23f
D2,3,fungicide,Mv,3,30,29.5,70.5,8,23,0,0,1.3898305084745763,1.875,0,Mv,19,1.0560526742493137,seedling,Mv,m,m,1,D23f
D2,3,fungicide,Ev,1,30,42.6,43.6,3,3,4.6,3.4,0.02347417840375586,0,-0.26086956521739124,Mv,19,0,seedling,Ev seedling,s,m,1,D23f
D2,3,fungicide,Ev,2,30,46.1,50.8,3,6,4.1,5.2,0.10195227765726672,1,0.2682926829268294,Mv,19,0.6931471805599453,seedling,Ev seedling,s,m,1,D23f
D2,3,fungicide,Ev,3,30,38.4,49.7,8,9,7.5,6.2,0.2942708333333335,0.125,-0.1733333333333333,Mv,19,0.11778303565638346,seedling,Ev seedling,s,m,1,D23f
D2,3,fungicide,Ev,A,30,65.7,66.5,14,18,14.5,15.5,0.01217656012176555,0.2857142857142857,0.06896551724137931,Mv,19,0.25131442828090617,adult,Ev adult,a,m,1,D23f
D2,4,fungicide,Mv,1,30,42.5,68,4,6,0,0,0.6,0.5,0,Mv,67,0.4054651081081644,seedling,Mv,m,m,1,D24f
D2,4,fungicide,Mv,2,30,67.6,109,7,16,0,0,0.6124260355029587,1.2857142857142858,0,Mv,67,0.8266785731844679,seedling,Mv,m,m,1,D24f
D2,4,fungicide,Mv,3,30,69,86.6,16,13,0,0,0.2550724637681159,-0.1875,0,Mv,67,-0.2076393647782445,seedling,Mv,m,m,1,D24f
D2,4,fungicide,Ev,1,30,40.2,26.2,12,13,7.4,5.6,-0.34825870646766177,0.08333333333333333,-0.24324324324324337,Mv,67,0.08004270767353636,seedling,Ev seedling,s,m,1,D24f
D2,4,fungicide,Ev,2,30,45,54.3,10,4,6.4,5.1,0.2066666666666666,-0.6,-0.2031250000000001,Mv,67,-0.916290731874155,seedling,Ev seedling,s,m,1,D24f
D2,4,fungicide,Ev,3,30,34.5,29.1,11,8,4.6,2.7,-0.15652173913043474,-0.2727272727272727,-0.41304347826086946,Mv,67,-0.3184537311185346,seedling,Ev seedling,s,m,1,D24f
D2,4,fungicide,Ev,A,30,68.8,71.8,11,9,13.1,9.4,0.0436046511627907,-0.18181818181818185,-0.282442748091603,Mv,67,-0.2006706954621511,adult,Ev adult,a,m,1,D24f
D2,5,fungicide,Mv,1,30,59.6,91,11,30,0,0,0.5268456375838926,1.7272727272727273,0,Ev seedling,7,1.0033021088637848,seedling,Mv,m,s,1,D25f
D2,5,fungicide,Mv,2,30,49.9,84.5,21,56,0,0,0.6933867735470942,1.6666666666666667,0,Ev seedling,7,0.9808292530117262,seedling,Mv,m,s,1,D25f
D2,5,fungicide,Mv,3,30,42.6,73.1,11,35,0,0,0.7159624413145538,2.1818181818181817,0,Ev seedling,7,1.157452788691043,seedling,Mv,m,s,1,D25f
D2,5,fungicide,Ev,1,30,55.2,71.5,18,9,6,6.1,0.2952898550724637,-0.5,0.0166666666666666,Ev seedling,7,-0.6931471805599453,seedling,Ev seedling,s,s,1,D25f
D2,5,fungicide,Ev,2,30,29.8,38.1,6,9,6.5,4,0.27852348993288595,0.5,-0.38461538461538464,Ev seedling,7,0.4054651081081644,seedling,Ev seedling,s,s,1,D25f
D2,5,fungicide,Ev,3,30,51.2,67.3,12,10,8.4,8,0.3144531249999999,-0.16666666666666666,-0.04761904761904766,Ev seedling,7,-0.1823215567939546,seedling,Ev seedling,s,s,1,D25f
D2,5,fungicide,Ev,A,30,62.1,62.5,5,4,8.1,5,0.00644122383252815,-0.2,-0.382716049382716,Ev seedling,7,-0.2231435513142097,adult,Ev adult,a,s,1,D25f
D2,6,fungicide,Mv,1,30,61.4,101.2,37,67,0,0,0.6482084690553747,0.8108108108108109,0,Ev seedling,11,0.5937747067467416,seedling,Mv,m,s,1,D26f
D2,6,fungicide,Mv,2,30,65.4,91.5,21,73,0,0,0.39908256880733933,2.4761904761904763,0,Ev seedling,11,1.2459370034249682,seedling,Mv,m,s,1,D26f
D2,6,fungicide,Mv,3,30,55.1,82.2,20,36,0,0,0.49183303085299457,0.8,0,Ev seedling,11,0.5877866649021191,seedling,Mv,m,s,1,D26f
D2,6,fungicide,Ev,1,30,36.4,56.1,17,9,6.3,5.6,0.5412087912087913,-0.4705882352941176,-0.11111111111111116,Ev seedling,11,-0.6359887667199967,seedling,Ev seedling,s,s,1,D26f
D2,6,fungicide,Ev,2,30,27.5,51,18,6,8.2,7.4,0.8545454545454545,-0.6666666666666666,-0.09756097560975598,Ev seedling,11,-1.0986122886681098,seedling,Ev seedling,s,s,1,D26f
