site,plot,treatment,sp,ID,days,height.cm_jun,height.cm_jul,tillers_jun,tillers_jul,basal_circ.cm_jun,basal_circ.cm_jul,height_growth,tiller_growth,basal_growth,background,density,plant_growth,age,focal,foc,bg,fungicide,plotf
D1,2,fungicide,Mv,1,29,24.2,54,25,72,0,0,1.231404958677686,1.88,0,Mv,7,1.0577902941478545,seedling,Mv,m,m,1,D12f
D1,2,fungicide,Mv,2,29,50.6,66.5,15,47,0,0,0.31422924901185767,2.1333333333333333,0,Mv,7,1.1420974006078486,seedling,Mv,m,m,1,D12f
D1,2,fungicide,Mv,3,29,22.7,68.4,22,51,0,0,2.0132158590308373,1.318181818181818,0,Mv,7,0.84078317936601,seedling,Mv,m,m,1,D12f
D1,2,fungicide,Ev,1,29,35.9,48.1,10,6,5.6,6.1,0.33983286908078003,-0.4,0.08928571428571429,Mv,7,-0.5108256237659907,seedling,Ev seedling,s,m,1,D12f
D1,2,fungicide,Ev,2,29,23.7,35.9,17,9,7.9,6,0.5147679324894514,-0.4705882352941176,-0.24050632911392408,Mv,7,-0.6359887667199967,seedling,Ev seedling,s,m,1,D12f
D1,2,fungicide,Ev,3,29,28.4,35.4,11,11,9,6.2,0.24647887323943665,0,-0.3111111111111111,Mv,7,0,seedling,Ev seedling,s,m,1,D12f
D1,2,fungicide,Ev,A,29,69.6,69.1,28,24,15.1,13.3,-0.00718390804597701,-0.14285714285714285,-0.11920529801324496,Mv,7,-0.15415067982725836,adult,Ev adult,a,m,1,D12f
D1,3,fungicide,Mv,1,29,39.4,61,10,25,0,0,0.5482233502538072,1.5,0,Mv,19,0.9162907318741551,seedling,Mv,m,m,1,D13f
D1,3,fungicide,Mv,2,29,48.3,68.2,7,28,0,0,0.4120082815734991,3,0,Mv,19,1.3862943611198906,seedling,Mv,m,m,1,D13f
D1,3,fungicide,Mv,3,29,44,64.6,4,15,0,0,0.468181818181818,2.75,0,Mv,19,1.3217558399823195,seedling,Mv,m,m,1,D13f
D1,3,fungicide,Ev,1,29,28.5,26.5,8,16,6.1,5.2,-0.07017543859649122,1,-0.1475409836065573,Mv,19,0.6931471805599453,seedling,Ev seedling,s,m,1,D13f
D1,3,fungicide,Ev,2,29,29.7,31.1,10,12,5.2,4.6,0.04713804713804721,0.2,-0.11538461538461547,Mv,19,0.1823215567939546,seedling,Ev seedling,s,m,1,D13f
D1,3,fungicide,Ev,3,29,36.2,36.5,8,7,5.3,4.4,0.00828729281767948,-0.125,-0.1698113207547169,Mv,19,-0.13353139262452263,seedling,Ev seedling,s,m,1,D13f
D1,3,fungicide,Ev,A,29,65.3,61.4,10,11,11.6,10.1,-0.05972434915773352,0.1,-0.12931034482758622,Mv,19,0.09531017980432493,adult,Ev adult,a,m,1,D13f
D1,4,fungicide,Mv,1,29,69.6,95.2,6,10,0,0,0.3678160919540231,0.6666666666666666,0,Mv,67,0.5108256237659907,seedling,Mv,m,m,1,D14f
D1,4,fungicide,Mv,2,29,70.5,97.5,9,14,0,0,0.3829787234042553,0.5555555555555556,0,Mv,67,0.44183275227903923,seedling,Mv,m,m,1,D14f
D1,4,fungicide,Mv,3,29,60.3,112.6,7,15,0,0,0.867330016583748,1.1428571428571428,0,Mv,67,0.7621400520468967,seedling,Mv,m,m,1,D14f
D1,4,fungicide,Ev,1,29,51.7,64.2,5,4,5.3,3.9,0.241779497098646,-0.2,-0.2641509433962264,Mv,67,-0.2231435513142097,seedling,Ev seedling,s,m,1,D14f
D1,4,fungicide,Ev,2,29,43.1,60.3,10,5,5.5,4,0.3990719257540602,-0.5,-0.2727272727272727,Mv,67,-0.6931471805599453,seedling,Ev seedling,s,m,1,D14f
D1,4,fungicide,Ev,3,29,38.4,46.1,7,5,4.2,3.6,0.20052083333333345,-0.2857142857142857,-0.14285714285714288,Mv,67,-0.3364722366212129,seedling,Ev seedling,s,m,1,D14f
D1,4,fungicide,Ev,A,29,76.6,78.2,24,15,15.1,13.5,0.02088772845953013,-0.375,-0.10596026490066222,Mv,67,-0.4700036292457356,adult,Ev adult,a,m,1,D14f
D1,5,fungicide,Mv,1,29,23.4,35.8,9,38,0,0,0.5299145299145299,3.2222222222222223,0,Ev seedling,7,1.4403615823901663,seedling,Mv,m,s,1,D15f
D1,5,fungicide,Mv,2,29,43.5,54.5,8,21,0,0,0.25287356321839083,1.625,0,Ev seedling,7,0.965080896043587,seedling,Mv,m,s,1,D15f
D1,5,fungicide,Mv,3,29,16.5,56.5,12,25,0,0,2.4242424242424243,1.0833333333333333,0,Ev seedling,7,0.7339691750802005,seedling,Mv,m,s,1,D15f
D1,5,fungicide,Ev,2,29,46.4,30.5,5,3,4.5,3.6,-0.3426724137931034,-0.4,-0.2,Ev seedling,7,-0.5108256237659907,seedling,Ev seedling,s,s,1,D15f
D1,5,fungicide,Ev,3,29,47.1,25.6,3,4,5.4,4.2,-0.4564755838641189,0.3333333333333333,-0.22222222222222224,Ev seedling,7,0.28768207245178085,seedling,Ev seedling,s,s,1,D15f
