site,plot,treatment,sp,ID,days,height.cm_jun,height.cm_jul,tillers_jun,tillers_jul,basal_circ.cm_jun,basal_circ.cm_jul,height_growth,tiller_growth,basal_growth
D1,9,fungicide,Ev,A,29,45.8,17.2,32,24,4,12.4,-0.6244541484716157,-0.25,2.1
D1,10,fungicide,Mv,1,29,43.6,83.9,21,100,0,0,0.9243119266055047,3.761904761904762,0
D1,10,fungicide,Mv,2,29,52.6,89.9,28,72,0,0,0.7091254752851711,1.5714285714285714,0
D1,10,fungicide,Mv,3,29,49.7,84.6,25,87,0,0,0.7022132796780682,2.48,0
D1,10,fungicide,Ev,1,29,26.9,33.7,12,8,5.4,5.3,0.2527881040892195,-0.3333333333333333,-0.018518518518518615
D1,10,fungicide,Ev,2,29,34.4,63,6,4,4.7,3.5,0.8313953488372093,-0.3333333333333333,-0.25531914893617025
D1,10,fungicide,Ev,3,29,32,25.6,6,5,3.8,2.6,-0.19999999999999996,-0.16666666666666666,-0.31578947368421045
D1,10,fungicide,Ev,A,29,64.1,64.2,15,27,12.5,12.8,0.001560062402496233,0.8,0.024000000000000056
D1,1,water,Mv,1,29,37,68.5,9,17,0,0,0.8513513513513513,0.8888888888888888,0
D1,1,water,Mv,2,29,27.9,60.9,8,14,0,0,1.1827956989247312,0.75,0
D1,1,water,Mv,3,29,50.4,70.4,16,59,0,0,0.39682539682539697,2.6875,0
D1,1,water,Ev,1,29,17.8,27.2,14,5,7.9,3.3,0.5280898876404493,-0.6428571428571429,-0.5822784810126582
D1,1,water,Ev,2,29,22.3,15.3,4,5,5.5,3.6,-0.3139013452914798,0.25,-0.34545454545454546
D1,1,water,Ev,3,29,34.2,56,21,6,9.1,5.4,0.6374269005847952,-0.7142857142857143,-0.40659340659340654
D1,1,water,Ev,A,29,81.7,78.6,18,24,16.6,13.6,-0.0379436964504285,0.3333333333333333,-0.18072289156626514
D1,2,water,Mv,1,29,53.5,92.1,25,67,0,0,0.7214953271028036,1.68,0
D1,2,water,Mv,2,29,46.2,82.9,18,55,0,0,0.7943722943722944,2.0555555555555554,0
D1,2,water,Mv,3,29,52.2,86.8,12,49,0,0,0.6628352490421454,3.0833333333333335,0
D1,2,water,Ev,1,29,27,40,18,8,8.6,5.4,0.48148148148148145,-0.5555555555555556,-0.3720930232558139
D1,2,water,Ev,2,29,20.7,36.9,9,6,5.5,3.6,0.782608695652174,-0.3333333333333333,-0.34545454545454546
D1,2,water,Ev,3,29,20.8,40.6,13,3,6.5,3.3,0.9519230769230769,-0.7692307692307693,-0.49230769230769234
D1,2,water,Ev,A,29,63.5,70.1,24,27,14.7,13.4,0.10393700787401566,0.125,-0.0884353741496598
D1,3,water,Mv,1,29,37.7,66.5,12,13,0,0,0.7639257294429707,0.08333333333333333,0
D1,3,water,Mv,2,29,14.1,37.2,3,6,0,0,1.6382978723404256,1,0
D1,3,water,Mv,3,29,31.8,71.5,8,14,0,0,1.248427672955975,0.75,0
D1,3,water,Ev,1,29,42.6,53,7,4,5.8,5.1,0.244131455399061,-0.42857142857142855,-0.12068965517241383
D1,3,water,Ev,2,29,26.3,38.7,14,6,7.5,8.6,0.4714828897338404,-0.5714285714285714,0.1466666666666666
D1,3,water,Ev,3,29,26.1,30.9,11,10,7,5.4,0.18390804597701138,-0.09090909090909091,-0.2285714285714285
D1,3,water,Ev,A,29,68.1,58.1,26,22,9.5,9.5,-0.14684287812041108,-0.15384615384615385,0
D1,4,water,Mv,1,29,67.9,96,8,17,0,0,0.41384388807069206,1.125,0
D1,4,water,Mv,2,29,62,111.8,7,16,0,0,0.8032258064516129,1.2857142857142858,0
D1,4,water,Mv,3,29,56.2,96.1,13,20,0,0,0.7099644128113877,0.5384615384615384,0
D1,4,water,Ev,1,29,32.5,26.4,11,5,6.8,4.9,-0.18769230769230774,-0.5454545454545454,-0.2794117647058823
D1,4,water,Ev,2,29,28,20,17,3,7,5.6,-0.2857142857142857,-0.8235294117647058,-0.20000000000000004
D1,4,water,Ev,3,29,23.9,0,16,0,7.7,0,-1,-1,-1
D1,4,water,Ev,A,29,72.4,68.9,7,7,11.4,6.4,-0.04834254143646408,0,-0.43859649122807015
D1,5,water,Mv,1,29,56.6,67,7,17,0,0,0.18374558303886923,1.4285714285714286,0
D1,5,water,Mv,2,29,41.9,74.7,7,17,0,0,0.7828162291169453,1.4285714285714286,0
D1,5,water,Mv,3,29,58.2,73.5,7,27,0,0,0.2628865979381443,2.857142857142857,0
D1,5,water,Ev,1,29,17.5,0,7,0,4.6,0,-1,-1,-1
D1,5,water,Ev,2,29,25.9,23,8,4,5.2,4.1,-0.11196911196911193,-0.5,-0.21153846153846165
D1,5,water,Ev,3,29,28,20.1,9,7,5.6,3.4,-0.2821428571428571,-0.2222222222222222,-0.39285714285714285
D1,5,water,Ev,A,29,90,91.5,18,15,17.8,14.6,0.016666666666666666,-0.16666666666666666,-0.17977528089887646
D1,6,water,Mv,1,29,44.4,82.9,12,45,0,0,0.8671171171171173,2.75,0
D1,6,water,Mv,2,29,58.6,87,12,37,0,0,0.4846416382252559,2.0833333333333335,0
D1,6,water,Mv,3,29,43.9,83.8,9,34,0,0,0.908883826879271,2.7777777777777777,0
D1,6,water,Ev,1,29,41.1,37.8,9,6,4.8,4.2,-0.0802919708029198,-0.3333333333333333,-0.12499999999999993
D1,6,water,Ev,2,29,38.5,47.2,6,4,4.4,3.3,0.22597402597402605,-0.3333333333333333,-0.2500000000000001
D1,6,water,Ev,3,29,44.8,57.4,11,4,6.1,5.3,0.28125000000000006,-0.6363636363636364,-0.13114754098360654
D1,6,water,Ev,A,29,95.4,100,10,14,9.3,9.1,0.04821802935010476,0.4,-0.021505376344086134
D1,7,water,Mv,1,29,31.9,58.3,18,25,0,0,0.8275862068965517,0.3888888888888889,0
D1,7,water,Mv,2,29,37.5,46,14,23,0,0,0.22666666666666666,0.6428571428571429,0
D1,7,water,Mv,3,29,32.1,69.6,17,56,0,0,1.1682242990654204,2.2941176470588234,0
D1,7,water,Ev,1,29,28.6,33.5,17,6,8.4,7.5,0.17132867132867127,-0.6470588235294118,-0.10714285714285718
D1,7,water,Ev,2,29,0,0,0,0,0,0,0,0,0
D1,7,water,Ev,3,29,33.5,27.3,19,9,7.6,6.4,-0.1850746268656716,-0.5263157894736842,-0.15789473684210517
D1,7,water,Ev,A,29,90.5,96.4,24,20,9,11.6,0.06519337016574592,-0.16666666666666666,0.28888888888888886
D1,8,water,Mv,1,29,58.2,71.1,21,86,0,0,0.22164948453608233,3.0952380952380953,0
D1,8,water,Mv,2,29,29.6,32.8,9,54,0,0,0.10810810810810796,5,0
D1,8,water,Mv,3,29,20.9,40.5,4,22,0,0,0.9377990430622011,4.5,0
D1,8,water,Ev,1,29,38.5,59.3,7,9,6.5,6.9,0.5402597402597402,0.2857142857142857,0.06153846153846159
D1,8,water,Ev,2,29,0,0,0,0,0,0,0,0,0
D1,8,water,Ev,3,29,34.8,38.5,12,11,5.9,6.6,0.10632183908045986,-0.08333333333333333,0.11864406779661005
D1,8,water,Ev,A,29,92.3,101.1,19,26,10.6,10.5,0.09534127843986996,0.3684210526315789,-0.00943396226415091
D1,9,water,Mv,1,29,50.2,80.1,11,29,0,0,0.5956175298804779,1.6363636363636365,0
D1,9,water,Mv,2,29,50.7,74.9,7,18,0,0,0.4773175542406312,1.5714285714285714,0
D1,9,water,Mv,3,29,46.5,59.8,17,28,0,0,0.286021505376344,0.6470588235294118,0
D1,9,water,Ev,1,29,32.6,32.5,9,6,7.2,5.6,-0.0030674846625767306,-0.3333333333333333,-0.2222222222222223
D1,9,water,Ev,2,29,59,65.1,11,6,5.5,6.4,0.10338983050847449,-0.45454545454545453,0.1636363636363637
D1,9,water,Ev,3,29,56,62,7,3,5,2.4,0.10714285714285714,-0.5714285714285714,-0.52
D1,9,water,Ev,A,29,72.1,72.6,11,10,8.9,9,0.006934812760055479,-0.09090909090909091,0.011235955056179735
D1,10,water,Mv,1,29,52.6,91.5,30,81,0,0,0.7395437262357414,1.7,0
D1,10,water,Mv,2,29,55.4,85.7,29,87,0,0,0.5469314079422384,2,0
D1,10,water,Mv,3,29,47.7,91,33,105,0,0,0.9077568134171906,2.1818181818181817,0
D1,10,water,Ev,1,29,25,23.7,9,5,7.1,4.9,-0.052000000000000025,-0.4444444444444444,-0.3098591549295774
D1,10,water,Ev,2,29,31.5,29.1,6,5,5.2,3.7,-0.07619047619047614,-0.16666666666666666,-0.28846153846153844
D1,10,water,Ev,3,29,0,0,0,0,0,0,0,0,0
D1,10,water,Ev,A,29,73.4,72,14,25,10.5,12.5,-0.019073569482288905,0.7857142857142857,0.19047619047619047
D2,1,fungicide,Mv,1,30,48.4,78.8,7,33,0,0,0.628099173553719,3.7142857142857144,0
D2,1,fungicide,Mv,2,30,37.2,80,17,31,0,0,1.150537634408602,0.8235294117647058,0
D2,1,fungicide,Mv,3,30,58.4,91,34,87,0,0,0.5582191780821918,1.5588235294117647,0
D2,1,fungicide,Ev,1,30,26.8,26.1,9,1,7.4,2.4,-0.026119402985074598,-0.8888888888888888,-0.6756756756756757
D2,1,fungicide,Ev,2,30,48.9,57,7,8,8.6,4.5,0.16564417177914115,0.14285714285714285,-0.4767441860465116
D2,1,fungicide,Ev,3,30,15.9,33.3,7,7,6.2,3.5,1.0943396226415094,0,-0.43548387096774194
D2,1,fungicide,Ev,A,30,78.8,70,15,12,13.5,10.5,-0.11167512690355327,-0.2,-0.2222222222222222
D2,2,fungicide,Mv,1,30,39.5,67,6,18,0,0,0.6962025316455697,2,0
D2,2,fungicide,Mv,2,30,47.2,65.3,7,17,0,0,0.3834745762711863,1.4285714285714286,0
D2,2,fungicide,Mv,3,30,31.8,69,7,17,0,0,1.169811320754717,1.4285714285714286,0
D2,2,fungicide,Ev,1,30,37.3,37,11,12,8.9,6.9,-0.008042895442359173,0.09090909090909091,-0.2247191011235955
D2,2,fungicide,Ev,2,30,36.1,61.7,15,6,9.9,8.4,0.7091412742382271,-0.6,-0.15151515151515152
D2,2,fungicide,Ev,3,30,34.1,38.5,8,4,6.6,5.2,0.12903225806451607,-0.5,-0.21212121212121204
D2,2,fungicide,Ev,A,30,60.4,59.4,33,27,14,15,-0.016556291390728478,-0.18181818181818182,0.07142857142857142
D2,3,fungicide,Mv,1,30,49.8,93.2,13,26,0,0,0.8714859437751006,1,0
D2,3,fungicide,Mv,2,30,44.9,85,10,15,0,0,0.8930957683741648,0.5,0
D2,3,fungicide,Mv,3,30,29.5,70.5,8,23,0,0,1.3898305084745763,1.875,0
D2,3,fungicide,Ev,1,30,42.6,43.6,3,3,4.6,3.4,0.023474178403755867,0,-0.26086956521739124
D2,3,fungicide,Ev,2,30,46.1,50.8,3,6,4.1,5.2,0.10195227765726672,1,0.2682926829268294
D2,3,fungicide,Ev,3,30,38.4,49.7,8,9,7.5,6.2,0.2942708333333335,0.125,-0.1733333333333333
D2,3,fungicide,Ev,A,30,65.7,66.5,14,18,14.5,15.5,0.012176560121765557,0.2857142857142857,0.06896551724137931
D2,4,fungicide,Mv,1,30,42.5,68,4,6,0,0,0.6,0.5,0
D2,4,fungicide,Mv,2,30,67.6,109,7,16,0,0,0.6124260355029587,1.2857142857142858,0
D2,4,fungicide,Mv,3,30,69,86.6,16,13,0,0,0.2550724637681159,-0.1875,0
D2,4,fungicide,Ev,1,30,40.2,26.2,12,13,7.4,5.6,-0.34825870646766177,0.08333333333333333,-0.24324324324324334
D2,4,fungicide,Ev,2,30,45,54.3,10,4,6.4,5.1,0.2066666666666666,-0.6,-0.2031250000000001
D2,4,fungicide,Ev,3,30,34.5,29.1,11,8,4.6,2.7,-0.15652173913043474,-0.2727272727272727,-0.41304347826086946
D2,4,fungicide,Ev,A,30,68.8,71.8,11,9,13.1,9.4,0.0436046511627907,-0.18181818181818182,-0.282442748091603
D2,5,fungicide,Mv,1,30,59.6,91,11,30,0,0,0.5268456375838926,1.7272727272727273,0
D2,5,fungicide,Mv,2,30,49.9,84.5,21,56,0,0,0.6933867735470942,1.6666666666666667,0
D2,5,fungicide,Mv,3,30,42.6,73.1,11,35,0,0,0.7159624413145538,2.1818181818181817,0
D2,5,fungicide,Ev,1,30,55.2,71.5,18,9,6,6.1,0.2952898550724637,-0.5,0.016666666666666607
D2,5,fungicide,Ev,2,30,29.8,38.1,6,9,6.5,4,0.27852348993288595,0.5,-0.38461538461538464
D2,5,fungicide,Ev,3,30,51.2,67.3,12,10,8.4,8,0.3144531249999999,-0.16666666666666666,-0.04761904761904766
D2,5,fungicide,Ev,A,30,62.1,62.5,5,4,8.1,5,0.006441223832528157,-0.2,-0.38271604938271603
D2,6,fungicide,Mv,1,30,61.4,101.2,37,67,0,0,0.6482084690553747,0.8108108108108109,0
D2,6,fungicide,Mv,2,30,65.4,91.5,21,73,0,0,0.39908256880733933,2.4761904761904763,0
D2,6,fungicide,Mv,3,30,55.1,82.2,20,36,0,0,0.49183303085299457,0.8,0
D2,6,fungicide,Ev,1,30,36.4,56.1,17,9,6.3,5.6,0.5412087912087913,-0.47058823529411764,-0.11111111111111115
D2,6,fungicide,Ev,2,30,27.5,51,18,6,8.2,7.4,0.8545454545454545,-0.6666666666666666,-0.09756097560975598
D2,6,fungicide,Ev,3,30,61.4,83.1,8,5,8,6.6,0.35342019543973935,-0.375,-0.17500000000000004
D2,6,fungicide,Ev,A,30,55.6,59.5,18,28,9.6,8.2,0.0701438848920863,0.5555555555555556,-0.14583333333333337
D2,7,fungicide,Mv,1,30,52.8,75.2,10,24,0,0,0.42424242424242437,1.4,0
D2,7,fungicide,Mv,2,30,43,81.6,8,20,0,0,0.897674418604651,1.5,0
D2,7,fungicide,Mv,3,30,63.1,99.2,6,12,0,0,0.5721077654516641,1,0
D2,7,fungicide,Ev,1,30,67.1,72.4,9,8,6.5,6.3,0.07898658718330867,-0.1111111111111111,-0.030769230769230795
D2,7,fungicide,Ev,2,30,64.2,70.4,5,4,6,5,0.09657320872274147,-0.2,-0.16666666666666666
D2,7,fungicide,Ev,3,30,58.9,69.8,8,6,7,5.6,0.18505942275042442,-0.25,-0.20000000000000004
D2,7,fungicide,Ev,A,30,58.5,57.5,20,22,15.9,12.1,-0.017094017094017096,0.1,-0.23899371069182393
D2,8,fungicide,Mv,1,30,59,102.5,29,64,0,0,0.7372881355932204,1.206896551724138,0
D2,8,fungicide,Mv,2,30,38.5,94.6,10,42,0,0,1.457142857142857,3.2,0
D2,8,fungicide,Mv,3,30,54.1,110.7,20,30,0,0,1.0462107208872458,0.5,0
D2,8,fungicide,Ev,1,30,66.3,55.5,9,7,4.1,5.5,-0.16289592760180993,-0.2222222222222222,0.3414634146341465
D2,8,fungicide,Ev,2,30,65.8,68.1,11,10,7.5,8.4,0.03495440729483278,-0.09090909090909091,0.12000000000000005
D2,8,fungicide,Ev,3,30,62.8,68.4,7,5,6.5,5.7,0.08917197452229314,-0.2857142857142857,-0.12307692307692306
D2,8,fungicide,Ev,A,30,81.4,78.1,12,8,8.4,10.4,-0.040540540540540675,-0.3333333333333333,0.23809523809523808
D2,9,fungicide,Mv,1,30,52.6,72.2,4,17,0,0,0.3726235741444867,3.25,0
D2,9,fungicide,Mv,2,30,56.2,67.5,10,32,0,0,0.20106761565836292,2.2,0
D2,9,fungicide,Mv,3,30,43.4,64.6,7,25,0,0,0.488479262672811,2.5714285714285716,0
D2,9,fungicide,Ev,1,30,52.5,60.5,4,3,5.6,3,0.1523809523809524,-0.25,-0.46428571428571425
D2,9,fungicide,Ev,2,30,27.1,24.2,8,5,6.7,5.5,-0.10701107011070118,-0.375,-0.17910447761194032
D2,9,fungicide,Ev,3,30,30.6,25.6,7,6,6.5,4.1,-0.16339869281045752,-0.14285714285714285,-0.3692307692307693
D2,9,fungicide,Ev,A,30,56.6,54.2,13,11,10,8.5,-0.04240282685512365,-0.15384615384615385,-0.15
D2,10,fungicide,Mv,1,30,45.8,69,4,20,0,0,0.5065502183406114,4,0
D2,10,fungicide,Mv,2,30,29.9,66.7,4,22,0,0,1.230769230769231,4.5,0
D2,10,fungicide,Mv,3,30,39.4,69.3,4,14,0,0,0.7588832487309645,2.5,0
D2,10,fungicide,Ev,1,30,42.4,46.7,3,2,4.6,3.1,0.10141509433962274,-0.3333333333333333,-0.3260869565217391
D2,10,fungicide,Ev,2,30,27.3,39,7,2,4.9,2.9,0.42857142857142855,-0.7142857142857143,-0.4081632653061225
D2,10,fungicide,Ev,3,30,34.9,72,6,1,4.9,4,1.0630372492836677,-0.8333333333333334,-0.18367346938775517
D2,10,fungicide,Ev,A,30,76.8,72.5,5,5,8.1,6.4,-0.0559895833333333,0,-0.20987654320987648
D2,1,water,Mv,1,30,56.1,75,7,16,0,0,0.3368983957219251,1.2857142857142858,0
D2,1,water,Mv,2,30,38.4,69.9,6,7,0,0,0.8203125000000002,0.16666666666666666,0
D2,1,water,Mv,3,30,46.5,68.5,5,5,0,0,0.4731182795698925,0,0
D2,1,water,Ev,1,30,34.3,57.4,8,3,6.5,3.3,0.6734693877551021,-0.625,-0.49230769230769234
D2,1,water,Ev,2,30,42.3,43.9,9,3,6.2,3.5,0.03782505910165488,-0.6666666666666666,-0.43548387096774194
D2,1,water,Ev,3,30,20.1,12.8,6,2,5,2.4,-0.36318407960199006,-0.6666666666666666,-0.52
D2,1,water,Ev,A,30,67.6,76.7,31,28,14.1,15,0.13461538461538475,-0.0967741935483871,0.06382978723404258
D2,2,water,Mv,1,30,58,92.3,14,37,0,0,0.5913793103448275,1.6428571428571428,0
D2,2,water,Mv,2,30,61.5,90.1,11,28,0,0,0.465040650406504,1.5454545454545454,0
D2,2,water,Mv,3,30,52.8,76.1,17,32,0,0,0.4412878787878788,0.8823529411764706,0
D2,2,water,Ev,1,30,46,61.3,9,3,4.1,3.5,0.3326086956521738,-0.6666666666666666,-0.14634146341463408
D2,2,water,Ev,2,30,17.9,13.9,6,1,4.1,2.4,-0.22346368715083792,-0.8333333333333334,-0.4146341463414634
D2,2,water,Ev,3,30,23,37.2,11,2,6.4,4,0.6173913043478262,-0.8181818181818182,-0.37500000000000006
D2,2,water,Ev,A,30,66.2,61.4,13,17,16.5,16.2,-0.0725075528700907,0.3076923076923077,-0.018181818181818226
D2,3,water,Mv,1,30,48.1,66.9,10,16,0,0,0.39085239085239093,0.6,0
D2,3,water,Mv,2,30,41,68.6,5,6,0,0,0.6731707317073169,0.2,0
D2,3,water,Mv,3,30,49.1,81.7,5,12,0,0,0.6639511201629328,1.4,0
D2,3,water,Ev,1,30,28.5,53.5,10,4,6.6,4.9,0.8771929824561403,-0.6,-0.25757575757575746
D2,3,water,Ev,2,30,29.9,49.2,12,3,6.7,4,0.645484949832776,-0.75,-0.40298507462686567
D2,3,water,Ev,3,30,29.4,44.8,11,4,6,5.2,0.5238095238095238,-0.6363636363636364,-0.1333333333333333
D2,3,water,Ev,A,30,72.8,70.5,13,19,12.8,13,-0.03159340659340656,0.46153846153846156,0.015624999999999944
D2,4,water,Mv,1,30,63.1,94.5,9,12,0,0,0.49762282091917587,0.3333333333333333,0
D2,4,water,Mv,2,30,68.2,102.2,6,10,0,0,0.49853372434017595,0.6666666666666666,0
D2,4,water,Mv,3,30,66.1,87.1,9,10,0,0,0.3177004538577913,0.1111111111111111,0
D2,4,water,Ev,1,30,27,31.2,8,3,5.5,3.8,0.15555555555555553,-0.625,-0.30909090909090914
D2,4,water,Ev,2,30,27.6,0,10,0,5.2,0,-1,-1,-1
D2,4,water,Ev,3,30,46.1,64.5,10,4,6,4.5,0.3991323210412147,-0.6,-0.25
D2,4,water,Ev,A,30,84.4,88.4,14,14,10.1,11,0.04739336492890995,0,0.08910891089108915
D2,5,water,Mv,1,30,47.5,100.9,34,24,0,0,1.1242105263157895,-0.29411764705882354,0
D2,5,water,Mv,2,30,57.6,111.3,38,31,0,0,0.9322916666666665,-0.18421052631578946,0
D2,5,water,Mv,3,30,52.5,117.4,19,35,0,0,1.2361904761904763,0.8421052631578947,0
D2,5,water,Ev,1,30,27,42.1,9,1,5.4,5.2,0.5592592592592593,-0.8888888888888888,-0.03703703703703707
D2,5,water,Ev,2,30,19.6,20.5,6,2,5.2,3.4,0.0459183673469387,-0.6666666666666666,-0.3461538461538462
D2,5,water,Ev,3,30,23.5,22.4,8,2,7.1,5.3,-0.04680851063829793,-0.75,-0.2535211267605634
D2,5,water,Ev,A,30,85.4,103.9,19,19,10,10.4,0.21662763466042154,0,0.040000000000000036
D2,6,water,Mv,1,30,49.2,84.9,8,38,0,0,0.725609756097561,3.75,0
D2,6,water,Mv,2,30,31,68.5,27,20,0,0,1.2096774193548387,-0.25925925925925924,0
D2,6,water,Mv,3,30,60.7,100.2,12,28,0,0,0.6507413509060955,1.3333333333333333,0
