site,plot,treatment,sp,ID,days,height.cm_jun,height.cm_jul,tillers_jun,tillers_jul,basal_circ.cm_jun,basal_circ.cm_jul,height_growth,tiller_growth,basal_growth
D1,1,fungicide,Mv,1,29,35.2,64.1,6,17,0,0,0.821022727272727,1.8333333333333333,0
D1,1,fungicide,Mv,2,29,38.5,43.4,16,25,0,0,0.12727272727272723,0.5625,0
D1,1,fungicide,Mv,3,29,39.1,60,5,13,0,0,0.5345268542199488,1.6,0
D1,1,fungicide,Ev,1,29,20.1,21.9,10,2,6.1,3.1,0.08955223880597,-0.8,-0.4918032786885245
D1,1,fungicide,Ev,2,29,32.5,34.9,6,7,5.4,4,0.0738461538461538,0.16666666666666666,-0.2592592592592593
D1,1,fungicide,Ev,3,29,32.4,40.1,8,3,5.7,3.8,0.23765432098765443,-0.625,-0.33333333333333337
D1,1,fungicide,Ev,A,29,100.2,100.7,15,19,10.1,10.6,0.00499001996007984,0.26666666666666666,0.04950495049504951
D1,2,fungicide,Mv,1,29,24.2,54,25,72,0,0,1.231404958677686,1.88,0
D1,2,fungicide,Mv,2,29,50.6,66.5,15,47,0,0,0.31422924901185767,2.1333333333333333,0
D1,2,fungicide,Mv,3,29,22.7,68.4,22,51,0,0,2.0132158590308373,1.3181818181818181,0
D1,2,fungicide,Ev,1,29,35.9,48.1,10,6,5.6,6.1,0.33983286908078003,-0.4,0.08928571428571429
D1,2,fungicide,Ev,2,29,23.7,35.9,17,9,7.9,6,0.5147679324894514,-0.47058823529411764,-0.24050632911392408
D1,2,fungicide,Ev,3,29,28.4,35.4,11,11,9,6.2,0.24647887323943662,0,-0.3111111111111111
D1,2,fungicide,Ev,A,29,69.6,69.1,28,24,15.1,13.3,-0.007183908045977012,-0.14285714285714285,-0.11920529801324496
D1,3,fungicide,Mv,1,29,39.4,61,10,25,0,0,0.5482233502538072,1.5,0
D1,3,fungicide,Mv,2,29,48.3,68.2,7,28,0,0,0.4120082815734991,3,0
D1,3,fungicide,Mv,3,29,44,64.6,4,15,0,0,0.46818181818181803,2.75,0
D1,3,fungicide,Ev,1,29,28.5,26.5,8,16,6.1,5.2,-0.07017543859649122,1,-0.1475409836065573
D1,3,fungicide,Ev,2,29,29.7,31.1,10,12,5.2,4.6,0.04713804713804721,0.2,-0.11538461538461549
D1,3,fungicide,Ev,3,29,36.2,36.5,8,7,5.3,4.4,0.00828729281767948,-0.125,-0.1698113207547169
D1,3,fungicide,Ev,A,29,65.3,61.4,10,11,11.6,10.1,-0.05972434915773352,0.1,-0.12931034482758622
D1,4,fungicide,Mv,1,29,69.6,95.2,6,10,0,0,0.36781609195402315,0.6666666666666666,0
D1,4,fungicide,Mv,2,29,70.5,97.5,9,14,0,0,0.3829787234042553,0.5555555555555556,0
D1,4,fungicide,Mv,3,29,60.3,112.6,7,15,0,0,0.867330016583748,1.1428571428571428,0
D1,4,fungicide,Ev,1,29,51.7,64.2,5,4,5.3,3.9,0.24177949709864602,-0.2,-0.2641509433962264
D1,4,fungicide,Ev,2,29,43.1,60.3,10,5,5.5,4,0.3990719257540602,-0.5,-0.2727272727272727
D1,4,fungicide,Ev,3,29,38.4,46.1,7,5,4.2,3.6,0.20052083333333343,-0.2857142857142857,-0.14285714285714288
D1,4,fungicide,Ev,A,29,76.6,78.2,24,15,15.1,13.5,0.020887728459530137,-0.375,-0.10596026490066222
D1,5,fungicide,Mv,1,29,23.4,35.8,9,38,0,0,0.5299145299145299,3.2222222222222223,0
D1,5,fungicide,Mv,2,29,43.5,54.5,8,21,0,0,0.25287356321839083,1.625,0
D1,5,fungicide,Mv,3,29,16.5,56.5,12,25,0,0,2.4242424242424243,1.0833333333333333,0
D1,5,fungicide,Ev,1,29,14.5,0,6,0,3.6,0,-1,-1,-1
D1,5,fungicide,Ev,2,29,46.4,30.5,5,3,4.5,3.6,-0.3426724137931034,-0.4,-0.19999999999999998
D1,5,fungicide,Ev,3,29,47.1,25.6,3,4,5.4,4.2,-0.4564755838641189,0.3333333333333333,-0.22222222222222224
D1,5,fungicide,Ev,A,29,64.2,59.5,11,11,9.1,8.9,-0.07320872274143306,0,-0.0219780219780219
D1,6,fungicide,Mv,1,29,45.1,65.7,10,19,0,0,0.4567627494456763,0.9,0
D1,6,fungicide,Mv,2,29,32.3,81.3,14,33,0,0,1.51702786377709,1.3571428571428572,0
D1,6,fungicide,Mv,3,29,39.6,35.4,15,34,0,0,-0.10606060606060613,1.2666666666666666,0
D1,6,fungicide,Ev,1,29,10.8,0,2,0,3,0,-1,-1,-1
D1,6,fungicide,Ev,2,29,8.5,0,4,0,3.4,0,-1,-1,-1
D1,6,fungicide,Ev,3,29,21,32.6,9,10,5.5,4.4,0.5523809523809524,0.1111111111111111,-0.19999999999999993
D1,6,fungicide,Ev,A,29,83.5,83.3,15,19,9.5,10,-0.0023952095808383576,0.26666666666666666,0.05263157894736842
D1,7,fungicide,Mv,1,29,50.4,82,7,30,0,0,0.626984126984127,3.2857142857142856,0
D1,7,fungicide,Mv,2,29,46.6,64.7,7,23,0,0,0.388412017167382,2.2857142857142856,0
D1,7,fungicide,Mv,3,29,43.4,64.2,4,21,0,0,0.47926267281106,4.25,0
D1,7,fungicide,Ev,1,29,47.8,76.7,8,5,5.2,3.9,0.6046025104602512,-0.375,-0.25000000000000006
D1,7,fungicide,Ev,2,29,34.3,44.5,17,12,9.3,8.4,0.29737609329446074,-0.29411764705882354,-0.09677419354838712
D1,7,fungicide,Ev,3,29,46.1,60.5,10,9,5.8,5.6,0.31236442516268975,-0.1,-0.03448275862068969
D1,7,fungicide,Ev,A,29,73.7,73.1,12,16,9.2,9.2,-0.008141112618724675,0.3333333333333333,0
D1,8,fungicide,Mv,1,29,41.7,83.3,31,78,0,0,0.9976019184652276,1.5161290322580645,0
D1,8,fungicide,Mv,2,29,45.1,82.1,20,57,0,0,0.8203991130820397,1.85,0
D1,8,fungicide,Mv,3,29,44.7,70.9,15,59,0,0,0.5861297539149889,2.933333333333333,0
D1,8,fungicide,Ev,1,29,31.5,32,5,3,4.2,2.7,0.015873015873015872,-0.4,-0.35714285714285715
D1,8,fungicide,Ev,2,29,38.5,37.4,8,13,6.6,7.6,-0.02857142857142861,0.625,0.15151515151515152
D1,8,fungicide,Ev,3,29,32.4,23.6,5,4,5,4.3,-0.27160493827160487,-0.2,-0.14000000000000004
D1,8,fungicide,Ev,A,29,43.3,67.6,16,25,10.5,11.9,0.5612009237875288,0.5625,0.13333333333333336
D1,9,fungicide,Mv,1,29,48.1,84.5,17,28,0,0,0.7567567567567567,0.6470588235294118,0
D1,9,fungicide,Mv,2,29,40.1,83.6,11,31,0,0,1.0847880299251869,1.8181818181818181,0
D1,9,fungicide,Mv,3,29,45.2,80.1,16,48,0,0,0.7721238938053095,2,0
D1,9,fungicide,Ev,1,29,45.5,45.2,6,6,4.1,4.1,-0.006593406593406531,0,0
D1,9,fungicide,Ev,2,29,0,0,0,0,0,0,0,0,0
D1,9,fungicide,Ev,3,29,28.1,0,3,0,3.5,0,-1,-1,-1
