site,plot,treatment,sp,age,ID,seeds,background,density_level,density,seeds_per_bag,seeds_per_stem,seeds_bio,seeds_soil,tillers_jul,seeds_per_m2,fungicide,seeds1,log_seeds,focal,foc,bg,plotf
D1,4,water,Mv,seedling,NA,589.1833333333334,Mv,high,67,70.4,33.35,290.5263158,48.99999999999999,17.666666666666668,2771.6433942857143,0,590.1833333333334,6.380433223095087,Mv,m,m,D14w
D1,5,fungicide,Mv,seedling,NA,681.8000000000001,Ev seedling,low,7,46.9,24.35,974.2857143,1870.90909082,28,23226.08004179592,1,682.8000000000001,6.526201990920286,Mv,m,s,D15f
D1,5,water,Mv,seedling,NA,699.2407407407406,Ev seedling,low,7,65.33333333333333,34.388888888888886,264.4444444,88.19999999999999,20.333333333333332,2878.730158367347,0,700.2407407407406,6.551424191261994,Mv,m,s,D15w
D1,6,fungicide,Mv,seedling,NA,1052.7037037037037,Ev seedling,medium,11,68.77777777777777,36.72222222222222,819,522.666666634,28.666666666666668,10952.380952114285,1,1053.7037037037037,6.960066573550148,Mv,m,s,D16f
D1,6,water,Mv,seedling,NA,2509.4666666666667,Ev seedling,medium,11,85.9,64.9,1132.727273,1168.46153816,38.666666666666664,18785.214784979595,0,2510.4666666666667,7.828223937819063,Mv,m,s,D16w
D1,7,fungicide,Mv,seedling,NA,701.7666666666667,Ev seedling,high,19,54.7,28.45,1372.307692,871.1111111219999,24.666666666666668,18313.622882628573,1,702.7666666666667,6.555024925857838,Mv,m,s,D17f
D1,7,water,Mv,seedling,NA,1323.753086419753,Ev seedling,high,19,68,38.18518518518518,585.6,528.347826104,34.666666666666664,9093.451641665306,0,1324.753086419753,7.188981371183143,Mv,m,s,D17w
D1,8,fungicide,Mv,seedling,NA,2700.911111111111,Ev adult,low,3,75.8,41.766666666666666,1015.652174,1019.2,64.66666666666667,16611.038155102044,1,2701.911111111111,7.901714620536787,Mv,m,a,D18f
D1,8,water,Mv,seedling,NA,4040.9999999999995,Ev adult,low,3,109.4,74.83333333333333,576,1533.9130431799997,54,17223.779944326525,0,4041.9999999999995,8.304494897963567,Mv,m,a,D18w
D1,9,fungicide,Mv,seedling,NA,1579.2407407407406,Ev adult,medium,5,76.22222222222223,44.27777777777778,234.1666667,550.30769227,35.666666666666664,6403.872318122449,1,1580.2407407407406,7.365332481971686,Mv,m,a,D19f
D1,9,water,Mv,seedling,NA,711.25,Ev adult,medium,5,55.1,28.45,1424.705882,646.0740741139999,25,16904.326172359186,0,712.25,6.568428973378017,Mv,m,a,D19w
D1,10,fungicide,Mv,seedling,NA,4177.094444444444,Ev adult,high,9,88,48.38333333333333,1687.058824,1198.61538454,86.33333333333333,23556.52415134694,1,4178.094444444444,8.337610547041594,Mv,m,a,D110f
D1,10,water,Mv,seedling,NA,3808.5185185185187,Ev adult,high,9,79.88888888888889,41.851851851851855,684.7619048,746.30769227,91,11682.200792408163,0,3809.5185185185187,8.245258087042743,Mv,m,a,D110w
D2,2,fungicide,Mv,seedling,NA,327.59999999999997,Mv,low,7,32.4,18.9,689.3333333,195.99999999999997,17.333333333333332,7227.210884081634,1,328.59999999999997,5.794841205603167,Mv,m,m,D22f
D2,2,water,Mv,seedling,NA,1059.9944444444445,Mv,low,7,75.2,32.78333333333333,562,265.99999997199996,32.333333333333336,6759.1836732408165,0,1060.9944444444445,6.966961902449892,Mv,m,m,D22w
D2,3,fungicide,Mv,seedling,NA,603.0222222222221,Mv,medium,19,48.5,28.266666666666666,800,669.103448286,21.333333333333332,11992.68121049796,1,604.0222222222221,6.403610989016661,Mv,m,m,D23f
D2,3,water,Mv,seedling,NA,362.4777777777778,Mv,medium,19,50.7,31.983333333333334,627.6190476,127.4,11.333333333333334,6163.420796734694,0,363.4777777777778,5.895718161068438,Mv,m,m,D23w
D2,4,fungicide,Mv,seedling,NA,436.9166666666667,Mv,high,67,64.5,37.45,474.7368421,351.448275906,11.666666666666666,6744.368310253061,1,437.9166666666667,6.082028633523051,Mv,m,m,D24f
D2,4,water,Mv,seedling,NA,311.64444444444445,Mv,high,67,60.1,29.21666666666667,356.4705882,627.1999999999999,10.666666666666666,8029.963985306122,0,312.64444444444445,5.745066584606893,Mv,m,m,D24w
D2,5,fungicide,Mv,seedling,NA,1897.6833333333334,Ev seedling,low,7,87.8,47.05,744.8,1130.26666634,40.333333333333336,15306.666664,1,1898.6833333333334,7.5489159424750625,Mv,m,s,D25f
D2,5,water,Mv,seedling,NA,1183.5,Ev seedling,low,7,96.2,39.45,715.5555556,550.6666666619999,30,10336.507936832651,0,1184.5,7.07707602359884,Mv,m,s,D25w
D2,6,fungicide,Mv,seedling,NA,2537.333333333333,Ev seedling,medium,11,74.3,43.25,1023.529412,580.16,58.666666666666664,13091.34213877551,1,2538.333333333333,7.839262976661153,Mv,m,s,D26f
D2,6,water,Mv,seedling,NA,871.9444444444446,Ev seedling,medium,11,55.8,30.416666666666668,282.6086957,354.66666666199995,28.666666666666668,5202.247856016325,0,872.9444444444446,6.771871916293967,Mv,m,s,D26w
D2,7,fungicide,Mv,seedling,NA,593.2888888888889,Ev seedling,high,19,56.3,31.78333333333333,800,354.66666666199995,18.666666666666668,9425.850340097959,1,594.2888888888889,6.38736554606607,Mv,m,s,D27f
D2,7,water,Mv,seedling,NA,1513.263888888889,Ev seedling,high,19,77.75,41.270833333333336,628.1818182,359.3333333659999,36.666666666666664,8061.3481760489785,0,1514.263888888889,7.322684717943074,Mv,m,s,D27w
D2,8,fungicide,Mv,seedling,NA,2030.7654320987656,Ev adult,low,3,105.55555555555556,44.7962962962963,738,1051.86666634,45.333333333333336,14611.156459918368,1,2031.7654320987656,7.616660365075745,Mv,m,a,D28f
D2,8,water,Mv,seedling,NA,2088.088888888889,Ev adult,low,3,98.2,37.06666666666667,933.6363636,1881.6,56.333333333333336,22981.521335510206,0,2089.088888888889,7.644483311579443,Mv,m,a,D28w
D2,9,fungicide,Mv,seedling,NA,700.5333333333333,Ev adult,medium,5,67.9,28.4,555.2380952,266.55999999999995,24.666666666666668,6708.555879183673,1,701.5333333333333,6.553268415638602,Mv,m,a,D29f
D2,9,water,Mv,seedling,NA,904.4444444444445,Ev adult,medium,5,56.6,24.666666666666668,484,517.4399999999999,36.666666666666664,8175.020408163265,0,905.4444444444445,6.808425921984,Mv,m,a,D29w
