site,plot,treatment,sp,age,ID,seeds,background,density_level,density,seeds_per_bag,seeds_per_stem,seeds_bio,seeds_soil,tillers_jul,seeds_per_m2,fungicide,seeds1,log_seeds,focal,foc,bg,plotf
D2,7,fungicide,Ev,seedling,3,12.885168655065872,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,1,13.885168655065872,2.630821267250775,Ev seedling,s,s,D27f
D2,7,water,Ev,seedling,1,1.2375585713905075,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,0,2.2375585713905073,0.8053853479820262,Ev seedling,s,s,D27w
D2,7,water,Ev,seedling,2,5.969400167883625,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,0,6.969400167883625,1.9415291619419632,Ev seedling,s,s,D27w
D2,8,fungicide,Ev,adult,A,39.60187428449625,Ev adult,low,3,NA,NA,NA,NA,NA,NA,1,40.60187428449625,3.7038142301848973,Ev adult,a,a,D28f
D2,8,fungicide,Ev,seedling,2,0.7279756302297103,Ev adult,low,3,NA,NA,NA,NA,NA,NA,1,1.7279756302297105,0.5469505674060924,Ev seedling,s,a,D28f
D2,8,fungicide,Ev,seedling,3,3.858270840217465,Ev adult,low,3,NA,NA,NA,NA,NA,NA,1,4.858270840217465,1.5806825804086935,Ev seedling,s,a,D28f
D2,8,water,Ev,adult,A,26.78950319245334,Ev adult,low,3,NA,NA,NA,NA,NA,NA,0,27.78950319245334,3.324658366388904,Ev adult,a,a,D28w
D2,8,water,Ev,seedling,1,6.406185546021451,Ev adult,low,3,NA,NA,NA,NA,NA,NA,0,7.406185546021451,2.0023155356506437,Ev seedling,s,a,D28w
D2,8,water,Ev,seedling,2,12.885168655065872,Ev adult,low,3,NA,NA,NA,NA,NA,NA,0,13.885168655065872,2.630821267250775,Ev seedling,s,a,D28w
D2,8,water,Ev,seedling,3,4.367853781378262,Ev adult,low,3,NA,NA,NA,NA,NA,NA,0,5.367853781378262,1.6804281603599183,Ev seedling,s,a,D28w
D2,9,fungicide,Ev,adult,A,7.425351428343045,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,1,8.425351428343046,2.1312451879314533,Ev adult,a,a,D29f
D2,9,water,Ev,adult,A,62.09632125859429,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,0,63.09632125859429,4.1446624676668895,Ev adult,a,a,D29w
D2,9,water,Ev,seedling,2,17.034629747375224,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,0,18.034629747375224,2.892293784473306,Ev seedling,s,a,D29w
D2,9,water,Ev,seedling,3,4.22225865533232,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,0,5.22225865533232,1.6529300009025005,Ev seedling,s,a,D29w
D2,10,fungicide,Ev,adult,A,37.56354251985305,Ev adult,high,9,NA,NA,NA,NA,NA,NA,1,38.56354251985305,3.652307335850664,Ev adult,a,a,D210f
D2,10,fungicide,Ev,seedling,3,3.130295209987754,Ev adult,high,9,NA,NA,NA,NA,NA,NA,1,4.130295209987754,1.4183488838343306,Ev seedling,s,a,D210f
D2,10,water,Ev,adult,A,38.36431571310573,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,39.36431571310573,3.672859713355804,Ev adult,a,a,D210w
D2,10,water,Ev,seedling,1,1.819939075574276,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,2.819939075574276,1.0367152803103585,Ev seedling,s,a,D210w
D2,10,water,Ev,seedling,2,10.191658823215946,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,11.191658823215946,2.4151687529113954,Ev seedling,s,a,D210w
D2,10,water,Ev,seedling,3,6.842970924159277,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,7.842970924159277,2.059617706989089,Ev seedling,s,a,D210w
D3,2,fungicide,Ev,adult,A,86.48350487128958,Mv,low,7,NA,NA,NA,NA,NA,NA,1,87.48350487128958,4.4714502598355494,Ev adult,a,m,D32f
D3,2,water,Ev,adult,A,48.11918915818385,Mv,low,7,NA,NA,NA,NA,NA,NA,0,49.11918915818385,3.894249776336675,Ev adult,a,m,D32w
D3,3,fungicide,Ev,adult,A,95.07361730800017,Mv,medium,19,NA,NA,NA,NA,NA,NA,1,96.07361730800017,4.565114744549272,Ev adult,a,m,D33f
D3,3,water,Ev,adult,A,101.26141016495271,Mv,medium,19,NA,NA,NA,NA,NA,NA,0,102.26141016495271,4.627532379552398,Ev adult,a,m,D33w
D3,4,fungicide,Ev,adult,A,76.00065579598177,Mv,high,67,NA,NA,NA,NA,NA,NA,1,77.00065579598177,4.343813938648348,Ev adult,a,m,D34f
D3,5,fungicide,Ev,adult,A,67.6289360483401,Ev seedling,low,7,NA,NA,NA,NA,NA,NA,1,68.6289360483401,4.228714254080574,Ev adult,a,s,D35f
D3,5,water,Ev,adult,A,206.74507898523774,Ev seedling,low,7,NA,NA,NA,NA,NA,NA,0,207.74507898523774,5.336311746260007,Ev adult,a,s,D35w
D3,6,fungicide,Ev,adult,A,136.2770379790018,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,1,137.2770379790018,4.922001059013591,Ev adult,a,s,D36f
D3,6,water,Ev,adult,A,66.1001872248577,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,0,67.1001872248577,4.206186834210073,Ev adult,a,s,D36w
D3,7,fungicide,Ev,adult,A,134.09311108831264,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,1,135.09311108831264,4.905964252461858,Ev adult,a,s,D37f
D3,7,fungicide,Ev,seedling,2,1,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,1,2,0.6931471805599453,Ev seedling,s,s,D37f
D3,7,water,Ev,adult,A,58.23805041837683,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,0,59.23805041837683,4.081564078972452,Ev adult,a,s,D37w
D3,8,fungicide,Ev,adult,A,23.29522016735073,Ev adult,low,3,NA,NA,NA,NA,NA,NA,1,24.29522016735073,3.1902796300662684,Ev adult,a,a,D38f
D3,9,fungicide,Ev,adult,A,118.51443260139685,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,1,119.51443260139685,4.78343713898595,Ev adult,a,a,D39f
D3,9,water,Ev,adult,A,69.52167268693734,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,0,70.52167268693734,4.2559200765753324,Ev adult,a,a,D39w
D3,10,fungicide,Ev,adult,A,191.1035613441348,Ev adult,high,9,NA,NA,NA,NA,NA,NA,1,192.1035613441348,5.258034608614299,Ev adult,a,a,D310f
D3,10,water,Ev,adult,A,73.45274109017777,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,74.45274109017777,4.310164576318983,Ev adult,a,a,D310w
D3,10,water,Ev,seedling,2,3.3486878990566673,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,4.348687899056667,1.4698741671996243,Ev seedling,s,a,D310w
D3,10,water,Ev,seedling,3,1.3831536974364496,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,2.3831536974364496,0.8684246934922307,Ev seedling,s,a,D310w
D4,2,fungicide,Ev,adult,A,17.762605377604935,Mv,low,7,NA,NA,NA,NA,NA,NA,1,18.762605377604935,2.9318658133384754,Ev adult,a,m,D42f
D4,2,fungicide,Ev,seedling,1,2.9119025209188414,Mv,low,7,NA,NA,NA,NA,NA,NA,1,3.9119025209188414,1.364023833896582,Ev seedling,s,m,D42f
D4,2,fungicide,Ev,seedling,2,3.4942830251026096,Mv,low,7,NA,NA,NA,NA,NA,NA,1,4.494283025102609,1.5028061502185766,Ev seedling,s,m,D42f
D4,2,water,Ev,adult,A,66.68256772904147,Mv,low,7,NA,NA,NA,NA,NA,NA,0,67.68256772904147,4.214828653837179,Ev adult,a,m,D42w
D4,2,water,Ev,seedling,1,14.268322352502324,Mv,low,7,NA,NA,NA,NA,NA,NA,0,15.268322352502324,2.725780247608911,Ev seedling,s,m,D42w
D4,2,water,Ev,seedling,2,7.425351428343045,Mv,low,7,NA,NA,NA,NA,NA,NA,0,8.425351428343046,2.1312451879314533,Ev seedling,s,m,D42w
D4,2,water,Ev,seedling,3,1.0191658823215946,Mv,low,7,NA,NA,NA,NA,NA,NA,0,2.0191658823215946,0.7026844965904674,Ev seedling,s,m,D42w
D4,3,fungicide,Ev,adult,A,110.20358461999705,Mv,medium,19,NA,NA,NA,NA,NA,NA,1,111.20358461999705,4.711362617088261,Ev adult,a,m,D43f
D4,3,water,Ev,seedling,1,2.620712268826957,Mv,medium,19,NA,NA,NA,NA,NA,NA,0,3.620712268826957,1.2866707658275618,Ev seedling,s,m,D43w
D4,4,water,Ev,adult,A,4.5862464704471755,Mv,high,67,NA,NA,NA,NA,NA,NA,0,5.5862464704471755,1.7203075894366695,Ev adult,a,m,D44w
D4,5,fungicide,Ev,adult,A,68.79369705670763,Ev seedling,low,7,NA,NA,NA,NA,NA,NA,1,69.79369705670763,4.245543705643864,Ev adult,a,s,D45f
D4,5,water,Ev,adult,A,145.0127455417583,Ev seedling,low,7,NA,NA,NA,NA,NA,NA,0,146.0127455417583,4.983693916129289,Ev adult,a,s,D45w
D4,6,fungicide,Ev,adult,A,99.80545890449329,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,1,100.80545890449329,4.613192509969441,Ev adult,a,s,D46f
D4,6,fungicide,Ev,seedling,3,3.639878151148552,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,1,4.639878151148552,1.5346881053650208,Ev seedling,s,s,D46f
D4,6,water,Ev,adult,A,205.96183218435226,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,0,206.96183218435226,5.332534390681419,Ev adult,a,s,D46w
D4,6,water,Ev,seedling,3,21.038495713638632,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,0,22.038495713638632,3.092790729398171,Ev seedling,s,s,D46w
D4,7,fungicide,Ev,adult,A,111.16187873607676,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,1,112.16187873607676,4.719943173645963,Ev adult,a,s,D47f
D4,7,fungicide,Ev,seedling,3,3.7854732771944937,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,1,4.785473277194494,1.5655849285183903,Ev seedling,s,s,D47f
D4,7,water,Ev,adult,A,372.94191536668063,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,0,373.94191536668063,5.924100478847026,Ev adult,a,s,D47w
D4,8,water,Ev,adult,A,138.31536974364496,Ev adult,low,3,NA,NA,NA,NA,NA,NA,0,139.31536974364496,4.936740210260223,Ev adult,a,a,D48w
D4,8,water,Ev,seedling,1,1.0191658823215946,Ev adult,low,3,NA,NA,NA,NA,NA,NA,0,2.0191658823215946,0.7026844965904674,Ev seedling,s,a,D48w
D4,9,fungicide,Ev,adult,A,203.03240327106624,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,1,204.03240327106624,5.318278820794599,Ev adult,a,a,D49f
D4,9,water,Ev,adult,A,98.20391251798793,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,0,99.20391251798793,4.597177454218587,Ev adult,a,a,D49w
D4,9,water,Ev,seedling,2,14.413917478548266,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,0,15.413917478548266,2.7352708336726153,Ev seedling,s,a,D49w
D4,10,water,Ev,adult,A,66.68256772904147,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,67.68256772904147,4.214828653837179,Ev adult,a,a,D410w
D4,10,water,Ev,seedling,1,12,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,13,2.5649493574615367,Ev seedling,s,a,D410w
D4,10,water,Ev,seedling,2,4.5862464704471755,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,5.5862464704471755,1.7203075894366695,Ev seedling,s,a,D410w
D4,10,water,Ev,seedling,3,6.406185546021451,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,7.406185546021451,2.0023155356506437,Ev seedling,s,a,D410w
D1,2,fungicide,Ev,seedling,2,0,Mv,low,7,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,m,D12f
D1,2,fungicide,Ev,seedling,3,0,Mv,low,7,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,m,D12f
D1,2,water,Ev,seedling,1,0,Mv,low,7,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,m,D12w
D1,2,water,Ev,seedling,3,0,Mv,low,7,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,m,D12w
D1,3,fungicide,Ev,seedling,2,0,Mv,medium,19,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,m,D13f
D1,3,fungicide,Ev,seedling,3,0,Mv,medium,19,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,m,D13f
D1,3,water,Ev,seedling,1,0,Mv,medium,19,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,m,D13w
D1,3,water,Ev,seedling,2,0,Mv,medium,19,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,m,D13w
D1,3,water,Ev,seedling,3,0,Mv,medium,19,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,m,D13w
D1,4,fungicide,Ev,seedling,1,0,Mv,high,67,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,m,D14f
D1,4,fungicide,Ev,seedling,2,0,Mv,high,67,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,m,D14f
D1,5,fungicide,Ev,seedling,2,0,Ev seedling,low,7,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,s,D15f
D1,6,fungicide,Ev,seedling,3,0,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,s,D16f
D1,6,water,Ev,seedling,1,0,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,s,D16w
D1,6,water,Ev,seedling,2,0,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,s,D16w
D1,6,water,Ev,seedling,3,0,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,s,D16w
D1,7,fungicide,Ev,seedling,2,0,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,s,D17f
D1,7,water,Ev,adult,A,0,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,0,1,0,Ev adult,a,s,D17w
D1,7,water,Ev,seedling,1,0,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,s,D17w
D1,8,fungicide,Ev,adult,A,0,Ev adult,low,3,NA,NA,NA,NA,NA,NA,1,1,0,Ev adult,a,a,D18f
D1,8,fungicide,Ev,seedling,1,0,Ev adult,low,3,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,a,D18f
D1,8,fungicide,Ev,seedling,2,0,Ev adult,low,3,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,a,D18f
D1,8,fungicide,Ev,seedling,3,0,Ev adult,low,3,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,a,D18f
D1,8,water,Ev,seedling,1,0,Ev adult,low,3,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,a,D18w
D1,9,water,Ev,seedling,1,0,Ev adult,medium,5,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,a,D19w
D1,10,fungicide,Ev,seedling,1,0,Ev adult,high,9,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,a,D110f
D1,10,fungicide,Ev,seedling,2,0,Ev adult,high,9,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,a,D110f
D1,10,fungicide,Ev,seedling,3,0,Ev adult,high,9,NA,NA,NA,NA,NA,NA,1,1,0,Ev seedling,s,a,D110f
D1,10,water,Ev,seedling,1,0,Ev adult,high,9,NA,NA,NA,NA,NA,NA,0,1,0,Ev seedling,s,a,D110w
